Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1	0.000000																						-0.000001																																						50.634358	5.950788	0.000096			0.000000	11.430251	20.786218	7.734757		0.000030	0.000010	0.000007						-0.000002	-0.000003	0.000062	0.000003	0.000005	0.000006	0.000007						-54.528412		0.000019	0.000008	0.000020	0.000023					-0.000002	-0.020190					-0.052333						-0.000001	-0.744418						-0.480711				-0.000002		-0.000001	-0.000001			-0.041732	-0.000001	-0.000000					-0.000002	-0.000002		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283790								-0.000001	-0.000001			-0.274000		-0.000006	0.000031	-0.000016	0.000013	-4.894831	0.744432	-0.000021	0.000001																																															-36.089197	
 1 	 2	0.000000																						-0.000001																																						50.634358	5.950788	0.000096			0.000000	9.711067	20.238218	7.734757		0.000030	0.000010	0.000007						-0.000002	-0.000003	0.000061	0.000003	0.000005	0.000006	0.000007						-54.528412		0.000019	0.000009	0.000021	0.000023					-0.000002	-0.008083					-0.020951						-0.000000	-0.298021						-0.480711				-0.000002		-0.000001	-0.000001			-0.041732	-0.000001	-0.000000					-0.000002	-0.000002		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283790								-0.000001	-0.000001			-0.274000		-0.000005	0.000030	-0.000018	0.000013	-3.984675	0.298034	-0.000021	0.000001																																															-34.775655	
 1 	 3	0.000000																						-0.000001																																						50.634358	5.950788	0.000095			0.000000	8.510735	20.381291	7.734135		0.000030	0.000010	0.000007						-0.000002	-0.000003	0.000061	0.000003	0.000005	0.000006	0.000007						-54.528412		0.000018	0.000008	0.000020	0.000023					-0.000002	-0.004024					-0.010431						-0.000000	-0.148376						-0.480711				-0.000002		-0.000001	-0.000001			-0.041732	-0.000001	-0.000000					-0.000002	-0.000002		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283791								-0.000001	-0.000001			-0.274000		-0.000005	0.000027	-0.000019	0.000014	-3.300652	0.148389	-0.000021	0.000001																																															-34.416372	
 1 	 4	0.000000																						-0.000002																																						50.634358	5.950788	0.000096			0.000000	8.301645	20.574307	7.734136		0.000029	0.000010	0.000006						-0.000002	-0.000003	0.000062	0.000003	0.000004	0.000006	0.000007						-54.528412		0.000017	0.000008	0.000019	0.000022					-0.000002	-0.048498					-0.125707						-0.000002	-1.788126						-0.480711				-0.000002		-0.000002	-0.000001			-0.041732	-0.000001	-0.000000					-0.000002	-0.000002		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283789								-0.000001	-0.000001			-0.274000		-0.000006	0.000031	-0.000020	0.000011	-3.641520	1.788140	-0.000021	0.000003																																															-33.899678	
 1 	 5	0.000000																						-0.000001																																						50.634358	5.950788	0.000097			0.000000	8.549456	20.911745	7.734136		0.000030	0.000010	0.000006						-0.000002	-0.000002	0.000062	0.000003	0.000005	0.000007	0.000007						-54.528412		0.000019	0.000010	0.000020	0.000023					-0.000002	-0.129328					-0.335219						-0.000006	-4.768336						-0.480711				-0.000002		-0.000002	-0.000001			-0.041732	-0.000001	-0.000000					-0.000001	-0.000001		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283780								-0.000001	-0.000001			-0.274000		-0.000005	0.743033	-0.000011	0.000025	-5.064716	4.768351	-0.000021	0.000006																																															-33.514435	
 1 	 6	0.000000																						-0.000001																																						50.634358	5.950791	0.000097			0.000000	8.913427	20.770021	7.734136		0.000030	0.000010	0.000006						-0.000002	-0.000003	0.000062	0.000003	0.000005	0.000007	0.000007						-54.528412		0.000019	0.000009	0.000020	0.000023					-0.000002	-0.323321					-0.838048						-0.000015	-11.920840						-0.480711				-0.000002		-0.000002	-0.000001			-0.041732	-0.000001	-0.000000					-0.000001	-0.000001		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283780								-0.000001	-0.000001			-0.274000		-0.000005	0.217858	-0.000011	0.000026	-4.157714	11.920857	-0.000021	0.000015																																															-33.421694	
 1 	 7	0.000000																						-0.000001																																						50.634358	5.950787	0.000097			0.000000	8.712081	20.397489	7.733514		0.000030	0.000010	0.000006						-0.000002	-0.000003	0.000062	0.000003	0.000005	0.000007	0.000007						-54.528412		0.000019	0.000009	0.000020	0.000023					-0.000002	-0.626349					-1.623496						-0.000029	-23.093457						-0.480711				-0.000002		-0.000002	-0.000001			-0.041732	-0.000001	-0.000000					-0.000001	-0.000001		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283780								-0.000001	-0.000001			-0.274000		-0.000005	0.089708	-0.000012	0.000020	-1.774460	23.093480	-0.000020	0.000030																																															-34.013817	
 1 	 8	0.000000																						-0.000001																																						50.634358	5.950788	0.000097			0.000000	8.642385	19.189458	7.733514		0.000030	0.000010	0.000007						-0.000002	-0.000002	0.000062	0.000004	0.000005	0.000007	0.000007						-54.528412		0.000018	0.000009	0.000020	0.000022					-0.000002	-0.545529					-1.414010						-0.000026	-20.113628						-0.480711				-0.000002		-0.000002	-0.000001			-0.041732	-0.000001	-0.000000					-0.000001	-0.000001		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283766								-0.000001	-0.000001			-0.274000		-0.000005	0.551754	-0.000013	0.000027	-0.070899	20.113642	-0.000020	0.000026																																															-35.192014	
 1 	 9	0.000000																						-0.000001																																						50.634358	5.950790	0.000100			0.101587	8.580432	18.198739	7.733514		0.000030	0.000010	0.000007						-0.000002	-0.000002	0.000063	0.000004	0.000005	0.000009	0.000007						-54.528412		0.000023	0.000016	0.000021	0.000023					-0.000002	-0.505121					-1.309272						-0.000024	-18.623776						-0.480711				-0.000002		-0.000001	-0.000001			-0.041731	-0.000001	-0.000000					-0.000001	-0.000001		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000014								-0.000001	-0.000001			-0.274000		-0.000002	1.279042	-0.000004	0.000109	-0.000012	19.334855	-0.000021	0.000024																																															-36.179190	
 1 	 10	0.000000																						-0.000001																																						50.634358	5.950788	0.000096			7.689636	8.835987	17.854551	7.733514		0.000030	0.000010	0.000006						-0.000002	-0.000003	0.000062	0.000004	0.000005	0.000007	0.000007						-54.528412		0.000019	0.000009	0.000020	0.000023					-0.000002	-0.565736					-1.466388						-0.000026	-20.858680						-0.480711				-0.000002		-0.000002	-0.000001			-0.041732	-0.000001	-0.000000					-0.000001	-0.000001		0.128533		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.283759								-0.000001	-0.000001			-0.274000		-0.000005	0.079330	-0.000011	0.000034	-4.407794	20.858692	-0.000021	0.000027																																															-36.858456	
