Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																											151.991160	0.000035	0.000019	0.000009	0.000008	0.000009	0.000010	0.000016	0.000007	0.000000	0.000002																																																																											-0.000649	0.000755	-14.885982	10.448035	-0.000668	0.000684	-0.000684	0.000677	-0.000684	0.000680	-0.000687	0.000682	-0.000687	0.000682	-0.000677	0.000679	-0.000691	0.000697	-0.000676	0.000677																											-147.553438	
 1 	 2																																																																																											151.991160	0.000037	0.000020	0.000009	0.000008	0.000009	0.000010	0.000017	0.000007	0.000000	0.000002																																																																											-0.000647	0.000756	-12.762298	12.298258	-0.000668	0.000684	-0.000684	0.000677	-0.000684	0.000680	-0.000687	0.000682	-0.000686	0.000681	-0.000670	0.000673	-0.000692	0.000698	-0.000676	0.000677																											-151.527352	
 1 	 3																																																																																											151.991160	0.000038	0.000019	0.000009	0.000008	0.000009	0.000010	0.000017	0.000007	0.000000	0.000002																																																																											-0.000650	0.000759	-12.635992	12.432766	-0.000661	0.000676	-0.000683	0.000677	-0.000684	0.000680	-0.000686	0.000681	-0.000688	0.000682	-0.000667	0.000670	-0.000692	0.000698	-0.000676	0.000677																											-151.788166	
 1 	 4																																																																																											151.991160	0.000039	0.000018	0.000009	0.000007	0.000008	0.000011	0.000017	0.000007	0.000000	0.000002																																																																											-0.000648	0.000757	-12.506994	12.544424	-0.000672	0.000686	-0.000683	0.000678	-0.000684	0.000681	-0.000686	0.000682	-0.000688	0.000683	-0.000674	0.000676	-0.000692	0.000698	-0.000676	0.000677																											-152.028822	
 1 	 5																																																																																											151.991160	0.000037	0.000020	0.000011	0.000008	0.000009	0.000011	0.000018	0.000007	0.000000	0.000002																																																																											-0.000647	0.000758	-11.864017	13.217855	-0.000665	0.000681	-0.000684	0.000677	-0.000685	0.000680	-0.000687	0.000682	-0.000688	0.000683	-0.000676	0.000678	-0.000692	0.000698	-0.000676	0.000677																											-153.345232	
 1 	 6																																																																																											151.991160	0.000038	0.000019	0.000010	0.000008	0.000009	0.000011	0.000018	0.000007	0.000000	0.000002																																																																											-0.000646	0.000759	-9.864258	15.707049	-0.000666	0.000684	-0.000684	0.000677	-0.000685	0.000680	-0.000686	0.000682	-0.000687	0.000683	-0.000676	0.000679	-0.000692	0.000698	-0.000676	0.000677																											-157.834191	
 1 	 7																																																																																											151.991160	0.000039	0.000019	0.000010	0.000008	0.000009	0.000011	0.000018	0.000007	0.000000	0.000002																																																																											-0.000644	0.000761	-8.322109	18.070107	-0.000666	0.000684	-0.000683	0.000678	-0.000685	0.000680	-0.000686	0.000682	-0.000688	0.000683	-0.000676	0.000679	-0.000692	0.000698	-0.000676	0.000677																											-161.739405	
 1 	 8																																																																																											151.991160	0.000040	0.000019	0.000010	0.000007	0.000009	0.000011	0.000019	0.000007	0.000000	0.000002																																																																											-0.000642	0.000761	-7.151524	20.111559	-0.000668	0.000685	-0.000683	0.000678	-0.000685	0.000680	-0.000686	0.000682	-0.000688	0.000683	-0.000677	0.000679	-0.000692	0.000698	-0.000676	0.000677																											-164.951446	
 1 	 9																																																																																											151.991159	0.000045	0.000024	0.000018	0.000008	0.000009	0.000012	0.000020	0.000008	0.000001	0.000002																																																																											-0.000641	0.000763	-5.887434	22.609105	-0.000671	0.000685	-0.000686	0.000676	-0.000688	0.000677	-0.000686	0.000682	-0.000688	0.000683	-0.000676	0.000679	-0.000681	0.000686	-0.000676	0.000677																											-168.713088	
 1 	 10																																																																																											151.991160	0.000042	0.000020	0.000010	0.000008	0.000009	0.000012	0.000019	0.000008	0.000030	0.000002																																																																											-0.000641	0.000761	-4.945751	24.867935	-0.000669	0.000684	-0.000685	0.000677	-0.000685	0.000679	-0.000687	0.000681	-0.000689	0.000682	-0.000677	0.000678	-0.000682	0.000685	-0.000678	0.000677																											-171.913611	
 1 	 11																																																																																											151.991160	0.000042	0.000020	0.000010	0.000008	0.000009	0.000012	0.000020	0.000008	0.000132	0.000002																																																																											-0.000653	0.000750	-6.698172	20.993928	-0.000679	0.000677	-0.000687	0.000674	-0.000688	0.000676	-0.000690	0.000678	-0.000691	0.000679	-0.000682	0.000671	-0.000711	0.000701	-0.000682	0.000670																											-166.287191	
 1 	 12																																																																																											151.991162	0.000046	0.000003	0.000003	0.000002	0.000003	0.000013	0.000020	0.000008	0.000248	0.000008																																																																											-0.000670	0.000732	-10.218786	15.182831	-0.000691	0.000667	-0.000681	0.000681	-0.000688	0.000677	-0.000689	0.000679	-0.000689	0.000680	-0.000690	0.000665	-0.000711	0.000684	-0.000689	0.000663																											-156.955487	
 1 	 13																																																																																											151.991161	0.000047	0.000002	0.000002	0.000001	0.000001	0.000013	0.000021	0.000008	0.000322	0.000425																																																																											-0.000911	0.000536	-15.184430	10.233441	-0.000701	0.000660	-0.000681	0.000680	-0.000689	0.000676	-0.000688	0.000676	-0.000687	0.000677	-0.000699	0.000663	-0.000761	0.000722	-0.000695	0.000660																											-147.040450	
 1 	 14																																																																																											151.991165	0.000048	0.000002	0.000002	0.000001	0.000001	0.000013	0.000021	0.000008	0.000357	0.001442																																																																											-0.001604	0.000201	-18.664667	7.942862	-0.000705	0.000655	-0.000681	0.000679	-0.000690	0.000675	-0.000688	0.000676	-0.000687	0.000677	-0.000702	0.000661	-0.000764	0.000718	-0.000698	0.000658																											-141.269636	
