Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																						0.286867	0.429514	0.000784	0.000002	0.000000	0.717167																																																																																																																			-1.434335	
 1 	 2																																																																																																						0.114845	0.171952	0.000314	0.000001	0.000000	0.287111																																																																																																																			-0.574223	
 1 	 3																																																																																																						0.057178	0.085610	0.000156	0.000000	0.000000	0.142945																																																																																																																			-0.285890	
 1 	 4																																																																																																						0.689067	1.031712	0.001884	0.000004	0.000001	1.722668																																																																																																																			-3.445335	
 1 	 5																																																																																																						1.837512	2.751232	0.005023	0.000010	0.000003	4.593780																																																																																																																			-9.187560	
 1 	 6																																																																																																						4.593780	6.878079	0.012558	0.000026	0.000007	11.484451																																																																																																																			-22.968901	
 1 	 7																																																																																																						8.899228	13.324448	0.024328	0.000050	0.000014	22.248069																																																																																																																			-44.496136	
 1 	 8																																																																																																						7.750929	11.605148	0.021189	0.000043	0.000012	19.377323																																																																																																																			-38.754644	
 1 	 9																																																																																																						7.176805	10.745535	0.019620	0.000040	0.000011	17.942011																																																																																																																			-35.884020	
 1 	 10																																																																																																						8.038041	12.035028	0.021974	0.000045	0.000013	20.095101																																																																																																																			-40.190200	
 1 	 11																																																																																																						9.186290	13.754255	0.025113	0.000052	0.000015	22.965725																																																																																																																			-45.931448	
 1 	 12																																																																																																						10.104949	15.129724	0.027624	0.000057	0.000016	25.262371																																																																																																																			-50.524739	
 1 	 13																																																																																																						9.186290	13.754255	0.025113	0.000052	0.000015	22.965725																																																																																																																			-45.931448	
 1 	 14																																																																																																						9.301135	13.926207	0.025427	0.000052	0.000015	23.252837																																																																																																																			-46.505671	
 1 	 15																																																																																																						10.449433	15.645507	0.028566	0.000059	0.000017	26.123583																																																																																																																			-52.247163	
 1 	 16																																																																																																						10.908763	16.333242	0.029822	0.000061	0.000017	27.271906																																																																																																																			-54.543808	
 1 	 17																																																																																																						10.908763	16.333242	0.029822	0.000061	0.000017	27.271906																																																																																																																			-54.543808	
 1 	 18																																																																																																						8.038041	12.035028	0.021974	0.000045	0.000013	20.095101																																																																																																																			-40.190200	
 1 	 19																																																																																																						5.741444	8.596428	0.015696	0.000032	0.000009	14.353609																																																																																																																			-28.707216	
 1 	 20																																																																																																						4.305447	6.446370	0.011770	0.000024	0.000007	10.763618																																																																																																																			-21.527236	
 1 	 21																																																																																																						2.868669	4.295141	0.007842	0.000016	0.000005	7.171673																																																																																																																			-14.343345	
 1 	 22																																																																																																						1.837512	2.751232	0.005023	0.000010	0.000003	4.593780																																																																																																																			-9.187560	
 1 	 23																																																																																																						1.148445	1.719520	0.003140	0.000006	0.000002	2.871113																																																																																																																			-5.742225	
 1 	 24																																																																																																						0.459378	0.687808	0.001256	0.000003	0.000001	1.148445																																																																																																																			-2.296890	
 2 	 1																																																																																																						0.286867	0.429514	0.000784	0.000002	0.000000	0.717167																																																																																																																			-1.434335	
 2 	 2																																																																																																						0.114845	0.171952	0.000314	0.000001	0.000000	0.287111																																																																																																																			-0.574223	
 2 	 3																																																																																																						0.057178	0.085610	0.000156	0.000000	0.000000	0.142945																																																																																																																			-0.285890	
 2 	 4																																																																																																						0.689067	1.031712	0.001884	0.000004	0.000001	1.722668																																																																																																																			-3.445335	
 2 	 5																																																																																																						1.837512	2.751232	0.005023	0.000010	0.000003	4.593780																																																																																																																			-9.187560	
 2 	 6																																																																																																						4.593780	6.878079	0.012558	0.000026	0.000007	11.484451																																																																																																																			-22.968901	
 2 	 7																																																																																																						8.899228	13.324448	0.024328	0.000050	0.000014	22.248069																																																																																																																			-44.496136	
 2 	 8																																																																																																						7.750929	11.605148	0.021189	0.000043	0.000012	19.377323																																																																																																																			-38.754644	
 2 	 9																																																																																																						7.176805	10.745535	0.019620	0.000040	0.000011	17.942011																																																																																																																			-35.884020	
 2 	 10																																																																																																						8.038041	12.035028	0.021974	0.000045	0.000013	20.095101																																																																																																																			-40.190200	
 2 	 11																																																																																																						9.186290	13.754255	0.025113	0.000052	0.000015	22.965725																																																																																																																			-45.931448	
 2 	 12																																																																																																						10.104949	15.129724	0.027624	0.000057	0.000016	25.262371																																																																																																																			-50.524739	
 2 	 13																																																																																																						9.186290	13.754255	0.025113	0.000052	0.000015	22.965725																																																																																																																			-45.931448	
 2 	 14																																																																																																						9.301135	13.926207	0.025427	0.000052	0.000015	23.252837																																																																																																																			-46.505671	
 2 	 15																																																																																																						10.449433	15.645507	0.028566	0.000059	0.000017	26.123583																																																																																																																			-52.247163	
 2 	 16																																																																																																						10.908763	16.333242	0.029822	0.000061	0.000017	27.271906																																																																																																																			-54.543808	
 2 	 17																																																																																																						10.908763	16.333242	0.029822	0.000061	0.000017	27.271906																																																																																																																			-54.543808	
 2 	 18																																																																																																						8.038041	12.035028	0.021974	0.000045	0.000013	20.095101																																																																																																																			-40.190200	
 2 	 19																																																																																																						5.741444	8.596428	0.015696	0.000032	0.000009	14.353609																																																																																																																			-28.707216	
 2 	 20																																																																																																						4.305447	6.446370	0.011770	0.000024	0.000007	10.763618																																																																																																																			-21.527236	
 2 	 21																																																																																																						2.868669	4.295141	0.007842	0.000016	0.000005	7.171673																																																																																																																			-14.343345	
 2 	 22																																																																																																						1.837512	2.751232	0.005023	0.000010	0.000003	4.593780																																																																																																																			-9.187560	
 2 	 23																																																																																																						1.148445	1.719520	0.003140	0.000006	0.000002	2.871113																																																																																																																			-5.742225	
 2 	 24																																																																																																						0.459378	0.687808	0.001256	0.000003	0.000001	1.148445																																																																																																																			-2.296890	
 3 	 1																																																																																																						0.286867	0.429514	0.000784	0.000002	0.000000	0.717167																																																																																																																			-1.434335	
 3 	 2																																																																																																						0.114845	0.171952	0.000314	0.000001	0.000000	0.287111																																																																																																																			-0.574223	
 3 	 3																																																																																																						0.057178	0.085610	0.000156	0.000000	0.000000	0.142945																																																																																																																			-0.285890	
 3 	 4																																																																																																						0.689067	1.031712	0.001884	0.000004	0.000001	1.722668																																																																																																																			-3.445335	
 3 	 5																																																																																																						1.837512	2.751232	0.005023	0.000010	0.000003	4.593780																																																																																																																			-9.187560	
 3 	 6																																																																																																						4.593780	6.878079	0.012558	0.000026	0.000007	11.484451																																																																																																																			-22.968901	
 3 	 7																																																																																																						8.899228	13.324448	0.024328	0.000050	0.000014	22.248069																																																																																																																			-44.496136	
 3 	 8																																																																																																						7.750929	11.605148	0.021189	0.000043	0.000012	19.377323																																																																																																																			-38.754644	
