Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1										0.000000																																																																																																																																														2.501010	0.000006	4.845912	-7.346890	-0.000017	-0.000020																																																																	0.000000	
 1 	 2										0.000000																																																																																																																																														2.504077	0.000006	4.845909	-7.349955	-0.000017	-0.000019																																																																	0.000000	
 1 	 3										0.000000																																																																																																																																														2.494544	0.000006	4.845895	-7.340411	-0.000016	-0.000018																																																																	0.000000	
 1 	 4										0.000000																																																																																																																																														2.478565	0.000006	4.845898	-7.324431	-0.000017	-0.000021																																																																	0.000000	
 1 	 5										0.000000																																																																																																																																														2.472534	0.000006	4.845555	-7.318056	-0.000018	-0.000021																																																																	0.000000	
 1 	 6										0.000000																																																																																																																																														2.469726	0.000006	4.845536	-7.315229	-0.000018	-0.000021																																																																	0.000000	
 1 	 7										0.000000																																																																																																																																														2.464589	0.000006	4.845536	-7.310092	-0.000018	-0.000021																																																																	0.000000	
 1 	 8										0.000000																																																																																																																																														2.523221	0.000006	4.842279	-7.365467	-0.000018	-0.000021																																																																	0.000000	
 1 	 9										0.000000																																																																																																																																														2.547268	0.000006	0.000320	-2.547556	-0.000018	-0.000021																																																																	0.000000	
 1 	 10										0.000000																																																																																																																																														2.474073	0.000006	4.845515	-7.319555	-0.000018	-0.000021																																																																	0.000000	
 1 	 11										0.000000																																																																																																																																														2.479232	0.000006	4.845557	-7.324757	-0.000018	-0.000021																																																																	0.000000	
 1 	 12										0.000000																																																																																																																																														2.495497	0.000006	4.846376	-7.341840	-0.000018	-0.000021																																																																	0.000000	
 1 	 13										0.000000																																																																																																																																														2.660170	0.000007	4.724395	-7.384534	-0.000018	-0.000021																																																																	0.000000	
 1 	 14										0.000000																																																																																																																																														2.660170	0.000007	1.727185	-4.387324	-0.000018	-0.000021																																																																	0.000000	
 1 	 15										0.000000																																																																																																																																														2.660170	0.000007	3.030736	-5.690876	-0.000018	-0.000021																																																																	0.000000	
 1 	 16										0.000000																																																																																																																																														2.502065	0.000006	4.846411	-7.348444	-0.000018	-0.000021																																																																	0.000000	
 1 	 17										0.000000																																																																																																																																														2.489495	0.000006	4.845556	-7.335019	-0.000018	-0.000020																																																																	0.000000	
 1 	 18										0.000000																																																																																																																																														2.485816	0.000006	4.845514	-7.331297	-0.000018	-0.000020																																																																	0.000000	
 1 	 19										0.000000																																																																																																																																														2.485101	0.000006	4.845516	-7.330585	-0.000018	-0.000020																																																																	0.000000	
 1 	 20										0.000000																																																																																																																																														2.483435	0.000006	4.845517	-7.328919	-0.000018	-0.000020																																																																	0.000000	
 1 	 21										0.000000																																																																																																																																														2.483226	0.000006	4.845514	-7.328707	-0.000018	-0.000020																																																																	0.000000	
 1 	 22										0.000000																																																																																																																																														2.482334	0.000006	4.845509	-7.327810	-0.000018	-0.000020																																																																	0.000000	
 1 	 23										0.000000																																																																																																																																														2.472910	0.000006	4.845497	-7.318374	-0.000018	-0.000021																																																																	0.000000	
 1 	 24										0.000000																																																																																																																																														2.496698	0.000006	4.845494	-7.342161	-0.000017	-0.000020																																																																	0.000000	
 2 	 1										0.000000																																																																																																																																														2.521602	0.000006	13.035348	-15.556912	-0.000020	-0.000025																																																																	0.000000	
 2 	 2										0.000000																																																																																																																																														2.522050	0.000007	13.035349	-15.557361	-0.000020	-0.000024																																																																	0.000000	
 2 	 3										0.000000																																																																																																																																														2.521347	0.000007	13.035347	-15.556659	-0.000019	-0.000022																																																																	0.000000	
 2 	 4										0.000000																																																																																																																																														2.518427	0.000006	13.035342	-15.553729	-0.000021	-0.000025																																																																	0.000000	
 2 	 5										0.000000																																																																																																																																														2.516193	0.000006	13.035337	-15.551491	-0.000021	-0.000025																																																																	0.000000	
 2 	 6										0.000000																																																																																																																																														2.515682	0.000006	13.035336	-15.550977	-0.000021	-0.000025																																																																	0.000000	
 2 	 7										0.000000																																																																																																																																														2.515141	0.000006	13.035337	-15.550438	-0.000022	-0.000025																																																																	0.000000	
 2 	 8										0.000000																																																																																																																																														2.516378	0.000006	13.035331	-15.551669	-0.000022	-0.000025																																																																	0.000000	
 2 	 9										0.000000																																																																																																																																														2.516006	0.000006	13.035327	-15.551293	-0.000021	-0.000025																																																																	0.000000	
 2 	 10										0.000000																																																																																																																																														2.526116	0.000006	13.035332	-15.561409	-0.000022	-0.000025																																																																	0.000000	
 2 	 11										0.000000																																																																																																																																														2.660161	0.000007	13.034859	-15.694981	-0.000021	-0.000025																																																																	0.000000	
 2 	 12										0.000000																																																																																																																																														2.660160	0.000007	13.034757	-15.694878	-0.000021	-0.000025																																																																	0.000000	
 2 	 13										0.000000																																																																																																																																														2.660181	0.000008	13.035313	-15.695455	-0.000021	-0.000025																																																																	0.000000	
 2 	 14										0.000000																																																																																																																																														2.660172	0.000007	13.035290	-15.695424	-0.000021	-0.000025																																																																	0.000000	
 2 	 15										0.000000																																																																																																																																														2.660169	0.000007	13.035128	-15.695258	-0.000021	-0.000025																																																																	0.000000	
 2 	 16										0.000000																																																																																																																																														2.660161	0.000007	13.034804	-15.694926	-0.000021	-0.000025																																																																	0.000000	
 2 	 17										0.000000																																																																																																																																														2.660161	0.000007	13.034861	-15.694983	-0.000022	-0.000025																																																																	0.000000	
 2 	 18										0.000000																																																																																																																																														2.525623	0.000006	13.035345	-15.560928	-0.000022	-0.000025																																																																	0.000000	
 2 	 19										0.000000																																																																																																																																														2.520380	0.000006	13.035336	-15.555676	-0.000022	-0.000025																																																																	0.000000	
