Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1													0.000000																																										0.092951	0.270795	0.060014	0.401699	1.645739	0.000252																								-0.000048	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 2													0.000000																																										0.092146	0.269373	0.059472	0.399037	1.651172	0.000252																								-0.000048	-0.000030																																																							-2.471347					-0.000026																																																																													0.000000	
 1 	 3													0.000000																																										0.091636	0.268232	0.059321	0.396936	1.655075	0.000253																								-0.000047	-0.000030																																																							-2.471347					-0.000025																																																																													0.000000	
 1 	 4													0.000000																																										0.092746	0.270297	0.059884	0.400840	1.647431	0.000252																								-0.000048	-0.000030																																																							-2.471344					-0.000025																																																																													0.000000	
 1 	 5													0.000000																																										0.092999	0.270724	0.060056	0.401487	1.645936	0.000251																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 6													0.000000																																										0.092980	0.270716	0.060043	0.401314	1.646149	0.000251																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 7													0.000000																																										0.092870	0.270556	0.059969	0.401030	1.646776	0.000251																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 8													0.000000																																										0.093018	0.270903	0.060070	0.401591	1.645621	0.000252																								-0.000053	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 9													0.000000																																										0.092982	0.270833	0.060047	0.401487	1.645871	0.000251																								-0.000067	-0.000030																																																							-2.471347					-0.000025																																																																													0.000000	
 1 	 10													0.000000																																										0.092984	0.270790	0.060046	0.401329	1.646054	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 11													0.000000																																										0.092938	0.270632	0.060016	0.401034	1.646582	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 12													0.000000																																										0.093045	0.270820	0.060062	0.401452	1.645752	0.000252																								-0.000018	-0.000022																																																							-2.471317					-0.000025																																																																													0.000000	
 1 	 13													0.000000																																										0.093094	0.270495	0.060120	0.400684	1.646278	0.000252																								-0.000027	-0.000021																																																							-2.470847					-0.000025																																																																													0.000000	
 1 	 14													0.000000																																										0.092950	0.270408	0.060009	0.400624	1.646675	0.000252																								-0.000027	-0.000021																																																							-2.470843					-0.000025																																																																													0.000000	
 1 	 15													0.000000																																										0.093128	0.270505	0.060155	0.400518	1.646378	0.000252																								-0.000027	-0.000021																																																							-2.470862					-0.000025																																																																													0.000000	
 1 	 16													0.000000																																										0.093098	0.270969	0.060098	0.401693	1.645276	0.000252																								-0.000018	-0.000022																																																							-2.471318					-0.000025																																																																													0.000000	
 1 	 17													0.000000																																										0.093012	0.270780	0.060065	0.401295	1.646050	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 18													0.000000																																										0.093000	0.270863	0.060054	0.401583	1.645703	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 19													0.000000																																										0.093121	0.270983	0.060133	0.401944	1.645021	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 20													0.000000																																										0.093076	0.270877	0.060103	0.401819	1.645327	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 21													0.000000																																										0.093115	0.270984	0.060128	0.401994	1.644981	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 22													0.000000																																										0.093130	0.271035	0.060137	0.402089	1.644811	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 23													0.000000																																										0.093146	0.271079	0.060148	0.402151	1.644677	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 1 	 24													0.000000																																										0.092966	0.270807	0.060024	0.401689	1.645717	0.000252																								-0.000052	-0.000030																																																							-2.471345					-0.000025																																																																													0.000000	
 2 	 1													0.000000																																										0.109064	0.306654	0.070855	0.445837	1.538561	0.000299																								-0.000015	-0.000015																																																							-2.471211					-0.000028																																																																													0.000000	
 2 	 2													0.000000																																										0.108344	0.305298	0.070401	0.443101	1.543855	0.000298																								-0.000015	-0.000015																																																							-2.471236					-0.000029																																																																													0.000000	
 2 	 3													0.000000																																										0.107753	0.304093	0.070040	0.441065	1.548050	0.000298																								-0.000015	-0.000015																																																							-2.471238					-0.000028																																																																													0.000000	
 2 	 4													0.000000																																										0.109098	0.306758	0.070886	0.445739	1.538493	0.000299																								-0.000015	-0.000015																																																							-2.471213					-0.000028																																																																													0.000000	
 2 	 5													0.000000																																										0.109436	0.307164	0.071115	0.446491	1.536770	0.000300																								-0.000016	-0.000015																																																							-2.471216					-0.000028																																																																													0.000000	
 2 	 6													0.000000																																										0.109388	0.307033	0.071085	0.446239	1.537234	0.000300																								-0.000016	-0.000016																																																							-2.471219					-0.000028																																																																													0.000000	
 2 	 7													0.000000																																										0.109345	0.306850	0.071064	0.445910	1.537816	0.000300																								-0.000016	-0.000016																																																							-2.471223					-0.000028																																																																													0.000000	
 2 	 8													0.000000																																										0.109402	0.307003	0.071099	0.446224	1.537263	0.000300																								-0.000016	-0.000016																																																							-2.471229					-0.000028																																																																													0.000000	
 2 	 9													0.000000																																										0.109340	0.306848	0.071063	0.445961	1.537780	0.000300																								-0.000016	-0.000016																																																							-2.471230					-0.000028																																																																													0.000000	
