TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.794450	6175.859042	60.000000	0.000000	59.999999	60.000000	0.000000	0.366848	1.000000	0.843906	0.843906	0.052828	42472.799189
CCGT	6181.494789	156.557191	25.000000	4.000000	7.484012	Infinity	0.000000	0.002940	1.000000	0.054224	0.955769	0.070952	1375.486618
CCGT_AMMONIA	0.040776	0.001033	25.000000	0.000000	0.000049	Infinity	0.000000	0.000000	1.000000	0.037637	0.590000	0.070952	0.009073
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.993785	2927.867207	25.000000	0.000000	209.999938	210.000000	0.000000	0.224482	1.000000	0.147544	1.000000	0.070952	267749.920763
WIND_ONSHORE	85646.999086	996.141166	30.000000	0.000000	74.999999	75.000000	0.000000	0.141645	1.000000	0.260674	1.000000	0.065051	46713.749501
WIND_OFFSHORE	278320.715921	1936.414816	30.000000	0.000000	51.951676	60.000000	0.000000	0.188580	1.000000	0.501020	1.000000	0.065051	32358.101639
HYDRO_RIVER	110988.221803	1109.785378	80.000000	0.000000	21.999996	22.000000	0.000000	0.075505	1.000000	0.473711	1.000000	0.051030	27782.035445
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.028667	0.001843	25.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.032339	0.844900	0.070952	0.019216
IND_COGEN_WOOD	0.027000	0.000989	25.000000	0.000000	0.000023	Infinity	0.000000	0.000000	1.000000	0.058625	0.844900	0.070952	0.003806
IND_COGEN_WASTE	0.032733	0.001207	25.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.048669	0.844900	0.070952	0.006662
IND_BOILER_GAS	0.016182	0.000324	17.000000	0.000000	0.000229	Infinity	0.000000	0.000000	1.000000	0.027155	0.944300	0.088699	0.002821
IND_BOILER_WOOD	0.017818	0.000356	17.000000	0.000000	0.000129	Infinity	0.000000	0.000001	1.000000	0.142279	0.894600	0.088699	0.003722
IND_BOILER_OIL	0.015676	0.000337	17.000000	0.000000	0.000238	Infinity	0.000000	0.000000	1.000000	0.019200	0.944300	0.088699	0.002934
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.894600	0.088699	0.000000
IND_BOILER_WASTE	2214.113138	44.280721	17.000000	0.000000	16.018761	Infinity	0.000000	0.492311	1.000000	0.492025	0.894600	0.088699	462.461629
IND_DIRECT_ELEC	6211.055982	28.175921	15.000000	0.000000	16.019024	Infinity	0.000000	0.507686	1.000000	0.507382	0.944300	0.096342	23.547965
DHN_HP_ELEC	9020.822275	305.884604	25.000000	0.000000	22.795397	Infinity	0.000000	0.999998	1.000000	0.662611	0.944300	0.070952	3984.407362
DHN_COGEN_GAS	0.040874	0.001195	25.000000	0.000000	0.000030	Infinity	0.000000	0.000000	1.000000	0.030374	0.844900	0.070952	0.014737
DHN_COGEN_WOOD	0.021826	0.000799	25.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.028831	0.844900	0.070952	0.003076
DHN_COGEN_WASTE	0.028895	0.001065	25.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.027384	0.844900	0.070952	0.005881
DHN_COGEN_WET_BIOMASS	0.014806	0.001205	25.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.026226	0.745500	0.070952	0.010164
DHN_COGEN_BIO_HYDROLYSIS	0.036681	0.001792	15.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.042157	0.844900	0.096342	0.004826
DHN_BOILER_GAS	0.004770	0.000096	17.000000	0.000000	0.000067	Infinity	0.000000	0.000000	1.000000	0.029265	0.944300	0.088699	0.000832
DHN_BOILER_WOOD	0.007312	0.000146	17.000000	0.000000	0.000053	Infinity	0.000000	0.000000	1.000000	0.043342	0.894600	0.088699	0.001527
DHN_BOILER_OIL	0.004479	0.000096	17.000000	0.000000	0.000068	Infinity	0.000000	0.000000	1.000000	0.025317	0.944300	0.088699	0.000838
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.065051	0.000000
DHN_SOLAR	0.028769	0.000034	30.000000	0.000000	0.000075	Infinity	0.000000	0.000001	1.000000	0.089682	1.000000	0.065051	0.016688
DEC_HP_ELEC	92036.789962	3837.424096	18.000000	0.000000	162.960427	Infinity	0.000000	0.999998	1.000000	0.338324	1.000000	0.085546	26870.544808
DEC_THHP_GAS	0.036385	0.001063	20.000000	0.000000	0.000100	Infinity	0.000000	0.000000	1.000000	0.109989	1.000000	0.080243	0.038351
DEC_COGEN_GAS	0.030209	0.001942	20.000000	0.000000	0.000020	Infinity	0.000000	0.000000	1.000000	0.025460	1.000000	0.080243	0.020250
DEC_COGEN_OIL	0.027406	0.001681	20.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.016851	1.000000	0.080243	0.019812
DEC_ADVCOGEN_GAS	0.051239	0.000955	20.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.008367	1.000000	0.080243	0.012236
DEC_ADVCOGEN_H2	0.053631	0.000999	20.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.010267	1.000000	0.080243	0.012807
DEC_BOILER_GAS	0.030910	0.000928	17.000000	0.000000	0.000162	Infinity	0.000000	0.000000	1.000000	0.022123	1.000000	0.088699	0.003427
