Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.998529	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.958494	Infinity
WASTE	85000.000941	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	4050.590482	Infinity
CO2_EMISSIONS	39101.678957	Infinity
RES_WIND	399275.497404	Infinity
RES_SOLAR	271422.524198	Infinity
RES_HYDRO	91293.645504	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	2818.056671	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	8.890207	8.888889
APPLES	13.742881	13.741667
CEREALSTRAW	22194.445593	22194.444444
CHERRIES	194.445406	194.444444
MAIZESTRAW	1916.667803	1916.666667
OLIVES	55.556144	55.555556
OSR	1277.778966	1277.777778
RICESTRAW	100.828944	100.827778
VINEYARDS	361.112219	361.111111
MISCANTHUS	5153.749744	21500.000000
SWITCHGRASS	20666.628794	20666.666667
WILLOW	0.420262	17083.333333
POPLAR	0.238680	1638.888889
CP_RES	34138.484419	34138.483333
FUELWOOD_RES	3166.667797	3166.666667
LANDSCAPECARE	3543.140102	3543.138889
MSW	18386.156802	18386.155556
FUELWOODRW	24709.967800	24709.966667
OTHERSECRESID	1472.223462	1472.222222
SAWDUST	388.890190	388.888889
CP_RW	77249.997063	77250.000000
GRASS_FOR_BIOGAS	603.027416	603.027778
MAIZE_SILAGE	1742.803471	1742.805556
SUGARBEETTOPS	388.888134	388.888889
MANURE_LIQ	2638.885243	2638.888889
MANURE_SOL	12916.668014	12916.666667
SLUDGE	1.665651	1.666667
