Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																									30.253440																																										-11.430250	-18.823190																																																																																																																																																										0.000000	
 1 	 2																									28.038008																																										-9.711066	-18.326942																																																																																																																																																										0.000000	
 1 	 3																									26.967238																																										-8.510734	-18.456504																																																																																																																																																										0.000000	
 1 	 4																									26.932936																																										-8.301644	-18.631291																																																																																																																																																										0.000000	
 1 	 5																									27.486318																																										-8.549455	-18.936863																																																																																																																																																										0.000000	
 1 	 6																									27.721949																																										-8.913426	-18.808523																																																																																																																																																										0.000000	
 1 	 7																									27.183252																																										-8.712080	-18.471172																																																																																																																																																										0.000000	
 1 	 8																									26.019610																																										-8.642384	-17.377227																																																																																																																																																										0.000000	
 1 	 9																									25.060501																																										-8.580431	-16.480070																																																																																																																																																										0.000000	
 1 	 10																									25.004372																																										-8.835986	-16.168387																																																																																																																																																										0.000000	
 1 	 11																									24.791191																																										-9.656857	-15.134333																																																																																																																																																										0.000000	
 1 	 12																									24.031964																																										-10.253149	-13.778815																																																																																																																																																										0.000000	
 1 	 13																									24.246055																																										-10.857178	-13.388877																																																																																																																																																										0.000000	
 1 	 14																									25.179672																																										-11.360543	-13.819129																																																																																																																																																										0.000000	
 1 	 15																									25.489599																																										-11.027548	-14.462051																																																																																																																																																										0.000000	
 1 	 16																									27.199600																																										-12.088494	-15.111106																																																																																																																																																										0.000000	
 1 	 17																									31.351962																																										-14.907339	-16.444623																																																																																																																																																										0.000000	
 1 	 18																									34.692462																																										-15.968277	-18.724185																																																																																																																																																										0.000000	
 1 	 19																									36.811688																																										-16.471642	-20.340046																																																																																																																																																										0.000000	
 1 	 20																									37.239907																																										-16.502618	-20.737289																																																																																																																																																										0.000000	
 1 	 21																									36.465693																																										-16.239320	-20.226374																																																																																																																																																										0.000000	
 1 	 22																									35.110449																																										-15.875348	-19.235100																																																																																																																																																										0.000000	
 1 	 23																									33.370392																																										-14.984780	-18.385612																																																																																																																																																										0.000000	
 1 	 24																									30.743469																																										-13.296572	-17.446897																																																																																																																																																										0.000000	
 2 	 1																									30.735017																																										-9.308367	-21.426650																																																																																																																																																										0.000000	
 2 	 2																									32.764074																																										-10.555163	-22.208911																																																																																																																																																										0.000000	
 2 	 3																									32.545361																																										-10.764252	-21.781109																																																																																																																																																										0.000000	
 2 	 4																									30.846134																																										-10.090519	-20.755615																																																																																																																																																										0.000000	
 2 	 5																									29.170894																																										-9.292879	-19.878014																																																																																																																																																										0.000000	
 2 	 6																									27.365165																																										-8.200965	-19.164200																																																																																																																																																										0.000000	
 2 	 7																									25.606170																																										-6.791544	-18.814626																																																																																																																																																										0.000000	
 2 	 8																									24.223666																																										-5.451819	-18.771847																																																																																																																																																										0.000000	
 2 	 9																									22.993293																																										-4.538018	-18.455275																																																																																																																																																										0.000000	
 2 	 10																									22.551166																																										-4.359905	-18.191261																																																																																																																																																										0.000000	
 2 	 11																									22.884204																																										-4.832289	-18.051915																																																																																																																																																										0.000000	
 2 	 12																									23.697610																																										-5.304677	-18.392933																																																																																																																																																										0.000000	
 2 	 13																									24.271562																																										-6.079084	-18.192478																																																																																																																																																										0.000000	
 2 	 14																									23.885373																																										-6.218478	-17.666895																																																																																																																																																										0.000000	
 2 	 15																									22.818658																																										-6.040364	-16.778294																																																																																																																																																										0.000000	
 2 	 16																									20.258055																																										-5.188516	-15.069539																																																																																																																																																										0.000000	
 2 	 17																									18.890125																																										-4.677407	-14.212718																																																																																																																																																										0.000000	
 2 	 18																									19.853025																																										-5.041383	-14.811642																																																																																																																																																										0.000000	
 2 	 19																									21.458918																																										-5.614445	-15.844474																																																																																																																																																										0.000000	
 2 	 20																									23.209905																																										-6.319155	-16.890750																																																																																																																																																										0.000000	
 2 	 21																									25.730216																																										-7.287165	-18.443052																																																																																																																																																										0.000000	
 2 	 22																									28.132562																																										-8.750794	-19.381767																																																																																																																																																										0.000000	
 2 	 23																									29.648794																																										-10.330585	-19.318208																																																																																																																																																										0.000000	
 2 	 24																									30.460135																																										-11.801960	-18.658175																																																																																																																																																										0.000000	
 3 	 1																									87.268118																																										-39.316653	-47.951465																																																																																																																																																										0.000000	
 3 	 2																									88.762742																																										-40.857724	-47.905018																																																																																																																																																										0.000000	
 3 	 3																									90.396150																																										-43.080273	-47.315876																																																																																																																																																										0.000000	
 3 	 4																									92.752052																																										-45.628075	-47.123977																																																																																																																																																										0.000000	
 3 	 5																									95.136057																																										-48.152643	-46.983414																																																																																																																																																										0.000000	
 3 	 6																									95.294764																																										-48.725705	-46.569059																																																																																																																																																										0.000000	
 3 	 7																									94.254649																																										-47.780928	-46.473721																																																																																																																																																										0.000000	
 3 	 8																									94.249777																																										-47.827392	-46.422385																																																																																																																																																										0.000000	
 3 	 9																									94.220322																																										-48.586311	-45.634011																																																																																																																																																										0.000000	
 3 	 10																									95.049260																																										-49.190349	-45.858911																																																																																																																																																										0.000000	
 3 	 11																									95.916998																																										-50.042197	-45.874801																																																																																																																																																										0.000000	
 3 	 12																									98.395913																																										-52.512556	-45.883357																																																																																																																																																										0.000000	
 3 	 13																									101.983497																																										-56.206479	-45.777018																																																																																																																																																										0.000000	
 3 	 14																									101.510159																																										-56.454290	-45.055870																																																																																																																																																										0.000000	
 3 	 15																									98.205469																																										-54.200764	-44.004705																																																																																																																																																										0.000000	
 3 	 16																									95.496392																																										-52.899760	-42.596632																																																																																																																																																										0.000000	
 3 	 17																									93.225348																																										-51.722661	-41.502687																																																																																																																																																										0.000000	
