Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																									30.061702																																										-11.430251	-18.631451																																																																																																																																																										0.000000	
 1 	 2																									27.851325																																										-9.711067	-18.140258																																																																																																																																																										0.000000	
 1 	 3																									26.779236																																										-8.510735	-18.268501																																																																																																																																																										0.000000	
 1 	 4																									26.743153																																										-8.301645	-18.441507																																																																																																																																																										0.000000	
 1 	 5																									27.293422																																										-8.549456	-18.743966																																																																																																																																																										0.000000	
 1 	 6																									27.530360																																										-8.913427	-18.616933																																																																																																																																																										0.000000	
 1 	 7																									26.995100																																										-8.712081	-18.283019																																																																																																																																																										0.000000	
 1 	 8																									25.842601																																										-8.642384	-17.200217																																																																																																																																																										0.000000	
 1 	 9																									24.892631																																										-8.580432	-16.312199																																																																																																																																																										0.000000	
 1 	 10																									24.839677																																										-8.835986	-16.003690																																																																																																																																																										0.000000	
 1 	 11																									24.637028																																										-9.656858	-14.980170																																																																																																																																																										0.000000	
 1 	 12																									23.891611																																										-10.253150	-13.638461																																																																																																																																																										0.000000	
 1 	 13																									24.109699																																										-10.857182	-13.252516																																																																																																																																																										0.000000	
 1 	 14																									25.038926																																										-11.360547	-13.678379																																																																																																																																																										0.000000	
 1 	 15																									25.342305																																										-11.027552	-14.314752																																																																																																																																																										0.000000	
 1 	 16																									27.045676																																										-12.088495	-14.957181																																																																																																																																																										0.000000	
 1 	 17																									31.184453																																										-14.907340	-16.277113																																																																																																																																																										0.000000	
 1 	 18																									34.501733																																										-15.968278	-18.533455																																																																																																																																																										0.000000	
 1 	 19																									36.604499																																										-16.471643	-20.132856																																																																																																																																																										0.000000	
 1 	 20																									37.028671																																										-16.502619	-20.526052																																																																																																																																																										0.000000	
 1 	 21																									36.259662																																										-16.239320	-20.020341																																																																																																																																																										0.000000	
 1 	 22																									34.914515																																										-15.875349	-19.039166																																																																																																																																																										0.000000	
 1 	 23																									33.183111																																										-14.984781	-18.198331																																																																																																																																																										0.000000	
 1 	 24																									30.565750																																										-13.296573	-17.269178																																																																																																																																																										0.000000	
 2 	 1																									30.516764																																										-9.308370	-21.208393																																																																																																																																																										0.000000	
 2 	 2																									32.537853																																										-10.555166	-21.982687																																																																																																																																																										0.000000	
 2 	 3																									32.323500																																										-10.764255	-21.559244																																																																																																																																																										0.000000	
 2 	 4																									30.634716																																										-10.090522	-20.544194																																																																																																																																																										0.000000	
 2 	 5																									28.968415																																										-9.292882	-19.675533																																																																																																																																																										0.000000	
 2 	 6																									27.169958																																										-8.200968	-18.968990																																																																																																																																																										0.000000	
 2 	 7																									25.414524																																										-6.791547	-18.622977																																																																																																																																																										0.000000	
 2 	 8																									24.032455																																										-5.451822	-18.580633																																																																																																																																																										0.000000	
 2 	 9																									22.805308																																										-4.538022	-18.267286																																																																																																																																																										0.000000	
 2 	 10																									22.365870																																										-4.359908	-18.005962																																																																																																																																																										0.000000	
 2 	 11																									22.700330																																										-4.832293	-17.868036																																																																																																																																																										0.000000	
 2 	 12																									23.510262																																										-5.304682	-18.205580																																																																																																																																																										0.000000	
 2 	 13																									24.086256																																										-6.079089	-18.007167																																																																																																																																																										0.000000	
 2 	 14																									23.705420																																										-6.218482	-17.486938																																																																																																																																																										0.000000	
 2 	 15																									22.647757																																										-6.040369	-16.607389																																																																																																																																																										0.000000	
 2 	 16																									20.104561																																										-5.188521	-14.916040																																																																																																																																																										0.000000	
 2 	 17																									18.745358																																										-4.677412	-14.067946																																																																																																																																																										0.000000	
 2 	 18																									19.702155																																										-5.041386	-14.660769																																																																																																																																																										0.000000	
 2 	 19																									21.297527																																										-5.614448	-15.683079																																																																																																																																																										0.000000	
 2 	 20																									23.037856																																										-6.319159	-16.718698																																																																																																																																																										0.000000	
 2 	 21																									25.542356																																										-7.287168	-18.255188																																																																																																																																																										0.000000	
 2 	 22																									27.935139																																										-8.750798	-19.184341																																																																																																																																																										0.000000	
 2 	 23																									29.452018																																										-10.330589	-19.121429																																																																																																																																																										0.000000	
 2 	 24																									30.270082																																										-11.801963	-18.468119																																																																																																																																																										0.000000	
 3 	 1																									86.779673																																										-39.316656	-47.463017																																																																																																																																																										0.000000	
 3 	 2																									88.274770																																										-40.857726	-47.417043																																																																																																																																																										0.000000	
 3 	 3																									89.914179																																										-43.080276	-46.833903																																																																																																																																																										0.000000	
 3 	 4																									92.272035																																										-45.628077	-46.643958																																																																																																																																																										0.000000	
 3 	 5																									94.657471																																										-48.152645	-46.504827																																																																																																																																																										0.000000	
 3 	 6																									94.820399																																										-48.725706	-46.094693																																																																																																																																																										0.000000	
 3 	 7																									93.781255																																										-47.780929	-46.000326																																																																																																																																																										0.000000	
 3 	 8																									93.776906																																										-47.827394	-45.949512																																																																																																																																																										0.000000	
 3 	 9																									93.755482																																										-48.586313	-45.169169																																																																																																																																																										0.000000	
 3 	 10																									94.582129																																										-49.190351	-45.391779																																																																																																																																																										0.000000	
 3 	 11																									95.449705																																										-50.042199	-45.407507																																																																																																																																																										0.000000	
 3 	 12																									97.928533																																										-52.512558	-45.415975																																																																																																																																																										0.000000	
 3 	 13																									101.517201																																										-56.206481	-45.310720																																																																																																																																																										0.000000	
 3 	 14																									101.051209																																										-56.454291	-44.596917																																																																																																																																																										0.000000	
 3 	 15																									97.757225																																										-54.200766	-43.556460																																																																																																																																																										0.000000	
 3 	 16																									95.062492																																										-52.899762	-42.162730																																																																																																																																																										0.000000	
 3 	 17																									92.802591																																										-51.722663	-41.079928																																																																																																																																																										0.000000	
