Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1			0.000000		0.000000																																																																																																		-0.125346	-0.000008					-0.000000								-2.282244				-0.000000																										0.000004								2.238092	0.000010	0.000020																																																	-37267.677525	37267.846998															0.000000	
 1 	 2			0.000000		0.000000																																																																																																		-0.050181	-0.000003					-0.000000								-2.282295				-0.000000																										0.000004								2.239519	0.000010	0.000018																																																	-37226.193518	37226.286447															0.000000	
 1 	 3			0.000000		0.000000																																																																																																		-0.024984	-0.000002					-0.000000								-2.282354				-0.000000																										0.000003								2.239669	0.000010	0.000017																																																	-35485.985220	35486.052862															0.000000	
 1 	 4			0.000000		0.000000																																																																																																		-0.301088	-0.000019					-0.000000								-2.282210				-0.000000																										0.000004								2.235847	0.000011	0.000021																																																	-37283.318285	37283.665722															0.000000	
 1 	 5			0.000000		0.000000																																																																																																		-0.802901	-0.000051					-0.000001								-2.282220				-0.000000																										0.000004								2.235672	0.000012	0.000020																																																	-37281.941461	37282.790925															0.000000	
 1 	 6			0.000000		0.000000																																																																																																		-2.007252	-0.000127					-0.000002								-2.282226				-0.000000																										0.000004								2.235607	0.000012	0.000020																																																	-37291.492773	37293.546738															0.000000	
 1 	 7			0.000000		0.000000																																																																																																		-3.888517	-0.000247					-0.000003								-2.282232				-0.000000																										0.000004								2.235292	0.000012	0.000021																																																	-37302.217033	37306.152703															0.000000	
 1 	 8			0.000000		0.000000																																																																																																		-3.386768	-0.000215					-0.000003								-2.282228				-0.000000																										0.000004								2.235385	0.000012	0.000021																																																	-37311.399971	37314.833764															0.000000	
 1 	 9			0.000000		0.000000																																																																																																		-3.135904	-0.000199					-0.000003								-2.282227				-0.000000																										0.000004								0.988409	0.000012	0.000020																																																	-37320.134630	37324.564518															0.000000	
 1 	 10			0.000000		0.000000																																																																																																		-3.512221	-0.000223					-0.000003								-2.282226				-0.000000																										0.000004								2.235618	0.000012	0.000020																																																	-37324.911561	37328.470581															0.000000	
 1 	 11			0.000000		0.000000																																																																																																		-4.013949	-0.000255					-0.000004								-2.282227				-0.000000																										0.000004								2.235264	0.000012	0.000020																																																	-37325.392311	37329.453445															0.000000	
 1 	 12			0.000000		0.000000																																																																																																		-4.415356	-0.000280					-0.000004								-1.561243				-0.000000																										0.000003								2.234752	0.000012	0.000021																																																	-37325.368192	37329.110288															0.000000	
 1 	 13			0.000000		0.000000																																																																																																		-4.013949	-0.000255					-0.000004								-1.527496				-0.000000																										0.000005								2.009530	0.000012	0.000021																																																	-37326.268133	37329.800269															0.000000	
 1 	 14			0.000000		0.000000																																																																																																		-4.064130	-0.000258					-0.000004								-1.547021				-0.000000																										0.000005								1.070094	0.000012	0.000020																																																	-37326.385017	37330.926299															0.000000	
 1 	 15			0.000000		0.000000																																																																																																		-4.565879	-0.000290					-0.000004								-1.567877				-0.000000																										0.000005								1.609359	0.000012	0.000020																																																	-37324.495538	37329.020192															0.000000	
 1 	 16			0.000000		0.000000																																																																																																		-4.766583	-0.000303					-0.000004								-1.571791				-0.000000																										0.000003								2.234776	0.000012	0.000021																																																	-37326.123009	37330.226877															0.000000	
 1 	 17			0.000000		0.000000																																																																																																		-4.766583	-0.000303					-0.000004								-2.282229				-0.000000																										0.000004								2.235479	0.000012	0.000020																																																	-37322.665168	37327.478772															0.000000	
 1 	 18			0.000000		0.000000																																																																																																		-3.512221	-0.000223					-0.000003								-2.282225				-0.000000																										0.000004								2.235901	0.000012	0.000020																																																	-37324.751867	37328.310603															0.000000	
 1 	 19			0.000000		0.000000																																																																																																		-2.508723	-0.000159					-0.000002								-2.282223				-0.000000																										0.000004								2.235890	0.000012	0.000020																																																	-37323.752722	37326.307903															0.000000	
 1 	 20			0.000000		0.000000																																																																																																		-1.881265	-0.000119					-0.000002								-2.282219				-0.000000																										0.000004								2.235835	0.000012	0.000020																																																	-37319.017385	37320.945120															0.000000	
 1 	 21			0.000000		0.000000																																																																																																		-1.253465	-0.000080					-0.000001								-2.282217				-0.000000																										0.000004								2.235950	0.000012	0.000020																																																	-37321.962169	37323.261945															0.000000	
 1 	 22			0.000000		0.000000																																																																																																		-0.802901	-0.000051					-0.000001								-2.282216				-0.000000																										0.000004								2.236014	0.000012	0.000020																																																	-37319.979338	37320.828456															0.000000	
 1 	 23			0.000000		0.000000																																																																																																		-0.501813	-0.000032					-0.000000								-2.282214				-0.000000																										0.000004								2.235907	0.000012	0.000020																																																	-37302.251789	37302.799906															0.000000	
 1 	 24			0.000000		0.000000																																																																																																		-0.200725	-0.000013					-0.000000								-2.282253				-0.000000																										0.000004								2.236933	0.000011	0.000019																																																	-37245.450086	37245.696111															0.000000	
 2 	 1			0.000000		0.000000																																																																																																		-0.125346	-0.000008					-0.000000								-1.318321				-0.000000																										0.000004								3.824276	0.000012	0.000025																																																	-37178.481037	37176.100395															0.000000	
 2 	 2			0.000000		0.000000																																																																																																		-0.050181	-0.000003					-0.000000								-1.211092				-0.000000																										0.000004								3.825420	0.000013	0.000023																																																	-37223.348164	37220.783981															0.000000	
 2 	 3			0.000000		0.000000																																																																																																		-0.024984	-0.000002					-0.000000								-1.350536				-0.000000																										0.000004								3.825755	0.000012	0.000021																																																	-35726.183067	35723.732797															0.000000	
 2 	 4			0.000000		0.000000																																																																																																		-0.301088	-0.000019					-0.000000								-1.485274				-0.000000																										0.000004								3.822440	0.000013	0.000026																																																	-37299.570337	37297.534236															0.000000	
