TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.796736	6175.859091	60.000000	0.000000	59.999999	60.000000	0.000000	0.355008	1.000000	0.843906	0.843906	0.052828	42472.799523
CCGT	6048.118783	153.179210	25.000000	4.000000	7.322532	Infinity	0.000000	0.002784	1.000000	0.054224	0.955769	0.070952	1345.808212
CCGT_AMMONIA	0.046838	0.001186	25.000000	0.000000	0.000057	Infinity	0.000000	0.000000	1.000000	0.026131	0.590000	0.070952	0.010422
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.997395	2927.867710	25.000000	0.000000	209.999974	210.000000	0.000000	0.218079	1.000000	0.148116	1.000000	0.070952	267749.966785
WIND_ONSHORE	85646.989790	996.141058	30.000000	0.000000	74.999991	75.000000	0.000000	0.137351	1.000000	0.261202	1.000000	0.065051	46713.744431
WIND_OFFSHORE	321437.997107	2236.403057	30.000000	0.000000	59.999999	60.000000	0.000000	0.212612	1.000000	0.505410	1.000000	0.065051	37370.999664
HYDRO_RIVER	110988.234848	1109.785509	80.000000	0.000000	21.999999	22.000000	0.000000	0.074166	1.000000	0.480829	1.000000	0.051030	27782.038710
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.060268	0.003874	25.000000	0.000000	0.000039	Infinity	0.000000	0.000000	1.000000	0.056492	0.844900	0.070952	0.040399
