TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.794358	6175.859040	60.000000	0.000000	59.999999	60.000000	0.000000	0.355168	1.000000	0.843906	0.843906	0.052828	42472.799176
CCGT	4935.189109	124.992315	25.000000	4.000000	5.975095	Infinity	0.000000	0.002273	1.000000	0.054224	0.955769	0.070952	1098.162631
CCGT_AMMONIA	0.053413	0.001353	25.000000	0.000000	0.000065	Infinity	0.000000	0.000000	1.000000	0.033387	0.590000	0.070952	0.011885
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.999922	2927.868062	25.000000	0.000000	209.999999	210.000000	0.000000	0.218088	1.000000	0.148056	1.000000	0.070952	267749.999004
WIND_ONSHORE	85646.995351	996.141122	30.000000	0.000000	74.999996	75.000000	0.000000	0.137540	1.000000	0.261444	1.000000	0.065051	46713.747464
WIND_OFFSHORE	321437.987678	2236.402991	30.000000	0.000000	59.999998	60.000000	0.000000	0.213035	1.000000	0.506188	1.000000	0.065051	37370.998567
HYDRO_RIVER	110988.228669	1109.785447	80.000000	0.000000	21.999998	22.000000	0.000000	0.073896	1.000000	0.478862	1.000000	0.051030	27782.037164
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.074812	0.004809	25.000000	0.000000	0.000049	Infinity	0.000000	0.000000	1.000000	0.071504	0.844900	0.070952	0.050148
