Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1				0.000000	0.000000			0.000000														0.000000		6.036967					3.431736					-0.002339	-0.002896	-1.907162	-0.010220	-0.010445	-0.000025	-0.222137	-0.014128	-0.078874	-0.000005	-0.000005	-0.000004	-0.000004	-1.791226	-0.659951	-0.744641	-0.000023	-1.488105	-0.318574	-0.090533	-0.000049	-0.000034	-0.133945	-0.000020	-0.390794	-3.270775	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549901																																																							0.000000	
 1 	 2				0.000000	0.000000			0.000000														0.000000		6.021118					3.431736					-0.002337	-0.002894	-1.903250	-0.010211	-0.010438	-0.000025	-0.221956	-0.014113	-0.078792	-0.000005	-0.000005	-0.000004	-0.000004	-1.789549	-0.659385	-0.743907	-0.000023	-1.486629	-0.318332	-0.090451	-0.000049	-0.000033	-0.133500	-0.000020	-0.395215	-3.266800	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.550219																																																							0.000000	
 1 	 3				0.000000	0.000000			0.000000														0.000000		6.015939					3.431735					-0.002333	-0.002888	-1.893350	-0.010191	-0.010420	-0.000025	-0.221532	-0.014076	-0.078583	-0.000005	-0.000005	-0.000004	-0.000004	-1.785301	-0.657951	-0.742049	-0.000023	-1.482891	-0.317720	-0.090261	-0.000049	-0.000033	-0.132991	-0.000020	-0.395018	-3.267506	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549052																																																							0.000000	
 1 	 4				0.000000	0.000000			0.000000														0.000000		6.074152					3.431737					-0.002338	-0.002895	-1.905488	-0.010216	-0.010442	-0.000025	-0.222059	-0.014121	-0.078839	-0.000005	-0.000005	-0.000004	-0.000004	-1.790517	-0.659708	-0.744325	-0.000023	-1.487478	-0.318469	-0.090494	-0.000049	-0.000033	-0.133740	-0.000020	-0.390921	-3.270854	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549724																																																							0.000000	
 1 	 5				0.000000	0.000000			0.000000														0.000000		6.180011					3.431740					-0.002338	-0.002894	-1.904449	-0.010213	-0.010440	-0.000025	-0.222010	-0.014117	-0.078817	-0.000005	-0.000005	-0.000004	-0.000004	-1.790075	-0.659557	-0.744130	-0.000023	-1.487087	-0.318405	-0.090474	-0.000049	-0.000034	-0.133940	-0.000020	-0.391188	-3.270387	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549669																																																							0.000000	
 1 	 6				0.000000	0.000000			0.000000														0.000000		6.433953					3.431740					-0.002337	-0.002894	-1.903157	-0.010210	-0.010438	-0.000025	-0.221950	-0.014112	-0.078789	-0.000005	-0.000005	-0.000004	-0.000004	-1.789524	-0.659369	-0.743887	-0.000023	-1.486601	-0.318324	-0.090449	-0.000049	-0.000034	-0.133928	-0.000020	-0.391232	-3.270355	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549533																																																							0.000000	
 1 	 7				0.000000	0.000000			0.000000														0.000000		6.830615					3.431740					-0.002337	-0.002893	-1.902430	-0.010209	-0.010436	-0.000025	-0.221916	-0.014109	-0.078774	-0.000005	-0.000005	-0.000004	-0.000004	-1.789215	-0.659263	-0.743749	-0.000023	-1.486328	-0.318279	-0.090435	-0.000049	-0.000034	-0.134014	-0.000020	-0.392470	-3.269031	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549677																																																							0.000000	
 1 	 8				0.000000	0.000000			0.000000														0.000000		6.724814					3.431739					-0.002336	-0.002892	-1.900561	-0.010205	-0.010433	-0.000025	-0.221831	-0.014102	-0.078734	-0.000005	-0.000005	-0.000004	-0.000004	-1.788417	-0.658992	-0.743398	-0.000023	-1.485624	-0.318163	-0.090398	-0.000049	-0.000034	-0.134314	-0.000020	-0.393595	-3.267607	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549687																																																							0.000000	
 1 	 9				0.000000	0.000000			0.000000														0.000000		6.671923					3.431749					-0.002330	-0.002884	-1.885495	-0.010174	-0.010406	-0.000025	-0.221202	-0.014053	-0.078405	-0.000005	-0.000005	-0.000004	-0.000004	-1.781951	-0.656811	-0.740571	-0.000023	-1.479935	-0.317231	-0.090107	-0.000049	-0.000034	-0.134362	-0.000020	-0.394751	-3.266406	-0.000170																																																																																									0.415005										-6.270000			-0.000001	-0.000004				12.548225																																																							0.000000	
 1 	 10				0.000000	0.000000			0.000000														0.000000		6.751255					3.431740					-0.002331	-0.002885	-1.886609	-0.010177	-0.010408	-0.000025	-0.221248	-0.014056	-0.078431	-0.000005	-0.000005	-0.000004	-0.000004	-1.782434	-0.656972	-0.740779	-0.000023	-1.480358	-0.317300	-0.090129	-0.000049	-0.000034	-0.134137	-0.000020	-0.392362	-3.269016	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.547911																																																							0.000000	
 1 	 11				0.000000	0.000000			0.000000														0.000000		6.857038					3.431739					-0.002339	-0.002896	-1.909013	-0.010225	-0.010448	-0.000025	-0.222218	-0.014135	-0.078911	-0.000005	-0.000005	-0.000004	-0.000004	-1.792059	-0.660214	-0.744982	-0.000023	-1.488822	-0.318684	-0.090576	-0.000049	-0.000034	-0.133809	-0.000020	-0.389513	-3.272193	-0.000170																																																																																									0.415006										-6.270000			-0.000001	-0.000004				12.549873																																																							0.000000	
