Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																			0.000000		0.000000																																										-0.000014																																																															0.000023																									-0.000006																																																													-31141.536478	31145.879511									-4.343037	
 1 	 2																			0.000000		0.000000																																										-0.000013																																																															0.000022																									-0.000006																																																													-30936.981908	30941.324940									-4.343037	
 1 	 3																			0.000000		0.000000																																										-0.000011																																																															0.000021																									-0.000006																																																													-30688.924059	30693.267092									-4.343037	
 1 	 4																			0.000000		0.000000																																										-0.000014																																																															0.000024																									-0.000006																																																													-31030.138126	31034.481158									-4.343037	
 1 	 5																			0.000000		0.000000																																										-0.000016																																																															0.000023																									-0.000006																																																													-31019.662801	31024.005836									-4.343037	
 1 	 6																			0.000000		0.000000																																										-0.000016																																																															0.000023																									-0.000006																																																													-31016.165378	31020.508413									-4.343037	
 1 	 7																			0.000000		0.000000																																										-0.000016																																																															0.000023																									-0.000006																																																													-31014.740241	31019.083276									-4.343037	
 1 	 8																			0.000000		0.000000																																										-0.000015																																																															0.000023																									-0.000006																																																													-31010.837015	31015.180049									-4.343037	
 1 	 9																			0.000000		0.000000																																										-0.000024																																																															0.000021																									-0.000006																																																													-31012.804560	31017.147606									-4.343037	
 1 	 10																			0.000000		0.000000																																										-0.000012																																																															0.000024																									-0.000006																																																													-31013.185820	31017.528850									-4.343037	
 1 	 11																			0.000000		0.000000																																										-0.000012																																																															0.000024																									-0.000006																																																													-31012.434520	31016.777550									-4.343037	
 1 	 12																			0.000000		0.000000																																										-0.000005																																																															0.000183																									-0.000006																																																													-31010.659324	31015.002188									-4.343037	
 1 	 13																			0.000000		0.000000																																										-0.000003																																																															6.207191																									-0.000006																																																													-31012.172849	31010.308703									-4.343037	
 1 	 14																			0.000000		0.000000																																										-0.000004																																																															6.207283																									-0.000006																																																													-31012.081650	31010.217413									-4.343037	
 1 	 15																			0.000000		0.000000																																										-0.000002																																																															6.207291																									-0.000006																																																													-31008.140388	31006.276142									-4.343037	
 1 	 16																			0.000000		0.000000																																										-0.000004																																																															0.000184																									-0.000006																																																													-30993.020103	30997.362966									-4.343037	
 1 	 17																			0.000000		0.000000																																										-0.000012																																																															0.000024																									-0.000006																																																													-31000.999839	31005.342868									-4.343037	
 1 	 18																			0.000000		0.000000																																										-0.000012																																																															0.000024																									-0.000006																																																													-31007.081988	31011.425017									-4.343037	
 1 	 19																			0.000000		0.000000																																										-0.000012																																																															0.000024																									-0.000006																																																													-31010.651841	31014.994871									-4.343037	
 1 	 20																			0.000000		0.000000																																										-0.000013																																																															0.000024																									-0.000006																																																													-31014.839371	31019.182401									-4.343037	
 1 	 21																			0.000000		0.000000																																										-0.000013																																																															0.000024																									-0.000006																																																													-31019.983468	31024.326499									-4.343037	
 1 	 22																			0.000000		0.000000																																										-0.000013																																																															0.000024																									-0.000006																																																													-31029.207329	31033.550360									-4.343037	
 1 	 23																			0.000000		0.000000																																										-0.000013																																																															0.000024																									-0.000006																																																													-31063.181243	31067.524274									-4.343037	
 1 	 24																			0.000000		0.000000																																										-0.000014																																																															0.000024																									-0.000006																																																													-31208.406018	31212.749050									-4.343037	
 2 	 1																			0.000000		0.000000																																										-0.000006																																																															0.000157																									-0.000007																																																													-31234.159891	31238.502783									-4.343037	
 2 	 2																			0.000000		0.000000																																										-0.000006																																																															0.000151																									-0.000007																																																													-30968.223321	30972.566219									-4.343037	
 2 	 3																			0.000000		0.000000																																										-0.000006																																																															0.000139																									-0.000007																																																													-30735.567654	30739.910564									-4.343037	
 2 	 4																			0.000000		0.000000																																										-0.000006																																																															0.000161																									-0.000007																																																													-30998.415538	31002.758426									-4.343037	
 2 	 5																			0.000000		0.000000																																										-0.000006																																																															0.000156																									-0.000007																																																													-31009.601757	31013.944650									-4.343037	
 2 	 6																			0.000000		0.000000																																										-0.000006																																																															0.000151																									-0.000007																																																													-31014.445213	31018.788111									-4.343037	
 2 	 7																			0.000000		0.000000																																										-0.000006																																																															0.000147																									-0.000007																																																													-31012.495629	31016.838531									-4.343037	
 2 	 8																			0.000000		0.000000																																										-0.000006																																																															0.000142																									-0.000007																																																													-31014.984063	31019.326970									-4.343037	
 2 	 9																			0.000000		0.000000																																										-0.000006																																																															0.000138																									-0.000007																																																													-31023.001654	31027.344565									-4.343037	
 2 	 10																			0.000000		0.000000																																										-0.000006																																																															0.000152																									-0.000007																																																													-31021.127946	31025.470843									-4.343037	
 2 	 11																			0.000000		0.000000																																										-0.000005																																																															0.000443																									-0.000007																																																													-31018.564183	31022.906788									-4.343037	
 2 	 12																			0.000000		0.000000																																										-0.000005																																																															0.000623																									-0.000007																																																													-31012.915814	31017.258240									-4.343037	
 2 	 13																			0.000000		0.000000																																										-0.000005																																																															6.207425																									-0.000007																																																													-31015.653590	31013.789214									-4.343037	
 2 	 14																			0.000000		0.000000																																										-0.000005																																																															3.244903																									-0.000007																																																													-31009.243397	31010.341542									-4.343037	
 2 	 15																			0.000000		0.000000																																										-0.000005																																																															1.637045																									-0.000007																																																													-31000.277086	31002.983089									-4.343037	
 2 	 16																			0.000000		0.000000																																										-0.000005																																																															0.000473																									-0.000007																																																													-30992.451168	30996.793743									-4.343037	
 2 	 17																			0.000000		0.000000																																										-0.000005																																																															0.000379																									-0.000007																																																													-30987.778521	30992.121190									-4.343037	
 2 	 18																			0.000000		0.000000																																										-0.000006																																																															0.000168																									-0.000007																																																													-30991.238590	30995.581471									-4.343037	
