Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																											151.991329	0.000016	0.000006	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000421	0.000446	-16.504708	12.066752	-0.000427	0.000433	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000429	-0.000431	0.000431	-0.000431	0.000432	-0.000431	0.000431																											-147.553438	
 1 	 2																																																																																											151.991316	0.000017	0.000006	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000420	0.000447	-14.394846	13.930815	-0.000428	0.000433	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000431	0.000429	-0.000430	0.000431	-0.000431	0.000432	-0.000431	0.000431																											-151.527352	
 1 	 3																																																																																											151.991312	0.000018	0.000006	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000421	0.000447	-14.267886	14.064673	-0.000427	0.000432	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000429	-0.000430	0.000430	-0.000431	0.000432	-0.000431	0.000431																											-151.788166	
 1 	 4																																																																																											151.991333	0.000018	0.000006	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000420	0.000446	-14.140016	14.177439	-0.000428	0.000434	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000430	-0.000430	0.000431	-0.000431	0.000432	-0.000431	0.000431																											-152.028822	
 1 	 5																																																																																											151.991333	0.000018	0.000006	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000420	0.000447	-13.495772	14.849604	-0.000426	0.000432	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000430	-0.000431	0.000431	-0.000431	0.000432	-0.000431	0.000431																											-153.345232	
 1 	 6																																																																																											151.991333	0.000018	0.000006	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000420	0.000447	-11.471681	17.314470	-0.000427	0.000433	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000429	-0.000431	0.000431	-0.000431	0.000432	-0.000431	0.000431																											-157.834192	
 1 	 7																																																																																											151.991333	0.000018	0.000006	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000419	0.000447	-9.890420	19.638421	-0.000426	0.000433	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000429	-0.000431	0.000431	-0.000431	0.000433	-0.000431	0.000431																											-161.739405	
 1 	 8																																																																																											151.991326	0.000019	0.000007	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000419	0.000448	-8.651561	21.611610	-0.000427	0.000434	-0.000432	0.000429	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000429	-0.000431	0.000431	-0.000431	0.000433	-0.000431	0.000431																											-164.951446	
 1 	 9																																																																																											151.991332	0.000020	0.000008	0.000001	0.000003	0.000003	0.000005	0.000003	0.000001	0.000000	0.000001																																																																											-0.000419	0.000448	-7.323862	24.045545	-0.000428	0.000434	-0.000433	0.000428	-0.000431	0.000430	-0.000432	0.000429	-0.000432	0.000429	-0.000431	0.000431	-0.000430	0.000431	-0.000431	0.000431																											-168.713089	
 1 	 10																																																																																											151.991333	0.000020	0.000005	0.000001	0.000003	0.000003	0.000006	0.000003	0.000001	0.000015	0.000001																																																																											-0.000419	0.000447	-6.375134	26.297334	-0.000428	0.000433	-0.000432	0.000429	-0.000431	0.000429	-0.000432	0.000429	-0.000432	0.000429	-0.000432	0.000431	-0.000430	0.000430	-0.000431	0.000430																											-171.913611	
 1 	 11																																																																																											151.991333	0.000020	0.000005	0.000001	0.000003	0.000003	0.000006	0.000004	0.000001	0.000069	0.000001																																																																											-0.000423	0.000444	-8.188533	22.484305	-0.000432	0.000430	-0.000433	0.000428	-0.000433	0.000427	-0.000434	0.000428	-0.000434	0.000428	-0.000434	0.000428	-0.000435	0.000428	-0.000434	0.000427																											-166.287191	
 1 	 12																																																																																											151.991334	0.000021	0.000001	0.000001	0.000001	0.000001	0.000006	0.000004	0.000001	0.000134	0.000006																																																																											-0.000431	0.000437	-11.831122	16.795182	-0.000437	0.000425	-0.000434	0.000427	-0.000436	0.000425	-0.000434	0.000427	-0.000434	0.000427	-0.000438	0.000425	-0.000438	0.000423	-0.000437	0.000424																											-156.955488	
 1 	 13																																																																																											151.991334	0.000021	0.000001	0.000001	0.000000	0.000000	0.000006	0.000004	0.000001	0.000178	0.000036																																																																											-0.000449	0.000418	-16.794301	11.843320	-0.000441	0.000421	-0.000435	0.000426	-0.000439	0.000422	-0.000434	0.000425	-0.000434	0.000425	-0.000441	0.000423	-0.000449	0.000428	-0.000440	0.000422																											-147.040450	
 1 	 14																																																																																											151.991335	0.000022	0.000001	0.000001	0.000001	0.000000	0.000006	0.000004	0.000001	0.000199	0.000536																																																																											-0.000753	0.000218	-20.206079	9.484282	-0.000443	0.000419	-0.000436	0.000425	-0.000440	0.000421	-0.000434	0.000425	-0.000435	0.000424	-0.000442	0.000422	-0.000450	0.000427	-0.000441	0.000421																											-141.269636	
