Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1												0.000000																						0.006152	0.007617	5.031274	0.000107	0.882267	0.000026	0.583532	0.037171	0.207227	0.000010	0.000010	0.000008	0.000007	4.698532	1.732194	1.953894	1.927908	3.901401	0.836265	0.238121	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.914299				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.034823																																																											-2894042.287902	2894045.193309	0.000000	
 1 	 2												0.000000																						0.006148	0.007611	5.023779	0.000107	0.881174	0.000026	0.582892	0.037126	0.206965	0.000010	0.000010	0.000008	0.000007	4.691920	1.729466	1.950605	1.925823	3.894771	0.835229	0.237872	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.913638				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.154260																																																											-2894025.420879	2894028.477236	0.000000	
 1 	 3												0.000000																						0.006137	0.007595	5.004800	0.000107	0.878410	0.000026	0.581274	0.037012	0.206280	0.000010	0.000010	0.000008	0.000007	4.675170	1.722127	1.942288	1.920296	3.877988	0.832612	0.237232	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.915596				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.395998																																																											-2894003.227415	2894006.609627	0.000000	
 1 	 4												0.000000																						0.006151	0.007614	5.028099	0.000107	0.881795	0.000026	0.583255	0.037151	0.207113	0.000010	0.000010	0.000008	0.000007	4.695744	1.731067	1.952480	1.927012	3.898579	0.835817	0.238013	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.910662				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.090774																																																											-2894057.670580	2894060.641965	0.000000	
 1 	 5												0.000000																						0.006149	0.007612	5.026120	0.000107	0.881503	0.000026	0.583084	0.037139	0.207043	0.000010	0.000010	0.000008	0.000007	4.694002	1.730345	1.951604	1.926457	3.896823	0.835541	0.237946	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.910305				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.103454																																																											-2894029.425228	2894032.417457	0.000000	
 1 	 6												0.000000																						0.006148	0.007610	5.023656	0.000107	0.881140	0.000026	0.582871	0.037124	0.206956	0.000010	0.000010	0.000008	0.000007	4.691832	1.729385	1.950517	1.925768	3.894639	0.835198	0.237863	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.910217				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.121625																																																											-2894028.974026	2894031.994997	0.000000	
 1 	 7												0.000000																						0.006147	0.007609	5.022274	0.000107	0.880936	0.000026	0.582751	0.037116	0.206907	0.000010	0.000010	0.000008	0.000007	4.690617	1.728843	1.949903	1.925378	3.893412	0.835004	0.237816	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.909831				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.136824																																																											-2894024.356842	2894027.398622	0.000000	
 1 	 8												0.000000																						0.006145	0.007606	5.018703	0.000107	0.880412	0.000026	0.582445	0.037094	0.206781	0.000010	0.000010	0.000008	0.000007	4.687469	1.727455	1.948330	1.924376	3.890248	0.834508	0.237696	0.000038																		-0.000005			-0.000005							-0.000003					-0.000002											-0.000004																														-1.910483				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.177197																																																											-2894051.581967	2894054.680217	0.000000	
 1 	 9												0.000000																						0.006128	0.007583	4.989815	0.000107	0.876207	0.000026	0.579983	0.036922	0.205690	0.000010	0.000010	0.000008	0.000007	4.661973	1.716288	1.935676	1.915829	3.864708	0.830526	0.236668	0.000038																		-0.000005			-0.000005							-0.000003					-0.000002											-0.000004																														-1.910205				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.443471																																																											-2893944.633136	2893948.122655	0.000000	
 1 	 10												0.000000																						0.006129	0.007585	4.991969	0.000107	0.876516	0.000026	0.580164	0.036934	0.205772	0.000010	0.000010	0.000008	0.000007	4.663881	1.717111	1.936610	1.916459	3.866606	0.830819	0.236746	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.910323				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-23.389752																																																											-2894017.828598	2894021.255211	0.000000	
 1 	 11												0.000000																						0.006154	0.007619	5.034967	0.000107	0.882764	0.000026	0.583820	0.037191	0.207342	0.000010	0.000010	0.000008	0.000007	4.701847	1.733409	1.955421	1.928878	3.904608	0.836736	0.238232	0.000038																		-0.000004			-0.000005							-0.000002					-0.000002											-0.000004																														-1.910297				-0.000004									-0.000002	-0.000002		-0.000002		-0.000006	-0.000003			-0.000001		-0.000004	-0.000002								-22.703403																																																											-2893960.950068	2893963.504617	0.000000	
