Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1												0.000000																						0.006153	0.007616	4.999200	0.000172	0.881813	0.000048	0.582913	0.037215	0.207269	0.000020	0.000020	0.000016	0.000012	4.700617	1.731203	1.953584	1.924294	3.908073	0.835828	0.237946	0.000070																		-0.000008			-0.000009							-0.000005					-0.000004											-0.000008																														-2.201281				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.580895																																																											-3161752.953348	3161754.721528	0.000000	
 1 	 2												0.000000																						0.006148	0.007610	4.993769	0.000172	0.880656	0.000048	0.582153	0.037178	0.207010	0.000020	0.000020	0.000016	0.000012	4.695147	1.728810	1.951235	1.921319	3.903646	0.834732	0.237647	0.000070																		-0.000009			-0.000009							-0.000005					-0.000004											-0.000008																														-2.200899				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.638613																																																											-3161736.853092	3161738.705270	0.000000	
 1 	 3												0.000000																						0.006138	0.007596	4.979941	0.000172	0.877714	0.000048	0.580232	0.037087	0.206356	0.000020	0.000020	0.000016	0.000012	4.681293	1.722761	1.945335	1.913823	3.892438	0.831961	0.236890	0.000070																		-0.000008			-0.000009							-0.000005					-0.000004											-0.000008																														-2.201768				-0.000008									-0.000003	-0.000003		-0.000005		-0.000013	-0.000005			-0.000003		-0.000008	-0.000005								-21.781893																																																											-3161715.164785	3161717.228612	0.000000	
 1 	 4												0.000000																						0.006151	0.007613	4.997031	0.000172	0.881313	0.000048	0.582584	0.037199	0.207157	0.000020	0.000020	0.000016	0.000012	4.698310	1.730173	1.952567	1.923012	3.906198	0.835354	0.237816	0.000070																		-0.000008			-0.000009							-0.000005					-0.000004											-0.000008																														-2.197752				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.607887																																																											-3161767.755432	3161769.558322	0.000000	
 1 	 5												0.000000																						0.006150	0.007612	4.995638	0.000172	0.881004	0.000048	0.582381	0.037189	0.207087	0.000020	0.000020	0.000016	0.000012	4.696871	1.729536	1.951947	1.922221	3.905030	0.835062	0.237736	0.000070																		-0.000009			-0.000009							-0.000005					-0.000004											-0.000008																														-2.197433				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.613746																																																											-3161740.669499	3161742.484942	0.000000	
 1 	 6												0.000000																						0.006148	0.007610	4.993889	0.000172	0.880620	0.000048	0.582129	0.037177	0.207001	0.000020	0.000020	0.000016	0.000012	4.695076	1.728745	1.951176	1.921236	3.903575	0.834699	0.237636	0.000070																		-0.000009			-0.000009							-0.000005					-0.000004											-0.000008																														-2.197275				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.622255																																																											-3161740.251927	3161742.084468	0.000000	
 1 	 7												0.000000																						0.006147	0.007609	4.992929	0.000172	0.880403	0.000048	0.581986	0.037170	0.206952	0.000020	0.000020	0.000016	0.000012	4.694068	1.728297	1.950740	1.920678	3.902756	0.834492	0.237580	0.000070																		-0.000009			-0.000009							-0.000005					-0.000004											-0.000008																														-2.196897				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.629381																																																											-3161735.795547	3161737.639746	0.000000	
 1 	 8												0.000000																						0.006145	0.007606	4.990368	0.000172	0.879848	0.000048	0.581621	0.037153	0.206828	0.000020	0.000020	0.000016	0.000012	4.691460	1.727151	1.949624	1.919254	3.900644	0.833967	0.237436	0.000070																		-0.000009			-0.000009							-0.000005					-0.000004											-0.000008																														-2.197850				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.650121																																																											-3161762.032490	3161763.911082	0.000000	
 1 	 9												0.000000																						0.006129	0.007585	4.969300	0.000171	0.875316	0.000048	0.578698	0.037014	0.205834	0.000020	0.000020	0.000016	0.000012	4.670375	1.718381	1.940646	1.908229	3.883587	0.829690	0.236285	0.000069																		-0.000009			-0.000009							-0.000005					-0.000004											-0.000008																														-2.197530				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.812824																																																											-3161658.767089	3161660.910103	0.000000	
 1 	 10												0.000000																						0.006130	0.007587	4.970934	0.000171	0.875652	0.000048	0.578913	0.037024	0.205906	0.000020	0.000020	0.000016	0.000012	4.671954	1.718971	1.941310	1.909016	3.884859	0.830008	0.236370	0.000069																		-0.000008			-0.000009							-0.000005					-0.000004											-0.000008																														-2.197865				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.777385																																																											-3161729.222894	3161731.323239	0.000000	
 1 	 11												0.000000																						0.006154	0.007618	5.002437	0.000172	0.882337	0.000048	0.583255	0.037230	0.207384	0.000020	0.000020	0.000016	0.000012	4.703352	1.732308	1.954830	1.925660	3.910250	0.836325	0.238079	0.000070																		-0.000008			-0.000009							-0.000005					-0.000004											-0.000008																														-2.197715				-0.000008									-0.000003	-0.000003		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.390125																																																											-3161674.236326	3161675.796673	0.000000	
 1 	 12												0.000000																						0.006154	0.007617	5.002000	0.000172	0.882227	0.000048	0.583183	0.037227	0.207359	0.000020	0.000020	0.000016	0.000012	4.702858	1.732083	1.954579	1.925382	3.909847	0.836221	0.238050	0.000070																		-0.000006			-0.000008							-0.000004					-0.000004											-0.000008																														-2.198937				-0.000008									-0.000003	-0.000004		-0.000005		-0.000012	-0.000005			-0.000003		-0.000008	-0.000005								-21.379339																																																											-3161643.968681	3161645.521894	0.000000	
 1 	 13												0.000000																						0.006129	0.007585	4.969399	0.000171	0.875265	0.000048	0.578665	0.037012	0.205821	0.000020	0.000020	0.000016	0.000012	4.670255	1.718303	1.940562	1.908121	3.883474	0.829643	0.236271	0.000069																		-0.000005			-0.000007							-0.000004					-0.000005											-0.000008																														-2.332829				-0.000010									-0.000004	-0.000004		-0.000005		-0.000015	-0.000006			-0.000003		-0.000008	-0.000005								-21.762000																																																											-3161772.611880	3161774.839935	0.000000	
 1 	 14												0.000000																						0.006127	0.007582	4.966896	0.000171	0.874706	0.000048	0.578308	0.036995	0.205699	0.000020	0.000020	0.000016	0.000012	4.667699	1.717326	1.939420	1.906816	3.881403	0.829113	0.236130	0.000069																		-0.000005			-0.000007							-0.000004					-0.000005											-0.000008																														-2.332828				-0.000010									-0.000004	-0.000004		-0.000005		-0.000015	-0.000006			-0.000003		-0.000008	-0.000005								-21.772761																																																											-3161716.786617	3161719.037719	0.000000	
 1 	 15												0.000000																						0.006128	0.007584	4.968460	0.000171	0.875025	0.000048	0.578511	0.037005	0.205768	0.000020	0.000020	0.000016	0.000012	4.669202	1.717888	1.940097	1.907566	3.882614	0.829415	0.236210	0.000069																		-0.000005			-0.000007							-0.000004					-0.000005											-0.000008																														-2.332829				-0.000010									-0.000004	-0.000004		-0.000005		-0.000015	-0.000006			-0.000003		-0.000008	-0.000005								-21.743187																																																											-3161747.434299	3161749.648575	0.000000	
