Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																									33.475184																																										-11.430247	-22.044937																																																																																																																																																										0.000000	
 1 	 2																									31.174815																																										-9.711063	-21.463752																																																																																																																																																										0.000000	
 1 	 3																									30.126222																																										-8.510732	-21.615490																																																																																																																																																										0.000000	
 1 	 4																									30.121836																																										-8.301642	-21.820193																																																																																																																																																										0.000000	
 1 	 5																									30.727518																																										-8.549453	-22.178066																																																																																																																																																										0.000000	
 1 	 6																									30.941183																																										-8.913424	-22.027759																																																																																																																																																										0.000000	
 1 	 7																									30.344746																																										-8.712078	-21.632668																																																																																																																																																										0.000000	
 1 	 8																									28.993867																																										-8.642381	-20.351485																																																																																																																																																										0.000000	
 1 	 9																									27.881201																																										-8.580429	-19.300772																																																																																																																																																										0.000000	
 1 	 10																									27.771725																																										-8.835983	-18.935742																																																																																																																																																										0.000000	
 1 	 11																									27.381556																																										-9.656855	-17.724702																																																																																																																																																										0.000000	
 1 	 12																									26.390321																																										-10.253145	-16.137176																																																																																																																																																										0.000000	
 1 	 13																									26.537708																																										-10.857179	-15.680528																																																																																																																																																										0.000000	
 1 	 14																									27.544956																																										-11.360544	-16.184413																																																																																																																																																										0.000000	
 1 	 15																									27.964925																																										-11.027549	-16.937376																																																																																																																																																										0.000000	
 1 	 16																									29.785989																																										-12.088489	-17.697500																																																																																																																																																										0.000000	
 1 	 17																									34.166594																																										-14.907335	-19.259258																																																																																																																																																										0.000000	
 1 	 18																									37.897259																																										-15.968273	-21.928986																																																																																																																																																										0.000000	
 1 	 19																									40.293053																																										-16.471637	-23.821416																																																																																																																																																										0.000000	
 1 	 20																									40.789263																																										-16.502614	-24.286650																																																																																																																																																										0.000000	
 1 	 21																									39.927602																																										-16.239315	-23.688287																																																																																																																																																										0.000000	
 1 	 22																									38.402693																																										-15.875344	-22.527349																																																																																																																																																										0.000000	
 1 	 23																									36.517240																																										-14.984776	-21.532464																																																																																																																																																										0.000000	
 1 	 24																									33.729648																																										-13.296568	-20.433080																																																																																																																																																										0.000000	
 2 	 1																									34.402370																																										-9.308366	-25.094004																																																																																																																																																										0.000000	
 2 	 2																									36.565318																																										-10.555161	-26.010157																																																																																																																																																										0.000000	
 2 	 3																									36.273386																																										-10.764250	-25.509135																																																																																																																																																										0.000000	
 2 	 4																									34.398633																																										-10.090517	-24.308116																																																																																																																																																										0.000000	
 2 	 5																									32.573185																																										-9.292877	-23.280307																																																																																																																																																										0.000000	
 2 	 6																									30.645281																																										-8.200964	-22.444317																																																																																																																																																										0.000000	
 2 	 7																									28.826454																																										-6.791543	-22.034911																																																																																																																																																										0.000000	
 2 	 8																									27.436628																																										-5.451818	-21.984809																																																																																																																																																										0.000000	
 2 	 9																									26.152072																																										-4.538018	-21.614053																																																																																																																																																										0.000000	
 2 	 10																									25.664756																																										-4.359904	-21.304851																																																																																																																																																										0.000000	
 2 	 11																									25.973949																																										-4.832290	-21.141659																																																																																																																																																										0.000000	
 2 	 12																									26.845722																																										-5.304678	-21.541044																																																																																																																																																										0.000000	
 2 	 13																									27.385365																																										-6.079085	-21.306280																																																																																																																																																										0.000000	
 2 	 14																									26.909218																																										-6.218478	-20.690739																																																																																																																																																										0.000000	
 2 	 15																									25.690411																																										-6.040365	-19.650047																																																																																																																																																										0.000000	
 2 	 16																									22.837341																																										-5.188517	-17.648824																																																																																																																																																										0.000000	
 2 	 17																									21.322759																																										-4.677408	-16.645350																																																																																																																																																										0.000000	
 2 	 18																									22.388165																																										-5.041382	-17.346783																																																																																																																																																										0.000000	
 2 	 19																									24.170835																																										-5.614444	-18.556392																																																																																																																																																										0.000000	
 2 	 20																									26.100901																																										-6.319154	-19.781747																																																																																																																																																										0.000000	
 2 	 21																									28.886901																																										-7.287163	-21.599738																																																																																																																																																										0.000000	
 2 	 22																									31.449915																																										-8.750792	-22.699122																																																																																																																																																										0.000000	
 2 	 23																									32.955268																																										-10.330583	-22.624685																																																																																																																																																										0.000000	
 2 	 24																									33.653638																																										-11.801958	-21.851681																																																																																																																																																										0.000000	
 3 	 1																									95.475404																																										-39.316644	-56.158760																																																																																																																																																										0.000000	
 3 	 2																									96.962078																																										-40.857714	-56.104364																																																																																																																																																										0.000000	
 3 	 3																									98.494647																																										-43.080261	-55.414386																																																																																																																																																										0.000000	
 3 	 4																									100.817704																																										-45.628062	-55.189642																																																																																																																																																										0.000000	
 3 	 5																									103.177650																																										-48.152629	-55.025021																																																																																																																																																										0.000000	
 3 	 6																									103.265437																																										-48.725690	-54.539746																																																																																																																																																										0.000000	
 3 	 7																									102.209004																																										-47.780914	-54.428090																																																																																																																																																										0.000000	
 3 	 8																									102.195345																																										-47.827377	-54.367967																																																																																																																																																										0.000000	
 3 	 9																									102.030953																																										-48.586297	-53.444657																																																																																																																																																										0.000000	
 3 	 10																									102.898385																																										-49.190334	-53.708051																																																																																																																																																										0.000000	
 3 	 11																									103.768842																																										-50.042182	-53.726660																																																																																																																																																										0.000000	
 3 	 12																									106.249221																																										-52.512541	-53.736680																																																																																																																																																										0.000000	
 3 	 13																									109.818604																																										-56.206463	-53.612141																																																																																																																																																										0.000000	
 3 	 14																									109.221835																																										-56.454273	-52.767562																																																																																																																																																										0.000000	
 3 	 15																									105.737229																																										-54.200748	-51.536481																																																																																																																																																										0.000000	
 3 	 16																									102.787149																																										-52.899744	-49.887405																																																																																																																																																										0.000000	
 3 	 17																									100.328868																																										-51.722646	-48.606222																																																																																																																																																										0.000000	
