Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																19.720665																																																									-0.000044					-19.720593					-0.000028																																																																																																																																											0.000000	
 1 	 2																19.720665																																																									-0.000044					-19.720593					-0.000028																																																																																																																																											0.000000	
 1 	 3																19.720664																																																									-0.000044					-19.720593					-0.000028																																																																																																																																											0.000000	
 1 	 4																19.720665																																																									-0.000045					-19.720592					-0.000028																																																																																																																																											0.000000	
 1 	 5																19.720665																																																									-0.000044					-19.720592					-0.000028																																																																																																																																											0.000000	
 1 	 6																19.720665																																																									-0.000044					-19.720592					-0.000028																																																																																																																																											0.000000	
 1 	 7																19.720665																																																									-0.000044					-19.720592					-0.000028																																																																																																																																											0.000000	
 1 	 8																19.720665																																																									-0.000044					-19.720592					-0.000029																																																																																																																																											0.000000	
 1 	 9																19.720667																																																									-0.000045					-19.720592					-0.000030																																																																																																																																											0.000000	
 1 	 10																19.720663																																																									-0.000044					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 11																19.720663																																																									-0.000044					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 12																19.720649																																																									-0.000023					-19.720613					-0.000013																																																																																																																																											0.000000	
 1 	 13																1.929452																																																									-0.000020					-1.929417					-0.000015																																																																																																																																											0.000000	
 1 	 14																0.009610																																																									-0.000011					-0.009585					-0.000015																																																																																																																																											0.000000	
 1 	 15																0.006883																																																									-0.000005					-0.006863					-0.000014																																																																																																																																											0.000000	
 1 	 16																19.720625																																																									-0.000024					-19.720588					-0.000013																																																																																																																																											0.000000	
 1 	 17																19.720665																																																									-0.000045					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 18																19.720664																																																									-0.000045					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 19																19.720663																																																									-0.000044					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 20																19.720663																																																									-0.000044					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 21																19.720663																																																									-0.000044					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 22																19.720663																																																									-0.000044					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 23																19.720663																																																									-0.000044					-19.720592					-0.000027																																																																																																																																											0.000000	
 1 	 24																19.720664																																																									-0.000045					-19.720592					-0.000028																																																																																																																																											0.000000	
 2 	 1																19.719340																																																									-0.000026					-19.719302					-0.000013																																																																																																																																											0.000000	
 2 	 2																19.719313																																																									-0.000026					-19.719274					-0.000013																																																																																																																																											0.000000	
 2 	 3																19.720396																																																									-0.000026					-19.720358					-0.000012																																																																																																																																											0.000000	
 2 	 4																19.720627																																																									-0.000025					-19.720590					-0.000013																																																																																																																																											0.000000	
 2 	 5																19.720564																																																									-0.000025					-19.720526					-0.000013																																																																																																																																											0.000000	
 2 	 6																19.720636																																																									-0.000025					-19.720599					-0.000013																																																																																																																																											0.000000	
 2 	 7																19.720626																																																									-0.000025					-19.720588					-0.000013																																																																																																																																											0.000000	
 2 	 8																19.720621																																																									-0.000026					-19.720583					-0.000013																																																																																																																																											0.000000	
 2 	 9																19.720614																																																									-0.000026					-19.720575					-0.000013																																																																																																																																											0.000000	
 2 	 10																19.720434																																																									-0.000025					-19.720396					-0.000013																																																																																																																																											0.000000	
 2 	 11																12.627638																																																									-0.000024					-12.627599					-0.000015																																																																																																																																											0.000000	
 2 	 12																12.627166																																																									-0.000024					-12.627127					-0.000015																																																																																																																																											0.000000	
 2 	 13																12.551946																																																									-0.000024					-12.551907					-0.000015																																																																																																																																											0.000000	
 2 	 14																12.552619																																																									-0.000024					-12.552580					-0.000015																																																																																																																																											0.000000	
 2 	 15																12.628939																																																									-0.000024					-12.628900					-0.000015																																																																																																																																											0.000000	
 2 	 16																12.626949																																																									-0.000024					-12.626910					-0.000015																																																																																																																																											0.000000	
 2 	 17																12.629246																																																									-0.000025					-12.629207					-0.000015																																																																																																																																											0.000000	
 2 	 18																19.719589																																																									-0.000024					-19.719552					-0.000013																																																																																																																																											0.000000	
 2 	 19																19.720493																																																									-0.000025					-19.720455					-0.000013																																																																																																																																											0.000000	
 2 	 20																19.720503																																																									-0.000025					-19.720466					-0.000013																																																																																																																																											0.000000	
 2 	 21																19.720510																																																									-0.000025					-19.720472					-0.000013																																																																																																																																											0.000000	
 2 	 22																19.720552																																																									-0.000025					-19.720515					-0.000013																																																																																																																																											0.000000	
 2 	 23																19.720601																																																									-0.000026					-19.720562					-0.000013																																																																																																																																											0.000000	
 2 	 24																19.720578																																																									-0.000027					-19.720539					-0.000013																																																																																																																																											0.000000	
 3 	 1																9.630201																																																									-0.000022					-9.630168					-0.000011																																																																																																																																											0.000000	
 3 	 2																9.571499																																																									-0.000022					-9.571465					-0.000011																																																																																																																																											0.000000	
 3 	 3																9.797383																																																									-0.000022					-9.797350					-0.000011																																																																																																																																											0.000000	
 3 	 4																9.832224																																																									-0.000021					-9.832191					-0.000011																																																																																																																																											0.000000	
 3 	 5																10.203600																																																									-0.000022					-10.203567					-0.000011																																																																																																																																											0.000000	
 3 	 6																11.410189																																																									-0.000021					-11.410156					-0.000011																																																																																																																																											0.000000	
 3 	 7																12.550907																																																									-0.000021					-12.550874					-0.000011																																																																																																																																											0.000000	
 3 	 8																9.553493																																																									-0.000021					-9.553460					-0.000011																																																																																																																																											0.000000	
 3 	 9																9.389387																																																									-0.000021					-9.389355					-0.000011																																																																																																																																											0.000000	
 3 	 10																9.023358																																																									-0.000021					-9.023326					-0.000011																																																																																																																																											0.000000	
 3 	 11																6.630905																																																									-0.000021					-6.630873					-0.000011																																																																																																																																											0.000000	
 3 	 12																4.955254																																																									-0.000021					-4.955221					-0.000011																																																																																																																																											0.000000	
 3 	 13																3.293477																																																									-0.000021					-3.293444					-0.000011																																																																																																																																											0.000000	
 3 	 14																7.072019																																																									-0.000021					-7.071986					-0.000011																																																																																																																																											0.000000	
 3 	 15																8.933304																																																									-0.000021					-8.933271					-0.000011																																																																																																																																											0.000000	
 3 	 16																9.408956																																																									-0.000021					-9.408924					-0.000011																																																																																																																																											0.000000	
 3 	 17																9.626941																																																									-0.000021					-9.626908					-0.000011																																																																																																																																											0.000000	
 3 	 18																10.039000																																																									-0.000021					-10.038968					-0.000011																																																																																																																																											0.000000	
 3 	 19																10.614027																																																									-0.000021					-10.613995					-0.000011																																																																																																																																											0.000000	
 3 	 20																10.852777																																																									-0.000021					-10.852744					-0.000011																																																																																																																																											0.000000	
 3 	 21																11.062147																																																									-0.000022					-11.062114					-0.000011																																																																																																																																											0.000000	
 3 	 22																11.241489																																																									-0.000022					-11.241456					-0.000011																																																																																																																																											0.000000	
 3 	 23																11.443502																																																									-0.000022					-11.443469					-0.000011																																																																																																																																											0.000000	
 3 	 24																11.521260																																																									-0.000022					-11.521227					-0.000011																																																																																																																																											0.000000	
