Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1													0.000000																																										0.123454	0.363789	0.091654	1.030465	8.563286	0.000464																								-0.000115	-0.000054																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 2													0.000000																																										0.122712	0.361413	0.091330	1.020940	8.576251	0.000465																								-0.000115	-0.000053																																																							-10.172902					-0.000038																																																																													0.000000	
 1 	 3													0.000000																																										0.122863	0.360725	0.091622	1.016081	8.581353	0.000466																								-0.000114	-0.000053																																																							-10.172902					-0.000037																																																																													0.000000	
 1 	 4													0.000000																																										0.123381	0.363383	0.091614	1.028311	8.565958	0.000464																								-0.000114	-0.000054																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 5													0.000000																																										0.123695	0.364104	0.091865	1.029669	8.563326	0.000463																								-0.000124	-0.000054																																																							-10.172903					-0.000038																																																																													0.000000	
 1 	 6													0.000000																																										0.123676	0.364061	0.091853	1.029037	8.564032	0.000463																								-0.000124	-0.000054																																																							-10.172903					-0.000038																																																																													0.000000	
 1 	 7													0.000000																																										0.123581	0.363735	0.091772	1.027931	8.565641	0.000463																								-0.000124	-0.000054																																																							-10.172903					-0.000038																																																																													0.000000	
 1 	 8													0.000000																																										0.123963	0.364806	0.092053	1.030568	8.561272	0.000463																								-0.000126	-0.000054																																																							-10.172904					-0.000038																																																																													0.000000	
 1 	 9													0.000000																																										0.123996	0.364681	0.092087	1.029458	8.562454	0.000463																								-0.000138	-0.000054																																																							-10.172906					-0.000038																																																																													0.000000	
 1 	 10													0.000000																																										0.123850	0.364570	0.091975	1.030371	8.561878	0.000463																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 11													0.000000																																										0.123418	0.363685	0.091655	1.029127	8.564759	0.000463																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 12													0.000000																																										0.123361	0.363418	0.091611	1.028283	8.565690	0.000464																								-0.000023	-0.000031																																																							-10.172730					-0.000038																																																																													0.000000	
 1 	 13													0.000000																																										0.123556	0.363942	0.091742	1.030238	8.562332	0.000464																								-0.000060	-0.000040																																																							-10.172132					-0.000038																																																																													0.000000	
 1 	 14													0.000000																																										0.123569	0.363265	0.091756	1.022040	8.570997	0.000464																								-0.000058	-0.000040																																																							-10.171951					-0.000038																																																																													0.000000	
 1 	 15													0.000000																																										0.123491	0.363444	0.091703	1.021451	8.571628	0.000464																								-0.000059	-0.000040																																																							-10.172040					-0.000038																																																																													0.000000	
 1 	 16													0.000000																																										0.123476	0.363825	0.091693	1.029431	8.563936	0.000464																								-0.000023	-0.000031																																																							-10.172730					-0.000038																																																																													0.000000	
 1 	 17													0.000000																																										0.123477	0.363920	0.091690	1.029992	8.563565	0.000464																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 18													0.000000																																										0.123613	0.364296	0.091787	1.031179	8.561769	0.000464																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 19													0.000000																																										0.123621	0.364016	0.091790	1.030815	8.562402	0.000463																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 20													0.000000																																										0.123565	0.363770	0.091749	1.029924	8.563636	0.000463																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 21													0.000000																																										0.123579	0.363900	0.091757	1.030486	8.562920	0.000463																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 22													0.000000																																										0.123613	0.364023	0.091779	1.030786	8.562442	0.000463																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 23													0.000000																																										0.123644	0.364118	0.091801	1.031002	8.562078	0.000464																								-0.000111	-0.000053																																																							-10.172901					-0.000038																																																																													0.000000	
 1 	 24													0.000000																																										0.123375	0.363617	0.091581	1.030125	8.563945	0.000465																								-0.000112	-0.000054																																																							-10.172901					-0.000038																																																																													0.000000	
 2 	 1													0.000000																																										0.146038	0.426237	0.108671	1.186118	8.305116	0.000550																								-0.000023	-0.000026																																																							-10.172634					-0.000042																																																																													0.000000	
 2 	 2													0.000000																																										0.144666	0.422727	0.107675	1.173588	8.323571	0.000547																								-0.000024	-0.000026																																																							-10.172681					-0.000042																																																																													0.000000	
 2 	 3													0.000000																																										0.143729	0.419736	0.107015	1.162850	8.338906	0.000545																								-0.000023	-0.000026																																																							-10.172687					-0.000041																																																																													0.000000	
 2 	 4													0.000000																																										0.146493	0.427379	0.109034	1.187010	8.302249	0.000550																								-0.000023	-0.000026																																																							-10.172621					-0.000042																																																																													0.000000	
 2 	 5													0.000000																																										0.146847	0.427970	0.109308	1.188754	8.299294	0.000550																								-0.000024	-0.000026																																																							-10.172628					-0.000042																																																																													0.000000	
 2 	 6													0.000000																																										0.146868	0.427939	0.109328	1.188275	8.299771	0.000550																								-0.000024	-0.000026																																																							-10.172635					-0.000042																																																																													0.000000	
 2 	 7													0.000000																																										0.146773	0.427468	0.109258	1.186909	8.301781	0.000550																								-0.000024	-0.000026																																																							-10.172643					-0.000042																																																																													0.000000	
 2 	 8													0.000000																																										0.146931	0.428069	0.109372	1.189163	8.298662	0.000550																								-0.000024	-0.000026																																																							-10.172652					-0.000042																																																																													0.000000	
 2 	 9													0.000000																																										0.146839	0.427741	0.109306	1.187849	8.300470	0.000550																								-0.000024	-0.000027																																																							-10.172658					-0.000042																																																																													0.000000	
