Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1									0.086324	0.000000																								0.000088	0.000081	0.124527	0.000003	0.021801	0.000001	0.014389	0.000917	0.002207	0.000003	0.000003	0.000002	0.000001	0.060786	0.024194	0.020851	0.184205	0.054598	0.008831	0.002297	0.000002	0.012415	0.011605	0.009243	0.076684	0.063675	0.000021																																																								5.159311																																												6.777755							-12.716820																																																							0.000000	
 1 	 2									0.086324	0.000000																								0.000087	0.000081	0.124472	0.000003	0.021791	0.000001	0.014378	0.000917	0.002205	0.000003	0.000003	0.000002	0.000001	0.060756	0.024182	0.020841	0.184111	0.054566	0.008824	0.002295	0.000002	0.012560	0.011688	0.009357	0.077095	0.063596	0.000021																																																								5.159311																																												6.777755							-12.717228																																																							0.000000	
 1 	 3									0.086324	0.000000																								0.000087	0.000081	0.124333	0.000003	0.021764	0.000001	0.014349	0.000915	0.002201	0.000003	0.000003	0.000002	0.000001	0.060682	0.024152	0.020814	0.183872	0.054486	0.008805	0.002291	0.000002	0.012662	0.011754	0.009438	0.077286	0.063548	0.000021																																																								5.159311																																												6.777755							-12.716946																																																							0.000000	
 1 	 4									0.086324	0.000000																								0.000088	0.000081	0.124504	0.000003	0.021797	0.000001	0.014385	0.000917	0.002206	0.000003	0.000003	0.000002	0.000001	0.060773	0.024189	0.020847	0.184165	0.054584	0.008828	0.002296	0.000002	0.012427	0.011610	0.009254	0.076636	0.063677	0.000021																																																								5.159311																																												6.777755							-12.716687																																																							0.000000	
 1 	 5									0.086324	0.000000																								0.000088	0.000081	0.124489	0.000003	0.021794	0.000001	0.014381	0.000917	0.002205	0.000003	0.000003	0.000002	0.000001	0.060765	0.024186	0.020844	0.184140	0.054576	0.008826	0.002296	0.000002	0.012408	0.011594	0.009240	0.076539	0.063693	0.000021																																																								5.159311																																												6.777755							-12.716485																																																							0.000000	
 1 	 6									0.086324	0.000000																								0.000087	0.000081	0.124471	0.000003	0.021790	0.000001	0.014378	0.000917	0.002205	0.000003	0.000003	0.000002	0.000001	0.060756	0.024182	0.020840	0.184108	0.054565	0.008823	0.002295	0.000002	0.012411	0.011595	0.009242	0.076525	0.063694	0.000021																																																								5.159311																																												6.777755							-12.716390																																																							0.000000	
 1 	 7									0.086324	0.000000																								0.000087	0.000081	0.124461	0.000003	0.021788	0.000001	0.014376	0.000917	0.002205	0.000003	0.000003	0.000002	0.000001	0.060750	0.024180	0.020838	0.184091	0.054559	0.008822	0.002295	0.000002	0.012409	0.011594	0.009241	0.076551	0.063692	0.000021																																																								5.159311																																												6.777755							-12.716360																																																							0.000000	
 1 	 8									0.086324	0.000000																								0.000087	0.000081	0.124435	0.000003	0.021783	0.000001	0.014370	0.000916	0.002204	0.000003	0.000003	0.000002	0.000001	0.060736	0.024174	0.020833	0.184046	0.054544	0.008819	0.002294	0.000002	0.012405	0.011603	0.009237	0.076644	0.063681	0.000021																																																								5.159311																																												6.777755							-12.716317																																																							0.000000	
 1 	 9									0.086324	0.000000																								0.000087	0.000081	0.124223	0.000003	0.021742	0.000001	0.014327	0.000914	0.002197	0.000003	0.000003	0.000002	0.000001	0.060622	0.024127	0.020792	0.183683	0.054423	0.008791	0.002287	0.000002	0.012417	0.011608	0.009246	0.076653	0.063677	0.000021																																																								5.159311																																												6.777755							-12.715324																																																							0.000000	
 1 	 10									0.086324	0.000000																								0.000087	0.000081	0.124239	0.000003	0.021745	0.000001	0.014330	0.000914	0.002198	0.000003	0.000003	0.000002	0.000001	0.060631	0.024131	0.020795	0.183709	0.054432	0.008793	0.002287	0.000002	0.012405	0.011599	0.009238	0.076573	0.063689	0.000021																																																								5.159311																																												6.777755							-12.715301																																																							0.000000	
 1 	 11									0.086324	0.000000																								0.000088	0.000081	0.124553	0.000003	0.021806	0.000001	0.014394	0.000918	0.002207	0.000003	0.000003	0.000002	0.000001	0.060800	0.024200	0.020856	0.184249	0.054612	0.008834	0.002298	0.000002	0.012385	0.011578	0.009223	0.076460	0.063707	0.000021																																																								5.159311																																												6.777755							-12.716674																																																							0.000000	
 1 	 12									0.086324	0.000000																								0.000088	0.000081	0.124548	0.000003	0.021805	0.000001	0.014393	0.000918	0.002207	0.000003	0.000003	0.000002	0.000001	0.060797	0.024199	0.020855	0.184240	0.054609	0.008833	0.002297	0.000002	0.012402	0.011603	0.009234	0.076871	0.063657	0.000021																																																								5.159311																																												6.777755							-12.717062																																																							0.000000	
 1 	 13									0.086324	0.000000																								0.000087	0.000081	0.124221	0.000003	0.021742	0.000001	0.014326	0.000914	0.002197	0.000003	0.000003	0.000002	0.000001	0.060621	0.024127	0.020792	0.183679	0.054422	0.008791	0.002287	0.000002	0.012419	0.011626	0.009246	0.077188	0.063611	0.000021																																																								5.159311																																												6.777755							-12.715801																																																							0.000000	
 1 	 14									0.086324	0.000000																								0.000087	0.000081	0.124195	0.000003	0.021737	0.000001	0.014321	0.000914	0.002196	0.000003	0.000003	0.000002	0.000001	0.060607	0.024121	0.020787	0.183635	0.054407	0.008787	0.002286	0.000002	0.012398	0.011566	0.009233	0.075968	0.063746	0.000021																																																								5.159311																																												6.777755							-12.714497																																																							0.000000	
