Name	C_inv	C_maint	C_op
NUCLEAR	15359.466547	6175.858931	0.000000
CCGT	464.686163	165.871516	0.000000
CCGT_AMMONIA	0.003257	0.001162	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1490.001596	2927.868059	0.000000
WIND_ONSHORE	5571.459337	996.141011	0.000000
WIND_OFFSHORE	17407.474529	1861.794532	0.000000
HYDRO_RIVER	5663.685779	1109.785106	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.005002	0.004532	0.000000
IND_COGEN_WOOD	0.003175	0.001638	0.000000
IND_COGEN_WASTE	0.004379	0.002275	0.000000
IND_BOILER_GAS	0.011155	0.002520	0.000000
IND_BOILER_WOOD	0.002956	0.000666	0.000000
IND_BOILER_OIL	0.002783	0.000675	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	196.368392	44.275864	0.000000
IND_DIRECT_ELEC	598.396012	28.176329	0.000000
DHN_HP_ELEC	658.371668	314.640906	0.000000
DHN_COGEN_GAS	0.006261	0.002580	0.000000
DHN_COGEN_WOOD	0.002822	0.001456	0.000000
DHN_COGEN_WASTE	0.003793	0.001971	0.000000
DHN_COGEN_WET_BIOMASS	0.008619	0.009886	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.012490	0.006335	0.000000
DHN_BOILER_GAS	0.000825	0.000186	0.000000
DHN_BOILER_WOOD	0.001157	0.000261	0.000000
DHN_BOILER_OIL	0.000742	0.000180	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.004833	0.000088	0.000000
DEC_HP_ELEC	7873.391820	3837.420258	0.000000
DEC_THHP_GAS	0.006248	0.002276	0.000000
DEC_COGEN_GAS	0.005133	0.004112	0.000000
DEC_COGEN_OIL	0.004004	0.003061	0.000000
DEC_ADVCOGEN_GAS	0.008383	0.001947	0.000000
DEC_ADVCOGEN_H2	0.007768	0.001804	0.000000
DEC_BOILER_GAS	0.005708	0.001931	0.000000
DEC_BOILER_WOOD	0.006246	0.002464	0.000000
DEC_BOILER_OIL	0.004418	0.002987	0.000000
DEC_SOLAR	0.097907	0.013538	0.000000
DEC_DIRECT_ELEC	0.008130	0.000369	0.000000
TRAMWAY_TROLLEY	662.296970	203.622555	0.000000
BUS_COACH_DIESEL	509.123780	279.391931	0.000000
BUS_COACH_HYDIESEL	0.069728	0.029329	0.000000
BUS_COACH_CNG_STOICH	1073.692272	582.059654	0.000000
BUS_COACH_FC_HYBRIDH2	0.005027	0.001464	0.000000
TRAIN_PUB	4450.018307	2755.793904	0.000000
CAR_GASOLINE	0.000494	0.000309	0.000000
CAR_DIESEL	0.000923	0.000560	0.000000
CAR_NG	0.001633	0.000990	0.000000
CAR_METHANOL	0.000415	0.000260	0.000000
CAR_HEV	0.000553	0.000461	0.000000
CAR_PHEV	0.296270	0.220834	0.000000
CAR_BEV	96307.435004	16289.773521	0.000000
CAR_FUEL_CELL	0.008474	0.000828	0.000000
PLANE	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.007904	0.007170	0.000000
BOAT_FREIGHT_NG	85.229582	76.381669	0.000000
BOAT_FREIGHT_METHANOL	0.002546	0.002310	0.000000
TRAIN_FREIGHT	111.058410	38.111605	0.000000
TRUCK_DIESEL	1847.495763	1013.842430	0.000000
TRUCK_METHANOL	0.000660	0.000362	0.000000
TRUCK_FUEL_CELL	2770.923847	806.779459	0.000000
TRUCK_ELEC	0.126247	0.034511	0.000000
TRUCK_NG	0.000241	0.000131	0.000000
HABER_BOSCH	441.565540	107.589204	0.000000
CO2_TO_METHANOL	0.004406	0.002196	0.000000
E_WOOD_TO_METHANOL	684.318983	341.125084	0.000000
METHANE_TO_METHANOL	0.011172	0.006298	0.000000
OIL_TO_HVC	87.145330	4.808948	0.000000
GAS_TO_HVC	0.003920	0.001381	0.000000
BIOMASS_TO_HVC	0.007101	0.002640	0.000000
METHANOL_TO_HVC	324.949897	364.461401	0.000000
PHS	17.714750	0.000000	0.000000
BATT_LI	0.022008	0.000353	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.016460	0.001436	0.000000
TS_DEC_HP_ELEC	234.152187	20.428330	0.000000
TS_DEC_THHP_GAS	0.016169	0.001411	0.000000
TS_DEC_COGEN_GAS	0.016192	0.001413	0.000000
TS_DEC_COGEN_OIL	0.016228	0.001416	0.000000
TS_DEC_ADVCOGEN_GAS	0.016240	0.001417	0.000000
TS_DEC_ADVCOGEN_H2	0.016250	0.001418	0.000000
TS_DEC_BOILER_GAS	0.016195	0.001413	0.000000
TS_DEC_BOILER_WOOD	0.016345	0.001426	0.000000
TS_DEC_BOILER_OIL	0.016216	0.001415	0.000000
TS_DHN_DAILY	0.017145	0.000843	0.000000
TS_DHN_SEASONAL	661.503222	50.917605	0.000000
TS_HIGH_TEMP	0.000000	0.000000	0.000000
GAS_STORAGE	0.000000	31.907666	0.000000
H2_STORAGE	0.000000	18.640671	0.000000
DIESEL_STORAGE	0.000000	16.910544	0.000000
GASOLINE_STORAGE	0.000000	16.927499	0.000000
LFO_STORAGE	0.000000	18.485078	0.000000
AMMONIA_STORAGE	0.000000	17.596571	0.000000
METHANOL_STORAGE	0.000000	18.069392	0.000000
CO2_STORAGE	0.000000	6.647282	0.000000
JETFUEL_STORAGE	0.000000	5.082852	0.000000
WOOD_STORAGE	0.000000	10.219777	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	1250.731845	0.000000	0.000000
GRID	10109.660180	0.000000	0.000000
ALKALINE_ELECTROLYSIS	4272.852181	2129.967306	0.000000
HT_ELECTROLYSIS	0.136181	0.067885	0.000000
SMR	0.003078	0.004004	0.000000
BIO_HYDROLYSIS	976.593208	691.126144	0.000000
H2_BIOMASS	0.003293	0.003270	0.000000
WOOD_TO_METHANE	0.004366	0.002177	0.000000
CO2_TO_METHANE	0.002986	0.001488	0.000000
E_WOOD_TO_METHANE	0.003990	0.001989	0.000000
BIOMETHANATION	0.003978	0.001983	0.000000
PYROLYSIS_TO_LFO	0.006721	0.003789	0.000000
PYROLYSIS_TO_FUELS	0.003890	0.002193	0.000000
ATM_CCS	0.000000	0.000000	0.000000
INDUSTRY_CCS	491.474609	337.330210	0.000000
WOOD_TO_METHANOL	0.005464	0.002724	0.000000
AMMONIA_TO_H2	0.002097	0.002727	0.000000
E_WOOD_TO_FT	7.600246	3.788634	0.000000
WOOD_TO_FT	0.006616	0.003298	0.000000
