Name	GWP_constr	GWP_op
NUCLEAR	707.879970	0.000000
CCGT	66.063329	0.000000
CCGT_AMMONIA	0.000406	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	10709.999954	0.000000
WIND_ONSHORE	1557.124746	0.000000
WIND_OFFSHORE	982.882451	0.000000
HYDRO_RIVER	347.275353	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.002238	0.000000
IND_COGEN_WOOD	0.000263	0.000000
IND_COGEN_WASTE	0.000524	0.000000
IND_BOILER_GAS	0.001622	0.000000
IND_BOILER_WOOD	0.000439	0.000000
IND_BOILER_OIL	0.000348	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	27.199777	0.000000
IND_DIRECT_ELEC	1.569890	0.000000
DHN_HP_ELEC	162.244072	0.000000
DHN_COGEN_GAS	0.001310	0.000000
DHN_COGEN_WOOD	0.000228	0.000000
DHN_COGEN_WASTE	0.000451	0.000000
DHN_COGEN_WET_BIOMASS	0.004111	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.001273	0.000000
DHN_BOILER_GAS	0.000088	0.000000
DHN_BOILER_WOOD	0.000163	0.000000
DHN_BOILER_OIL	0.000088	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.001820	0.000000
DEC_HP_ELEC	1492.806032	0.000000
DEC_THHP_GAS	0.004900	0.000000
DEC_COGEN_GAS	0.002481	0.000000
DEC_COGEN_OIL	0.002112	0.000000
DEC_ADVCOGEN_GAS	0.001349	0.000000
DEC_ADVCOGEN_H2	0.001231	0.000000
DEC_BOILER_GAS	0.000391	0.000000
DEC_BOILER_WOOD	0.000140	0.000000
DEC_BOILER_OIL	0.000332	0.000000
DEC_SOLAR	0.019223	0.000000
DEC_DIRECT_ELEC	0.000162	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
PLANE	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
CO2_TO_METHANOL	0.000000	0.000000
E_WOOD_TO_METHANOL	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.916296	0.000000
BATT_LI	0.002365	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
JETFUEL_STORAGE	0.000000	0.000000
WOOD_STORAGE	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
ALKALINE_ELECTROLYSIS	0.000000	0.000000
HT_ELECTROLYSIS	0.000000	0.000000
SMR	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
WOOD_TO_METHANE	0.000000	0.000000
CO2_TO_METHANE	0.000000	0.000000
E_WOOD_TO_METHANE	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
WOOD_TO_METHANOL	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
E_WOOD_TO_FT	0.000000	0.000000
WOOD_TO_FT	0.000000	0.000000
CO2_TO_FT	0.000000	0.000000
REFINERY_JETFUEL	0.000000	0.000000
REFINERY_GASOLINE	0.000000	0.000000
REFINERY_DIESEL	0.000000	0.000000
CEMENT_PROCESS	0.000000	0.000000
NATURAL_CO2_SEQUESTRATION	0.000000	0.000000
AGRICULTURE_EMISSIONS	0.000000	0.000000
BIOMASS_SEQUESTRATION	0.000000	0.000000
DAC_HT	0.000000	0.000000
DAC_LT	0.000000	0.000000
WOOD_GROWTH	0.000000	0.000000
WET_BIOMASS_GROWTH	0.000000	0.000000
SEQUESTRATION	0.000000	0.000000
GHG_EMISSIONS	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	0.000000	19847.087290
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	0.000000	5087.405387
WASTE	0.000000	12758.500222
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATMOSPHERE	0.000000	0.000000
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	0.000000	0.631701
APPLES	0.000000	0.584393
CEREALSTRAW	0.000000	900.525182
CHERRIES	0.000000	2.066512
MAIZESTRAW	0.000000	157.386636
OLIVES	0.000000	0.011745
OSR	0.000000	104.012052
RICESTRAW	0.000000	6.623675
VINEYARDS	0.000000	15.941733
MISCANTHUS	0.000000	0.032997
SWITCHGRASS	0.000000	0.035736
WILLOW	0.000000	0.014968
POPLAR	0.000000	0.006857
CP_RES	0.000000	475.135129
FUELWOOD_RES	0.000000	174.746650
LANDSCAPECARE	0.000000	150.623211
MSW	0.000000	1331.957398
FUELWOODRW	0.000000	394.726377
OTHERSECRESID	0.000000	63.755502
SAWDUST	0.000000	16.593763
CP_RW	0.000000	309.637437
GRASS_FOR_BIOGAS	0.000000	79.212599
MAIZE_SILAGE	0.000000	72.929631
SUGARBEETTOPS	0.000000	59.091921
MANURE_LIQ	0.000000	486.994143
