Name	C_inv	C_maint	C_op
NUCLEAR	15359.465976	6175.858701	0.000000
CCGT	652.573351	232.938571	0.000000
CCGT_AMMONIA	0.003271	0.001168	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1490.001319	2927.867515	0.000000
WIND_ONSHORE	5571.458782	996.140912	0.000000
WIND_OFFSHORE	14622.118450	1563.890278	0.000000
HYDRO_RIVER	5663.683845	1109.784727	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.004722	0.004278	0.000000
IND_COGEN_WOOD	0.002830	0.001460	0.000000
IND_COGEN_WASTE	0.003593	0.001867	0.000000
IND_BOILER_GAS	0.017966	0.004058	0.000000
IND_BOILER_WOOD	0.002643	0.000596	0.000000
IND_BOILER_OIL	0.002451	0.000594	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	196.354673	44.272771	0.000000
IND_DIRECT_ELEC	598.385132	28.175817	0.000000
DHN_HP_ELEC	658.833257	314.861503	0.000000
DHN_COGEN_GAS	0.005014	0.002066	0.000000
DHN_COGEN_WOOD	0.002185	0.001127	0.000000
DHN_COGEN_WASTE	0.003103	0.001612	0.000000
DHN_COGEN_WET_BIOMASS	0.018709	0.021460	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.011676	0.005922	0.000000
DHN_BOILER_GAS	0.000613	0.000138	0.000000
DHN_BOILER_WOOD	0.000859	0.000194	0.000000
DHN_BOILER_OIL	0.000540	0.000131	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.002486	0.000045	0.000000
DEC_HP_ELEC	7875.887203	3838.636485	0.000000
DEC_THHP_GAS	0.005845	0.002129	0.000000
DEC_COGEN_GAS	0.004608	0.003691	0.000000
DEC_COGEN_OIL	0.003692	0.002823	0.000000
DEC_ADVCOGEN_GAS	0.007124	0.001655	0.000000
DEC_ADVCOGEN_H2	0.006734	0.001564	0.000000
DEC_BOILER_GAS	0.004823	0.001631	0.000000
DEC_BOILER_WOOD	0.005022	0.001981	0.000000
DEC_BOILER_OIL	0.003692	0.002497	0.000000
DEC_SOLAR	0.068794	0.009512	0.000000
DEC_DIRECT_ELEC	0.006681	0.000303	0.000000
TRAMWAY_TROLLEY	662.296879	203.622527	0.000000
BUS_COACH_DIESEL	705.377786	387.090270	0.000000
BUS_COACH_HYDIESEL	0.078219	0.032901	0.000000
BUS_COACH_CNG_STOICH	875.031314	474.363500	0.000000
BUS_COACH_FC_HYBRIDH2	0.000522	0.000152	0.000000
TRAIN_PUB	4450.005438	2755.785935	0.000000
CAR_GASOLINE	0.000476	0.000298	0.000000
CAR_DIESEL	0.000842	0.000511	0.000000
CAR_NG	0.001402	0.000850	0.000000
CAR_METHANOL	0.000391	0.000245	0.000000
CAR_HEV	0.000474	0.000395	0.000000
CAR_PHEV	0.231334	0.172432	0.000000
CAR_BEV	96307.460094	16289.777765	0.000000
CAR_FUEL_CELL	0.006608	0.000646	0.000000
PLANE	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.006931	0.006288	0.000000
BOAT_FREIGHT_NG	85.230459	76.382454	0.000000
BOAT_FREIGHT_METHANOL	0.001935	0.001755	0.000000
TRAIN_FREIGHT	111.058415	38.111607	0.000000
TRUCK_DIESEL	1649.633187	905.262222	0.000000
TRUCK_METHANOL	0.000538	0.000295	0.000000
TRUCK_FUEL_CELL	3013.490296	877.404868	0.000000
