Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1				0.000000	0.000000			0.000000														0.000000		6.609455					5.715914					-0.002340	-0.002897	-1.888755	-0.010244	-0.335570	-0.000025	-0.221936	-0.014164	-0.078908	-0.000028	-0.000030	-0.000014	-0.000011	-1.777781	-0.658494	-0.743111	-1.632927	-1.479447	-0.318101	-0.090566	-1.938100	-0.045942	-0.134494	-0.034192	-0.387615	-3.263450	-0.000173																																																																																									0.440669										-6.270000			-0.000002	-0.000009				12.874714																																																							0.000000	
 1 	 2				0.000000	0.000000			0.000000														0.000000		6.591741					5.715902					-0.002339	-0.002896	-1.887277	-0.010240	-0.335327	-0.000025	-0.221780	-0.014158	-0.078851	-0.000028	-0.000030	-0.000014	-0.000011	-1.774610	-0.657872	-0.742403	-1.629290	-1.477013	-0.317871	-0.090500	-1.934655	-0.045787	-0.133702	-0.034085	-0.385139	-3.266980	-0.000172																																																																																									0.440669										-6.270000			-0.000002	-0.000009				12.873250																																																							0.000000	
 1 	 3				0.000000	0.000000			0.000000														0.000000		6.585806					5.716725					-0.002337	-0.002893	-1.883524	-0.010229	-0.334711	-0.000025	-0.221386	-0.014142	-0.078707	-0.000028	-0.000030	-0.000014	-0.000011	-1.766595	-0.656302	-0.740613	-1.620093	-1.470861	-0.317289	-0.090335	-1.925875	-0.045728	-0.133512	-0.034040	-0.383903	-3.268510	-0.000172																																																																																									0.440669										-6.270000			-0.000002	-0.000009				12.870687																																																							0.000000	
 1 	 4				0.000000	0.000000			0.000000														0.000000		6.650884					5.715703					-0.002340	-0.002897	-1.888151	-0.010242	-0.335465	-0.000025	-0.221869	-0.014161	-0.078883	-0.000028	-0.000030	-0.000014	-0.000011	-1.776414	-0.658224	-0.742805	-1.631359	-1.478396	-0.318001	-0.090537	-1.936639	-0.045869	-0.134244	-0.034146	-0.387050	-3.264383	-0.000172																																																																																									0.440669										-6.270000			-0.000002	-0.000009				12.874179																																																							0.000000	
 1 	 5				0.000000	0.000000			0.000000														0.000000		6.769158					5.715718					-0.002340	-0.002896	-1.887769	-0.010241	-0.335399	-0.000025	-0.221827	-0.014159	-0.078868	-0.000028	-0.000030	-0.000014	-0.000011	-1.775570	-0.658059	-0.742616	-1.630391	-1.477748	-0.317940	-0.090520	-1.935730	-0.045884	-0.134306	-0.034158	-0.387061	-3.264283	-0.000172																																																																																									0.440669										-6.270000			-0.000002	-0.000009				12.873950																																																							0.000000	
 1 	 6				0.000000	0.000000			0.000000														0.000000		7.053014					5.715700					-0.002339	-0.002896	-1.887291	-0.010240	-0.335318	-0.000025	-0.221775	-0.014157	-0.078849	-0.000028	-0.000030	-0.000014	-0.000011	-1.774521	-0.657852	-0.742381	-1.629187	-1.476942	-0.317863	-0.090498	-1.934569	-0.045875	-0.134278	-0.034152	-0.386927	-3.264461	-0.000172																																																																																									0.440669										-6.270000			-0.000002	-0.000009				12.873619																																																							0.000000	
 1 	 7				0.000000	0.000000			0.000000														0.000000		7.496414					5.715651					-0.002339	-0.002896	-1.887026	-0.010239	-0.335272	-0.000025	-0.221745	-0.014156	-0.078838	-0.000028	-0.000030	-0.000014	-0.000011	-1.773926	-0.657735	-0.742247	-1.628504	-1.476484	-0.317820	-0.090485	-1.933912	-0.045851	-0.134187	-0.034135	-0.386662	-3.264858	-0.000172																																																																																									0.440669										-6.270000			-0.000002	-0.000009				12.873386																																																							0.000000	
 1 	 8				0.000000	0.000000			0.000000														0.000000		7.378158					5.715759					-0.002339	-0.002895	-1.886328	-0.010237	-0.335155	-0.000025	-0.221670	-0.014153	-0.078811	-0.000028	-0.000030	-0.000014	-0.000011	-1.772407	-0.657437	-0.741908	-1.626763	-1.475318	-0.317709	-0.090454	-1.932229	-0.045894	-0.134340	-0.034165	-0.386592	-3.264707	-0.000173																																																																																									0.440668										-6.270000			-0.000002	-0.000009				12.872965																																																							0.000000	
 1 	 9				0.000000	0.000000			0.000000														0.000000		7.319034					5.715766					-0.002335	-0.002891	-1.880615	-0.010221	-0.334219	-0.000025	-0.221070	-0.014131	-0.078592	-0.000028	-0.000030	-0.000014	-0.000011	-1.760214	-0.655049	-0.739176	-1.612767	-1.465960	-0.316824	-0.090202	-1.920179	-0.045865	-0.134241	-0.034145	-0.386470	-3.264982	-0.000172																																																																																									0.440668										-6.270000			-0.000002	-0.000008				12.869465																																																							0.000000	
 1 	 10				0.000000	0.000000			0.000000														0.000000		7.407727					5.715774					-0.002336	-0.002891	-1.881055	-0.010222	-0.334287	-0.000025	-0.221114	-0.014132	-0.078608	-0.000028	-0.000030	-0.000014	-0.000011	-1.761112	-0.655224	-0.739385	-1.613796	-1.466648	-0.316889	-0.090221	-1.921082	-0.045883	-0.134294	-0.034159	-0.386428	-3.264934	-0.000173																																																																																									0.440668										-6.270000			-0.000002	-0.000008				12.869725																																																							0.000000	
 1 	 11				0.000000	0.000000			0.000000														0.000000		7.525981					5.715776					-0.002341	-0.002898	-1.889589	-0.010246	-0.335678	-0.000025	-0.222005	-0.014166	-0.078933	-0.000028	-0.000030	-0.000014	-0.000011	-1.779235	-0.658773	-0.743431	-1.634592	-1.480556	-0.318204	-0.090594	-1.939694	-0.045897	-0.134345	-0.034166	-0.386905	-3.264384	-0.000173																																																																																									0.440669										-6.270000			-0.000002	-0.000008				12.874988																																																							0.000000	
