Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																						0.286867	0.200144	0.000009	0.230147	0.000000	0.717167																																																																																																																			-1.434335	
 1 	 2																																																																																																						0.114845	0.080126	0.000004	0.092137	0.000000	0.287111																																																																																																																			-0.574223	
 1 	 3																																																																																																						0.057178	0.039892	0.000002	0.045873	0.000000	0.142945																																																																																																																			-0.285890	
 1 	 4																																																																																																						0.689067	0.480755	0.000022	0.552823	0.000001	1.722668																																																																																																																			-3.445335	
 1 	 5																																																																																																						1.837512	1.282012	0.000059	1.474195	0.000003	4.593781																																																																																																																			-9.187561	
 1 	 6																																																																																																						4.593780	3.205031	0.000147	3.685487	0.000007	11.484453																																																																																																																			-22.968902	
 1 	 7																																																																																																						8.899228	6.208895	0.000284	7.139650	0.000014	22.248073																																																																																																																			-44.496139	
 1 	 8																																																																																																						7.750929	5.407740	0.000248	6.218396	0.000012	19.377326																																																																																																																			-38.754646	
 1 	 9																																																																																																						7.176804	5.007179	0.000229	5.757789	0.000011	17.942014																																																																																																																			-35.884022	
 1 	 10																																																																																																						8.038041	5.608054	0.000257	6.448739	0.000013	20.095105																																																																																																																			-40.190203	
 1 	 11																																																																																																						9.186290	6.409175	0.000294	7.369954	0.000014	22.965729																																																																																																																			-45.931451	
 1 	 12																																																																																																						10.104948	7.050113	0.000323	8.106973	0.000016	25.262375																																																																																																																			-50.524742	
 1 	 13																																																																																																						9.186290	6.409175	0.000294	7.369954	0.000014	22.965729																																																																																																																			-45.931451	
 1 	 14																																																																																																						9.301135	6.489301	0.000297	7.462091	0.000015	23.252841																																																																																																																			-46.505673	
 1 	 15																																																																																																						10.449433	7.290456	0.000334	8.383345	0.000016	26.123587																																																																																																																			-52.247166	
 1 	 16																																																																																																						10.908762	7.610925	0.000349	8.751854	0.000017	27.271910																																																																																																																			-54.543811	
 1 	 17																																																																																																						10.908762	7.610925	0.000349	8.751854	0.000017	27.271910																																																																																																																			-54.543811	
 1 	 18																																																																																																						8.038041	5.608054	0.000257	6.448739	0.000013	20.095105																																																																																																																			-40.190203	
 1 	 19																																																																																																						5.741444	4.005743	0.000183	4.606231	0.000009	14.353611																																																																																																																			-28.707218	
 1 	 20																																																																																																						4.305447	3.003864	0.000138	3.454163	0.000007	10.763620																																																																																																																			-21.527237	
 1 	 21																																																																																																						2.868669	2.001440	0.000092	2.301469	0.000005	7.171674																																																																																																																			-14.343346	
 1 	 22																																																																																																						1.837512	1.282012	0.000059	1.474195	0.000003	4.593781																																																																																																																			-9.187561	
 1 	 23																																																																																																						1.148445	0.801258	0.000037	0.921372	0.000002	2.871113																																																																																																																			-5.742225	
 1 	 24																																																																																																						0.459378	0.320503	0.000015	0.368549	0.000001	1.148445																																																																																																																			-2.296890	
 2 	 1																																																																																																						0.286867	0.200144	0.000009	0.230147	0.000000	0.717167																																																																																																																			-1.434335	
 2 	 2																																																																																																						0.114845	0.080126	0.000004	0.092137	0.000000	0.287111																																																																																																																			-0.574223	
 2 	 3																																																																																																						0.057178	0.039892	0.000002	0.045873	0.000000	0.142945																																																																																																																			-0.285890	
 2 	 4																																																																																																						0.689067	0.480755	0.000022	0.552823	0.000001	1.722668																																																																																																																			-3.445335	
 2 	 5																																																																																																						1.837512	1.282012	0.000059	1.474195	0.000003	4.593781																																																																																																																			-9.187561	
 2 	 6																																																																																																						4.593780	3.205031	0.000147	3.685487	0.000007	11.484453																																																																																																																			-22.968902	
 2 	 7																																																																																																						8.899228	6.208895	0.000284	7.139650	0.000014	22.248073																																																																																																																			-44.496139	
 2 	 8																																																																																																						7.750929	5.407740	0.000248	6.218396	0.000012	19.377326																																																																																																																			-38.754646	
 2 	 9																																																																																																						7.176804	5.007179	0.000229	5.757789	0.000011	17.942014																																																																																																																			-35.884022	
 2 	 10																																																																																																						8.038041	5.608054	0.000257	6.448739	0.000013	20.095105																																																																																																																			-40.190203	
 2 	 11																																																																																																						9.186290	6.409175	0.000294	7.369954	0.000014	22.965729																																																																																																																			-45.931451	
 2 	 12																																																																																																						10.104948	7.050113	0.000323	8.106973	0.000016	25.262375																																																																																																																			-50.524742	
 2 	 13																																																																																																						9.186290	6.409175	0.000294	7.369954	0.000014	22.965729																																																																																																																			-45.931451	
 2 	 14																																																																																																						9.301135	6.489301	0.000297	7.462091	0.000015	23.252841																																																																																																																			-46.505673	
 2 	 15																																																																																																						10.449433	7.290456	0.000334	8.383345	0.000016	26.123587																																																																																																																			-52.247166	
 2 	 16																																																																																																						10.908762	7.610925	0.000349	8.751854	0.000017	27.271910																																																																																																																			-54.543811	
 2 	 17																																																																																																						10.908762	7.610925	0.000349	8.751854	0.000017	27.271910																																																																																																																			-54.543811	
 2 	 18																																																																																																						8.038041	5.608054	0.000257	6.448739	0.000013	20.095105																																																																																																																			-40.190203	
 2 	 19																																																																																																						5.741444	4.005743	0.000183	4.606231	0.000009	14.353611																																																																																																																			-28.707218	
 2 	 20																																																																																																						4.305447	3.003864	0.000138	3.454163	0.000007	10.763620																																																																																																																			-21.527237	
 2 	 21																																																																																																						2.868669	2.001440	0.000092	2.301469	0.000005	7.171674																																																																																																																			-14.343346	
 2 	 22																																																																																																						1.837512	1.282012	0.000059	1.474195	0.000003	4.593781																																																																																																																			-9.187561	
 2 	 23																																																																																																						1.148445	0.801258	0.000037	0.921372	0.000002	2.871113																																																																																																																			-5.742225	
 2 	 24																																																																																																						0.459378	0.320503	0.000015	0.368549	0.000001	1.148445																																																																																																																			-2.296890	
 3 	 1																																																																																																						0.286867	0.200144	0.000009	0.230147	0.000000	0.717167																																																																																																																			-1.434335	
 3 	 2																																																																																																						0.114845	0.080126	0.000004	0.092137	0.000000	0.287111																																																																																																																			-0.574223	
 3 	 3																																																																																																						0.057178	0.039892	0.000002	0.045873	0.000000	0.142945																																																																																																																			-0.285890	
 3 	 4																																																																																																						0.689067	0.480755	0.000022	0.552823	0.000001	1.722668																																																																																																																			-3.445335	
 3 	 5																																																																																																						1.837512	1.282012	0.000059	1.474195	0.000003	4.593781																																																																																																																			-9.187561	
 3 	 6																																																																																																						4.593780	3.205031	0.000147	3.685487	0.000007	11.484453																																																																																																																			-22.968902	
 3 	 7																																																																																																						8.899228	6.208895	0.000284	7.139650	0.000014	22.248073																																																																																																																			-44.496139	
