Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																			0.000000		0.000000																																										-0.000066																																																															0.000013																									-0.000006																																																													-34013.535551	34017.878647									-4.343037	
 1 	 2																			0.000000		0.000000																																										-0.000067																																																															0.000012																									-0.000006																																																													-33841.205293	33845.548391									-4.343037	
 1 	 3																			0.000000		0.000000																																										-0.000067																																																															0.000011																									-0.000006																																																													-33501.579860	33505.922958									-4.343037	
 1 	 4																			0.000000		0.000000																																										-0.000066																																																															0.000015																									-0.000006																																																													-33953.108006	33957.451100									-4.343037	
 1 	 5																			0.000000		0.000000																																										-0.000066																																																															0.000015																									-0.000006																																																													-33944.248590	33948.591684									-4.343037	
 1 	 6																			0.000000		0.000000																																										-0.000066																																																															0.000015																									-0.000006																																																													-33941.197042	33945.540136									-4.343037	
 1 	 7																			0.000000		0.000000																																										-0.000067																																																															0.000015																									-0.000006																																																													-33938.629022	33942.972116									-4.343037	
 1 	 8																			0.000000		0.000000																																										-0.000069																																																															0.000015																									-0.000006																																																													-33925.677765	33930.020861									-4.343037	
 1 	 9																			0.000000		0.000000																																										-0.000067																																																															0.000015																									-0.000006																																																													-33925.905435	33930.248528									-4.343037	
 1 	 10																			0.000000		0.000000																																										-0.000071																																																															0.000015																									-0.000006																																																													-33923.855550	33928.198648									-4.343037	
 1 	 11																			0.000000		0.000000																																										-0.000067																																																															0.000015																									-0.000006																																																													-33922.588051	33926.931145									-4.343037	
 1 	 12																			0.000000		0.000000																																										-0.000008																																																															0.000039																									-0.000006																																																													-33920.064262	33924.407273									-4.343037	
 1 	 13																			0.000000		0.000000																																										-0.000004																																																															5.689949																									-0.000006																																																													-33920.843993	33919.497091									-4.343037	
 1 	 14																			0.000000		0.000000																																										-0.000004																																																															5.689967																									-0.000006																																																													-33922.122592	33920.775672									-4.343037	
 1 	 15																			0.000000		0.000000																																										-0.000004																																																															5.689957																									-0.000006																																																													-33917.134761	33915.787851									-4.343037	
 1 	 16																			0.000000		0.000000																																										-0.000007																																																															0.000045																									-0.000006																																																													-33898.447948	33902.790953									-4.343037	
 1 	 17																			0.000000		0.000000																																										-0.000065																																																															0.000015																									-0.000006																																																													-33911.719604	33916.062696									-4.343037	
 1 	 18																			0.000000		0.000000																																										-0.000071																																																															0.000015																									-0.000006																																																													-33922.323678	33926.666777									-4.343037	
 1 	 19																			0.000000		0.000000																																										-0.000071																																																															0.000014																									-0.000006																																																													-33930.307202	33934.650301									-4.343037	
 1 	 20																			0.000000		0.000000																																										-0.000071																																																															0.000014																									-0.000006																																																													-33939.159252	33943.502350									-4.343037	
 1 	 21																			0.000000		0.000000																																										-0.000070																																																															0.000014																									-0.000006																																																													-33947.219077	33951.562175									-4.343037	
 1 	 22																			0.000000		0.000000																																										-0.000070																																																															0.000014																									-0.000006																																																													-33957.344949	33961.688047									-4.343037	
 1 	 23																			0.000000		0.000000																																										-0.000070																																																															0.000014																									-0.000006																																																													-33985.447289	33989.790387									-4.343037	
 1 	 24																			0.000000		0.000000																																										-0.000069																																																															0.000013																									-0.000006																																																													-34097.149517	34101.492616									-4.343037	
 2 	 1																			0.000000		0.000000																																										-0.000009																																																															0.000057																									-0.000007																																																													-34056.640070	34060.983066									-4.343037	
 2 	 2																			0.000000		0.000000																																										-0.000009																																																															0.000048																									-0.000008																																																													-33817.504447	33821.847452									-4.343037	
 2 	 3																			0.000000		0.000000																																										-0.000008																																																															0.000041																									-0.000008																																																													-33502.077536	33506.420547									-4.343037	
 2 	 4																			0.000000		0.000000																																										-0.000009																																																															0.000059																									-0.000007																																																													-33919.923683	33924.266677									-4.343037	
 2 	 5																			0.000000		0.000000																																										-0.000009																																																															0.000059																									-0.000007																																																													-33929.834512	33934.177506									-4.343037	
 2 	 6																			0.000000		0.000000																																										-0.000009																																																															0.000058																									-0.000007																																																													-33934.538348	33938.881343									-4.343037	
 2 	 7																			0.000000		0.000000																																										-0.000009																																																															0.000058																									-0.000007																																																													-33931.126994	33935.469989									-4.343037	
 2 	 8																			0.000000		0.000000																																										-0.000009																																																															0.000057																									-0.000007																																																													-33925.845832	33930.188828									-4.343037	
 2 	 9																			0.000000		0.000000																																										-0.000009																																																															0.000055																									-0.000007																																																													-33933.595832	33937.938829									-4.343037	
 2 	 10																			0.000000		0.000000																																										-0.000009																																																															0.000067																									-0.000007																																																													-33930.131827	33934.474812									-4.343037	
 2 	 11																			0.000000		0.000000																																										-0.000006																																																															5.689824																									-0.000007																																																													-33929.578281	33928.231506									-4.343037	
 2 	 12																			0.000000		0.000000																																										-0.000005																																																															5.689970																									-0.000007																																																													-33923.004534	33921.657613									-4.343037	
 2 	 13																			0.000000		0.000000																																										-0.000005																																																															5.690029																									-0.000007																																																													-33924.671110	33923.324130									-4.343037	
 2 	 14																			0.000000		0.000000																																										-0.000005																																																															5.690079																									-0.000007																																																													-33920.027235	33918.680204									-4.343037	
 2 	 15																			0.000000		0.000000																																										-0.000005																																																															5.689957																									-0.000007																																																													-33911.338003	33909.991095									-4.343037	
 2 	 16																			0.000000		0.000000																																										-0.000005																																																															5.689843																									-0.000007																																																													-33904.748962	33903.402168									-4.343037	
 2 	 17																			0.000000		0.000000																																										-0.000005																																																															5.689808																									-0.000007																																																													-33902.002350	33900.655591									-4.343037	
 2 	 18																			0.000000		0.000000																																										-0.000008																																																															0.000068																									-0.000007																																																													-33908.938178	33913.281162									-4.343037	
