Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																0.000014	0.000045	0.000007	0.000007	0.031240	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216737		0.000000			1.431634									-0.000008																																	-0.000200	0.000380	-21.509417	51.374981																							-26.111991	
 1 	 2																																																																																0.000014	0.000045	0.000007	0.000007	0.031240	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216737		0.000000			1.431634									-0.000008																																	-0.000236	0.000328	-21.299922	51.866855																							-26.813270	
 1 	 3																																																																																0.000014	0.000045	0.000006	0.000007	0.031240	0.000021	0.000008	0.000005	0.000004		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000001					-5.216737		0.000000			1.431634									-0.000008																																	-0.000258	0.000302	-21.312841	51.925848																							-26.859296	
 1 	 4																																																																																0.000014	0.000045	0.000007	0.000007	0.031240	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216735		0.000000			1.431633									-0.000008																																	-0.000271	0.000288	-21.334379	51.989879																							-26.901764	
 1 	 5																																																																																0.000014	0.000045	0.000007	0.000007	0.031240	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216735		0.000000			1.431633									-0.000009																																	-0.000280	0.000280	-21.282847	52.170673																							-27.134072	
 1 	 6																																																																																0.000013	0.000045	0.000007	0.000007	0.031240	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216735		0.000000			1.431633									-0.000009																																	-0.000283	0.000277	-21.016304	52.696304																							-27.926241	
 1 	 7																																																																																0.000013	0.000045	0.000007	0.000007	0.031240	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216735		0.000000			1.431633									-0.000009																																	-0.000285	0.000275	-20.788518	53.157678																							-28.615397	
 1 	 8																																																																																0.000013	0.000045	0.000007	0.000007	0.031241	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216731		0.000000			1.431630									-0.000009																																	-0.000281	0.000279	-20.551036	53.487019																							-29.182227	
 1 	 9																																																																																0.000014	0.000045	0.000007	0.000007	0.031240	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216731		0.000000			1.431630									-0.000009																																	-0.000284	0.000276	-20.332272	53.932080																							-29.846047	
 1 	 10																																																																																0.000013	0.000045	0.000007	0.000007	0.031241	0.000021	0.000008	0.000006	0.000004		0.000002																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216730		0.000000			1.431628									-0.000008																																	-0.000283	0.000277	-20.105917	54.270518																							-30.410845	
 1 	 11																																																																																0.000014	0.000045	0.000007	0.000007	0.031241	0.000021	0.000008	0.000006	0.000004		0.000009																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216728		0.000000			1.431627									-0.000008																																	-0.000282	0.000277	-20.423870	53.595565																							-29.417947	
 1 	 12																																																																																23.150334	0.000035	0.000004	0.000004	0.000006	0.000019	0.000008	0.000006	0.000004		0.000020																																				0.000005	0.000001															0.000001	0.000002	-0.000001					-5.216752		0.000000			1.431660									-0.000026																																	-0.000282	0.000277	-29.654611	39.216416																							-28.927132	
 1 	 13																																																																																23.150333	0.000006	0.000005	0.000004	0.031165	0.000019	0.000011	0.000009	0.000005		0.000028																																				0.762694	0.000001															0.000001	0.000001	-0.000001					-4.240802		0.000000			1.557545									-1.543245																																	-0.000281	0.000277	-30.709887	38.215519																							-27.223405	
 1 	 14																																																																																23.150331	0.000005	0.000005	0.000004	0.031230	0.000019	0.000011	0.000010	0.000005		0.000031																																				0.762696	0.000001															0.000001	0.000001	-0.000001					-2.374415		0.000000			0.000118									-1.543256																																	-0.000279	0.000279	-31.359748	37.460110																							-26.127159	
 1 	 15																																																																																23.150332	0.000006	0.000005	0.000004	0.031167	0.000019	0.000011	0.000009	0.000005		0.000027																																				0.762695	0.000001															0.000001	0.000001	-0.000001					-3.831564		0.000000			1.216048									-1.543242																																	-0.000278	0.000280	-31.761446	36.997832																							-25.021912	
 1 	 16																																																																																23.150324	0.000031	0.000004	0.000004	0.000006	0.000019	0.000008	0.000006	0.000004		0.000019																																				0.000006	0.000001															0.000001	0.000001	-0.000001					-5.216753		0.000000			1.431663									-0.000030																																	-0.000279	0.000279	-31.803760	36.508532																							-24.070086	
 1 	 17																																																																																0.000014	0.000044	0.000007	0.000007	0.031241	0.000021	0.000008	0.000006	0.000004		0.000008																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216729		0.000000			1.431627									-0.000008																																	-0.000279	0.000279	-22.498113	49.740586																							-23.488729	
 1 	 18																																																																																0.000013	0.000045	0.000007	0.000007	0.031241	0.000021	0.000008	0.000006	0.000004		0.000001																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216730		0.000000			1.431628									-0.000008																																	-0.000282	0.000277	-22.144368	50.479062																							-24.580938	
 1 	 19																																																																																0.000013	0.000045	0.000007	0.000007	0.031241	0.000021	0.000008	0.000006	0.000004		0.000000																																				0.000002	0.000001															0.000001	0.000002	-0.000001					-5.216730		0.000000			1.431628									-0.000008																																	-0.000286	0.000274	-21.515481	51.711257																							-26.442013	
