Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1									0.086325	0.000000																								0.000087	0.000081	0.123746	0.000285	0.021624	0.000081	0.014298	0.000915	0.002199	0.000069	0.091562	0.000005	0.000003	0.065326	0.024009	0.020705	0.182525	0.054286	0.008760	0.002288	0.146805	0.012086	0.011419	0.009022	0.075495	0.063877	0.000021																																																								5.159311																																												6.846102							-13.023317																																																							0.000000	
 1 	 2									0.086325	0.000000																								0.000087	0.000080	0.123611	0.000285	0.021588	0.000081	0.014275	0.000914	0.002196	0.000069	0.091417	0.000005	0.000003	0.065245	0.023969	0.020670	0.182206	0.054229	0.008746	0.002285	0.146680	0.012187	0.011490	0.009101	0.075884	0.063809	0.000021																																																								5.159311																																												6.846102							-13.022870																																																							0.000000	
 1 	 3									0.086325	0.000000																								0.000087	0.000080	0.123269	0.000284	0.021497	0.000081	0.014221	0.000910	0.002189	0.000069	0.091074	0.000005	0.000003	0.065040	0.023867	0.020585	0.181389	0.054084	0.008709	0.002278	0.146363	0.012264	0.011572	0.009156	0.075947	0.063774	0.000021																																																								5.159311																																												6.846102							-13.020554																																																							0.000000	
 1 	 4									0.086325	0.000000																								0.000087	0.000080	0.123688	0.000285	0.021608	0.000081	0.014288	0.000914	0.002197	0.000069	0.091498	0.000005	0.000003	0.065291	0.023992	0.020690	0.182389	0.054262	0.008754	0.002287	0.146754	0.012080	0.011409	0.009018	0.075387	0.063891	0.000021																																																								5.159311																																												6.846102							-13.022769																																																							0.000000	
 1 	 5									0.086325	0.000000																								0.000087	0.000080	0.123653	0.000285	0.021599	0.000081	0.014282	0.000914	0.002197	0.000069	0.091458	0.000005	0.000003	0.065270	0.023981	0.020681	0.182303	0.054247	0.008750	0.002286	0.146722	0.012063	0.011382	0.009007	0.075118	0.063926	0.000021																																																								5.159311																																												6.846102							-13.022206																																																							0.000000	
 1 	 6									0.086325	0.000000																								0.000087	0.000080	0.123608	0.000285	0.021587	0.000081	0.014275	0.000913	0.002196	0.000069	0.091409	0.000005	0.000003	0.065243	0.023968	0.020669	0.182196	0.054228	0.008745	0.002285	0.146682	0.012065	0.011383	0.009009	0.075076	0.063930	0.000021																																																								5.159311																																												6.846102							-13.021834																																																							0.000000	
 1 	 7									0.086325	0.000000																								0.000087	0.000080	0.123583	0.000285	0.021580	0.000081	0.014271	0.000913	0.002195	0.000069	0.091380	0.000005	0.000003	0.065228	0.023960	0.020663	0.182136	0.054217	0.008742	0.002284	0.146659	0.012060	0.011373	0.009003	0.075024	0.063938	0.000021																																																								5.159311																																												6.846102							-13.021577																																																							0.000000	
 1 	 8									0.086325	0.000000																								0.000087	0.000080	0.123519	0.000285	0.021563	0.000081	0.014260	0.000913	0.002194	0.000069	0.091316	0.000005	0.000003	0.065189	0.023941	0.020646	0.181981	0.054190	0.008735	0.002283	0.146600	0.012056	0.011381	0.009000	0.075091	0.063930	0.000021																																																								5.159311																																												6.846102							-13.021155																																																							0.000000	
 1 	 9									0.086325	0.000000																								0.000086	0.000080	0.122999	0.000284	0.021424	0.000081	0.014176	0.000908	0.002184	0.000069	0.090799	0.000005	0.000003	0.064877	0.023785	0.020518	0.180739	0.053966	0.008679	0.002272	0.146128	0.012056	0.011376	0.009001	0.075031	0.063937	0.000021																																																								5.159311																																												6.846102							-13.017222																																																							0.000000	
 1 	 10									0.086325	0.000000																								0.000086	0.000080	0.123037	0.000284	0.021434	0.000081	0.014182	0.000908	0.002185	0.000069	0.090835	0.000005	0.000003	0.064900	0.023797	0.020528	0.180830	0.053984	0.008683	0.002273	0.146163	0.012057	0.011381	0.009001	0.075069	0.063932	0.000021																																																								5.159311																																												6.846102							-13.017545																																																							0.000000	
 1 	 11									0.086325	0.000000																								0.000087	0.000081	0.123811	0.000286	0.021640	0.000081	0.014309	0.000915	0.002200	0.000069	0.091620	0.000005	0.000003	0.065364	0.024027	0.020721	0.182668	0.054314	0.008766	0.002289	0.146876	0.012058	0.011380	0.009002	0.075014	0.063937	0.000021																																																								5.159311																																												6.846102							-13.023282																																																							0.000000	
 1 	 12									0.086325	0.000000																								0.000087	0.000081	0.123798	0.000286	0.021636	0.000081	0.014307	0.000915	0.002200	0.000069	0.091605	0.000005	0.000003	0.065357	0.024024	0.020717	0.182639	0.054308	0.008765	0.002289	0.146866	0.012070	0.011384	0.009013	0.075003	0.063933	0.000021																																																								5.159311																																												6.846102							-13.023199																																																							0.000000	
 1 	 13									0.086325	0.000000																								0.000086	0.000080	0.122995	0.000284	0.021422	0.000081	0.014175	0.000908	0.002184	0.000069	0.090788	0.000005	0.000003	0.064874	0.023784	0.020517	0.180725	0.053964	0.008679	0.002272	0.146129	0.012076	0.011393	0.009017	0.075122	0.063912	0.000021																																																								5.159311																																												6.846102							-13.017301																																																							0.000000	
 1 	 14									0.086325	0.000000																								0.000086	0.000080	0.122932	0.000283	0.021405	0.000081	0.014165	0.000907	0.002183	0.000069	0.090725	0.000005	0.000003	0.064836	0.023766	0.020501	0.180574	0.053934	0.008672	0.002271	0.146076	0.012084	0.011411	0.009021	0.075261	0.063893	0.000021																																																								5.159311																																												6.846102							-13.016981																																																							0.000000	
