Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.936620	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.960203	Infinity
WASTE	85000.000630	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	6393.596373	Infinity
CO2_EMISSIONS	57766.227461	Infinity
RES_WIND	272765.485869	Infinity
RES_SOLAR	270761.467761	Infinity
RES_HYDRO	90686.032097	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	8139.883882	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	44.417480	44.416667
APPLES	54.986861	54.986111
CEREALSTRAW	36555.556304	36555.555556
CHERRIES	194.445020	194.444444
MAIZESTRAW	6388.889638	6388.888889
OLIVES	55.554340	55.555556
OSR	4222.223017	4222.222222
RICESTRAW	268.878574	268.877778
VINEYARDS	1500.000717	1500.000000
MISCANTHUS	1.816948	30638.888889
SWITCHGRASS	14942.233989	32111.111111
WILLOW	0.147243	8277.777778
POPLAR	0.082883	888.888889
CP_RES	34138.483953	34138.483333
FUELWOOD_RES	12555.556265	12555.555556
LANDSCAPECARE	14172.545211	14172.544444
MSW	31515.348643	31515.361111
FUELWOODRW	28361.111811	28361.111111
OTHERSECRESID	6055.556371	6055.555556
SAWDUST	1722.223101	1722.222222
CP_RW	77249.963865	77250.000000
GRASS_FOR_BIOGAS	781.942986	781.944444
MAIZE_SILAGE	2259.774659	2259.777778
SUGARBEETTOPS	583.331196	583.333333
MANURE_LIQ	6527.767867	6527.777778
MANURE_SOL	65138.889666	65138.888889
SLUDGE	3.050827	3.055556
