Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1								0.000000	3.116438																																																																																																											-10.389269																																							6.532271	0.000001	0.000001																																																													-1836735.666650	1836736.407208			0.000000	
 1 	 2								0.000000	3.116438																																																																																																											-10.389269																																							6.534533	0.000001	0.000001																																																													-1836696.477794	1836697.216090			0.000000	
 1 	 3								0.000000	3.116438																																																																																																											-10.389269																																							6.534648	0.000001	0.000001																																																													-1836997.619229	1836998.357410			0.000000	
 1 	 4								0.000000	3.116438																																																																																																											-10.389269																																							6.529767	0.000001	0.000001																																																													-2088409.088409	2088409.831471			0.000000	
 1 	 5								0.000000	3.116438																																																																																																											-10.389269																																							6.529750	0.000001	0.000001																																																													-2088409.633054	2088410.376132			0.000000	
 1 	 6								0.000000	3.116438																																																																																																											-10.389269																																							6.529640	0.000001	0.000001																																																													-2088406.851345	2088407.594534			0.000000	
 1 	 7								0.000000	3.116438																																																																																																											-10.389269																																							6.529132	0.000001	0.000001																																																													-2088401.084634	2088401.828332			0.000000	
 1 	 8								0.000000	3.116438																																																																																																											-10.389269																																							6.529868	0.000001	0.000001																																																													-2088403.443165	2088404.186127			0.000000	
 1 	 9								0.000000	3.116438																																																																																																											-10.389269																																							6.529710	0.000001	0.000001																																																													-2088405.220254	2088405.963373			0.000000	
 1 	 10								0.000000	3.116438																																																																																																											-10.389269																																							6.529993	0.000001	0.000001																																																													-2088405.648289	2088406.391125			0.000000	
 1 	 11								0.000000	3.116438																																																																																																											-10.389269																																							6.530576	0.000001	0.000001																																																													-2088406.560956	2088407.303210			0.000000	
 1 	 12								0.000000	3.116438																																																																																																											-10.389269																																							6.530836	0.000001	0.000001																																																													-2088406.349444	2088407.091437			0.000000	
 1 	 13								0.000000	3.116438																																																																																																											-10.389269																																							6.535499	0.000001	0.000001																																																													-2088405.817893	2088406.555224			0.000000	
 1 	 14								0.000000	3.116438																																																																																																											-10.389269																																							6.536709	0.000001	0.000001																																																													-2088405.721760	2088406.457880			0.000000	
 1 	 15								0.000000	3.116438																																																																																																											-10.389269																																							6.535172	0.000001	0.000001																																																													-2088406.118634	2088406.856292			0.000000	
 1 	 16								0.000000	3.116438																																																																																																											-10.389269																																							6.530803	0.000001	0.000001																																																													-2088404.461590	2088405.203616			0.000000	
 1 	 17								0.000000	3.116438																																																																																																											-10.389269																																							6.530934	0.000001	0.000001																																																													-2088404.730245	2088405.472141			0.000000	
 1 	 18								0.000000	3.116438																																																																																																											-10.389269																																							6.530401	0.000001	0.000001																																																													-2088404.304506	2088405.046934			0.000000	
 1 	 19								0.000000	3.116438																																																																																																											-10.389269																																							6.530340	0.000001	0.000001																																																													-2088404.573395	2088405.315884			0.000000	
 1 	 20								0.000000	3.116438																																																																																																											-10.389269																																							6.530219	0.000001	0.000001																																																													-2088405.608246	2088406.350856			0.000000	
 1 	 21								0.000000	3.116438																																																																																																											-10.389269																																							6.530334	0.000001	0.000001																																																													-2088406.056244	2088406.798739			0.000000	
 1 	 22								0.000000	3.116438																																																																																																											-10.389269																																							6.530407	0.000001	0.000001																																																													-2088406.346540	2088407.088962			0.000000	
 1 	 23								0.000000	3.116438																																																																																																											-10.389269																																							6.530209	0.000001	0.000001																																																													-2088394.531831	2088395.274451			0.000000	
 1 	 24								0.000000	3.116438																																																																																																											-10.389269																																							6.531363	0.000001	0.000001																																																													-2088394.819753	2088395.561220			0.000000	
 2 	 1								0.000000	3.116438																																																																																																											-10.389269																																							6.508808	0.000001	0.000001																																																													-1836772.451451	1836773.215472			0.000000	
 2 	 2								0.000000	3.116438																																																																																																											-10.389269																																							6.510810	0.000001	0.000001																																																													-1836694.864315	1836695.626334			0.000000	
 2 	 3								0.000000	3.116438																																																																																																											-10.389269																																							6.512014	0.000001	0.000001																																																													-1836951.929987	1836952.690802			0.000000	
 2 	 4								0.000000	3.116438																																																																																																											-10.389269																																							6.505949	0.000001	0.000001																																																													-2088402.589518	2088403.356397			0.000000	
 2 	 5								0.000000	3.116438																																																																																																											-10.389269																																							6.504682	0.000001	0.000001																																																													-2088407.217929	2088407.986076			0.000000	
 2 	 6								0.000000	3.116438																																																																																																											-10.389269																																							6.504169	0.000001	0.000001																																																													-2088406.461331	2088407.229991			0.000000	
 2 	 7								0.000000	3.116438																																																																																																											-10.389269																																							6.503772	0.000001	0.000001																																																													-2088393.360022	2088394.129079			0.000000	
 2 	 8								0.000000	3.116438																																																																																																											-10.389269																																							6.504529	0.000001	0.000001																																																													-2088401.385971	2088402.154271			0.000000	
 2 	 9								0.000000	3.116438																																																																																																											-10.389269																																							6.504485	0.000001	0.000001																																																													-2088403.733929	2088404.502272			0.000000	
 2 	 10								0.000000	3.116438																																																																																																											-10.389269																																							6.504302	0.000001	0.000001																																																													-2088405.464958	2088406.233484			0.000000	
 2 	 11								0.000000	3.116438																																																																																																											-10.389269																																							7.288781	0.000001	0.000001																																																													-2088406.926560	2088406.910607			0.000000	
 2 	 12								0.000000	3.116438																																																																																																											-10.389269																																							7.462895	0.000001	0.000001																																																													-2088406.460182	2088406.270116			0.000000	
 2 	 13								0.000000	3.116438																																																																																																											-10.389269																																							7.462913	0.000001	0.000001																																																													-2088405.961506	2088405.771421			0.000000	
 2 	 14								0.000000	3.116438																																																																																																											-10.389269																																							7.462913	0.000001	0.000001																																																													-2088406.301813	2088406.111729			0.000000	
 2 	 15								0.000000	3.116438																																																																																																											-10.389269																																							7.462913	0.000001	0.000001																																																													-2088405.869288	2088405.679203			0.000000	
