Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1										0.000000																																																																																																																																														13.441813	0.000010	0.000039	-13.441825	-0.000017	-0.000020																																																																	0.000000	
 1 	 2										0.000000																																																																																																																																														13.445669	0.000010	0.000040	-13.445682	-0.000018	-0.000019																																																																	0.000000	
 1 	 3										0.000000																																																																																																																																														13.444987	0.000010	0.000039	-13.445004	-0.000017	-0.000016																																																																	0.000000	
 1 	 4										0.000000																																																																																																																																														13.436113	0.000010	0.000038	-13.436123	-0.000018	-0.000020																																																																	0.000000	
 1 	 5										0.000000																																																																																																																																														13.435882	0.000010	0.000038	-13.435891	-0.000018	-0.000020																																																																	0.000000	
 1 	 6										0.000000																																																																																																																																														13.435779	0.000010	0.000038	-13.435788	-0.000018	-0.000020																																																																	0.000000	
 1 	 7										0.000000																																																																																																																																														13.434653	0.000010	0.000038	-13.434662	-0.000018	-0.000020																																																																	0.000000	
 1 	 8										0.000000																																																																																																																																														13.436243	0.000010	0.000038	-13.436252	-0.000018	-0.000020																																																																	0.000000	
 1 	 9										0.000000																																																																																																																																														13.435726	0.000010	0.000039	-13.435736	-0.000018	-0.000020																																																																	0.000000	
 1 	 10										0.000000																																																																																																																																														13.437183	0.000010	0.000037	-13.437192	-0.000018	-0.000020																																																																	0.000000	
 1 	 11										0.000000																																																																																																																																														13.438695	0.000010	0.000035	-13.438701	-0.000018	-0.000020																																																																	0.000000	
 1 	 12										0.000000																																																																																																																																														13.445001	0.000010	0.000112	-13.445085	-0.000018	-0.000020																																																																	0.000000	
 1 	 13										0.000000																																																																																																																																														13.446637	0.000010	0.001279	-13.447887	-0.000018	-0.000020																																																																	0.000000	
 1 	 14										0.000000																																																																																																																																														13.450970	0.000010	0.001260	-13.452202	-0.000018	-0.000020																																																																	0.000000	
 1 	 15										0.000000																																																																																																																																														13.446946	0.000010	0.001287	-13.448205	-0.000018	-0.000020																																																																	0.000000	
 1 	 16										0.000000																																																																																																																																														13.445111	0.000010	0.000110	-13.445193	-0.000018	-0.000020																																																																	0.000000	
 1 	 17										0.000000																																																																																																																																														13.440714	0.000010	0.000032	-13.440718	-0.000018	-0.000020																																																																	0.000000	
 1 	 18										0.000000																																																																																																																																														13.438098	0.000010	0.000038	-13.438107	-0.000018	-0.000020																																																																	0.000000	
 1 	 19										0.000000																																																																																																																																														13.437642	0.000010	0.000038	-13.437651	-0.000018	-0.000020																																																																	0.000000	
 1 	 20										0.000000																																																																																																																																														13.437112	0.000010	0.000038	-13.437122	-0.000018	-0.000020																																																																	0.000000	
 1 	 21										0.000000																																																																																																																																														13.437155	0.000010	0.000038	-13.437164	-0.000018	-0.000020																																																																	0.000000	
 1 	 22										0.000000																																																																																																																																														13.437257	0.000010	0.000038	-13.437266	-0.000018	-0.000020																																																																	0.000000	
 1 	 23										0.000000																																																																																																																																														13.436583	0.000010	0.000038	-13.436592	-0.000018	-0.000020																																																																	0.000000	
 1 	 24										0.000000																																																																																																																																														13.439801	0.000010	0.000039	-13.439812	-0.000018	-0.000020																																																																	0.000000	
 2 	 1										0.000000																																																																																																																																														13.414271	0.000010	0.000132	-13.414369	-0.000020	-0.000024																																																																	0.000000	
 2 	 2										0.000000																																																																																																																																														13.417869	0.000010	0.000132	-13.417968	-0.000021	-0.000022																																																																	0.000000	
 2 	 3										0.000000																																																																																																																																														13.419219	0.000010	0.000114	-13.419305	-0.000019	-0.000019																																																																	0.000000	
 2 	 4										0.000000																																																																																																																																														13.409470	0.000010	0.000131	-13.409566	-0.000021	-0.000024																																																																	0.000000	
 2 	 5										0.000000																																																																																																																																														13.407464	0.000010	0.000129	-13.407558	-0.000021	-0.000024																																																																	0.000000	
 2 	 6										0.000000																																																																																																																																														13.406413	0.000010	0.000129	-13.406507	-0.000021	-0.000024																																																																	0.000000	
 2 	 7										0.000000																																																																																																																																														13.405697	0.000010	0.000132	-13.405793	-0.000021	-0.000024																																																																	0.000000	
 2 	 8										0.000000																																																																																																																																														13.407382	0.000010	0.000131	-13.407478	-0.000021	-0.000024																																																																	0.000000	
 2 	 9										0.000000																																																																																																																																														13.407423	0.000010	0.000132	-13.407519	-0.000021	-0.000024																																																																	0.000000	
 2 	 10										0.000000																																																																																																																																														13.408190	0.000010	0.000130	-13.408284	-0.000021	-0.000024																																																																	0.000000	
 2 	 11										0.000000																																																																																																																																														13.406339	0.000010	1.088836	-14.495139	-0.000021	-0.000024																																																																	0.000000	
 2 	 12										0.000000																																																																																																																																														13.748478	0.000010	1.106498	-14.854941	-0.000021	-0.000024																																																																	0.000000	
 2 	 13										0.000000																																																																																																																																														13.748588	0.000010	1.106577	-14.855130	-0.000021	-0.000024																																																																	0.000000	
 2 	 14										0.000000																																																																																																																																														13.748589	0.000010	1.106577	-14.855131	-0.000021	-0.000024																																																																	0.000000	
 2 	 15										0.000000																																																																																																																																														13.748589	0.000010	1.106579	-14.855133	-0.000021	-0.000024																																																																	0.000000	
 2 	 16										0.000000																																																																																																																																														13.747682	0.000010	1.105888	-14.853534	-0.000021	-0.000024																																																																	0.000000	
 2 	 17										0.000000																																																																																																																																														13.406872	0.000010	1.088914	-14.495750	-0.000021	-0.000024																																																																	0.000000	
 2 	 18										0.000000																																																																																																																																														13.408577	0.000010	0.000139	-13.408681	-0.000022	-0.000024																																																																	0.000000	
 2 	 19										0.000000																																																																																																																																														13.408991	0.000010	0.000131	-13.409087	-0.000022	-0.000024																																																																	0.000000	
