Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000125			-0.000008					0.000013	7.169091	0.000015				-6.320182																	0.000004																																																																-42761.678554	42761.822440							-0.992694	
 1 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000117			-0.000008					0.000012	7.167564	0.000015				-6.320189																	0.000004																																																																-42771.758274	42771.903687							-0.992694	
 1 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000110			-0.000008					0.000011	7.178315	0.000015				-6.320189																	0.000004																																																																-42631.344180	42631.478836							-0.992694	
 1 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000132			-0.000008					0.000013	7.163724	0.000015				-6.320150																	0.000003																																																																-41097.628244	41097.777472							-0.992694	
 1 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000132			-0.000008					0.000013	7.163124	0.000015				-6.320143																	0.000003																																																																-40618.183681	40618.333504							-0.992694	
 1 	 6																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000013	7.162891	0.000015				-6.320143																	0.000003																																																																-40717.376412	40717.526468							-0.992694	
 1 	 7																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000013	7.161733	0.000015				-6.320143																	0.000003																																																																-40875.009484	40875.160700							-0.992694	
 1 	 8																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000013	7.163562	0.000015				-6.320144																	0.000003																																																																-40985.590683	40985.740070							-0.992694	
 1 	 9																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000013	7.163103	0.000015				-6.320144																	0.000003																																																																-41058.090321	41058.240168							-0.992694	
 1 	 10																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000013	7.163245	0.000015				-6.320144																	0.000003																																																																-41118.901160	41119.050863							-0.992694	
 1 	 11																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000013	7.162950	0.000015				-6.320142																	0.000003																																																																-41152.846169	41152.996166							-0.992694	
 1 	 12																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000014	7.163551	0.000015				-6.319292																	0.000004																																																																-41169.585395	41169.733941							-0.992694	
 1 	 13																				0.000000		0.000000																																																																																									-0.000001								-0.000118			-0.000008					0.000014	7.164061	0.000015				-6.283298																	0.000004																																																																-41180.990706	41181.102731							-0.992694	
 1 	 14																				0.000000		0.000000																																																																																									-0.000001								-0.000118			-0.000008					0.000014	7.164578	0.000015				-6.283303																	0.000004																																																																-41189.417549	41189.529062							-0.992694	
 1 	 15																				0.000000		0.000000																																																																																									-0.000001								-0.000118			-0.000008					0.000014	7.164279	0.000015				-6.283303																	0.000004																																																																-41185.734206	41185.846019							-0.992694	
 1 	 16																				0.000000		0.000000																																																																																									-0.000001								-0.000133			-0.000008					0.000014	7.163892	0.000015				-6.319307																	0.000004																																																																-41182.274067	41182.422287							-0.992694	
 1 	 17																				0.000000		0.000000																																																																																									-0.000001								-0.000132			-0.000008					0.000013	7.163968	0.000015				-6.320146																	0.000003																																																																-41158.964537	41159.113520							-0.992694	
 1 	 18																				0.000000		0.000000																																																																																									-0.000001								-0.000132			-0.000008					0.000013	7.164428	0.000015				-6.320150																	0.000003																																																																-41135.505159	41135.653685							-0.992694	
 1 	 19																				0.000000		0.000000																																																																																									-0.000001								-0.000132			-0.000008					0.000013	7.164491	0.000015				-6.320146																	0.000003																																																																-41082.281943	41082.430402							-0.992694	
 1 	 20																				0.000000		0.000000																																																																																									-0.000000								-0.000132			-0.000008					0.000013	7.164272	0.000015				-6.320147																	0.000003																																																																-40988.235276	40988.383955							-0.992694	
 1 	 21																				0.000000		0.000000																																																																																									-0.000000								-0.000132			-0.000008					0.000013	7.164791	0.000015				-6.320145																	0.000003																																																																-40898.106850	40898.255008							-0.992694	
 1 	 22																				0.000000		0.000000																																																																																									-0.000000								-0.000132			-0.000008					0.000013	7.165010	0.000015				-6.320145																	0.000003																																																																-40767.865076	40768.013015							-0.992694	
 1 	 23																				0.000000		0.000000																																																																																									-0.000000								-0.000131			-0.000008					0.000013	7.165994	0.000015				-6.320146																	0.000003																																																																-40696.815638	40696.962592							-0.992694	
 1 	 24																				0.000000		0.000000																																																																																									-0.000000								-0.000126			-0.000008					0.000013	7.168891	0.000015				-6.320157																	0.000004																																																																-41002.309897	41002.453959							-0.992694	
 2 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000127			-0.000008					0.000016	7.136194	0.000017				-6.319053																	0.000004																																																																-42770.172953	42770.348605							-0.992694	
 2 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000120			-0.000008					0.000015	7.134567	0.000017				-6.319143																	0.000004																																																																-42711.519661	42711.697023							-0.992694	
 2 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000113			-0.000008					0.000013	7.148921	0.000017				-6.319199																	0.000004																																																																-42580.681971	42580.845029							-0.992694	
 2 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000149			-0.000008					0.000016	7.130459	0.000017				-6.319138																	0.000004																																																																-41123.544879	41123.726374							-0.992694	
 2 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000149			-0.000008					0.000016	7.128732	0.000016				-6.319161																	0.000004																																																																-40729.330757	40729.514002							-0.992694	
 2 	 6																				0.000000		0.000000																																																																																									-0.000001								-0.000150			-0.000008					0.000016	7.127945	0.000016				-6.319162																	0.000004																																																																-40788.588053	40788.772088							-0.992694	
