Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																17.792705																																																									-0.000023					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 2																17.792706																																																									-0.000023					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 3																17.792709																																																									-0.000024					-17.792667					-0.000019																																																																																																																																											0.000000	
 1 	 4																17.792705																																																									-0.000022					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 5																17.792705																																																									-0.000022					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 6																17.792704																																																									-0.000022					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 7																17.792704																																																									-0.000022					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 8																17.792704																																																									-0.000022					-17.792664					-0.000018																																																																																																																																											0.000000	
 1 	 9																17.792704																																																									-0.000022					-17.792664					-0.000018																																																																																																																																											0.000000	
 1 	 10																17.792704																																																									-0.000022					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 11																17.792706																																																									-0.000022					-17.792665					-0.000018																																																																																																																																											0.000000	
 1 	 12																17.792665																																																									-0.000019					-17.792631					-0.000014																																																																																																																																											0.000000	
 1 	 13																17.786451																																																									-0.000014					-17.786428					-0.000010																																																																																																																																											0.000000	
 1 	 14																17.787003																																																									-0.000012					-17.786981					-0.000010																																																																																																																																											0.000000	
 1 	 15																17.786349																																																									-0.000006					-17.786334					-0.000010																																																																																																																																											0.000000	
 1 	 16																17.792666																																																									-0.000019					-17.792633					-0.000014																																																																																																																																											0.000000	
 1 	 17																17.792707																																																									-0.000023					-17.792665					-0.000018																																																																																																																																											0.000000	
 1 	 18																17.792705																																																									-0.000022					-17.792664					-0.000019																																																																																																																																											0.000000	
 1 	 19																17.792705																																																									-0.000022					-17.792665					-0.000018																																																																																																																																											0.000000	
 1 	 20																17.792705																																																									-0.000022					-17.792665					-0.000018																																																																																																																																											0.000000	
 1 	 21																17.792705																																																									-0.000022					-17.792665					-0.000018																																																																																																																																											0.000000	
 1 	 22																17.792705																																																									-0.000022					-17.792665					-0.000019																																																																																																																																											0.000000	
 1 	 23																17.792705																																																									-0.000022					-17.792665					-0.000019																																																																																																																																											0.000000	
 1 	 24																17.792704																																																									-0.000022					-17.792664					-0.000019																																																																																																																																											0.000000	
 2 	 1																17.792653																																																									-0.000018					-17.792621					-0.000013																																																																																																																																											0.000000	
 2 	 2																17.792655																																																									-0.000018					-17.792624					-0.000013																																																																																																																																											0.000000	
 2 	 3																17.792659																																																									-0.000018					-17.792628					-0.000013																																																																																																																																											0.000000	
 2 	 4																17.792657																																																									-0.000017					-17.792626					-0.000013																																																																																																																																											0.000000	
 2 	 5																17.792658																																																									-0.000017					-17.792627					-0.000013																																																																																																																																											0.000000	
 2 	 6																17.792657																																																									-0.000017					-17.792627					-0.000013																																																																																																																																											0.000000	
 2 	 7																17.792657																																																									-0.000017					-17.792627					-0.000013																																																																																																																																											0.000000	
 2 	 8																17.792658																																																									-0.000017					-17.792627					-0.000013																																																																																																																																											0.000000	
 2 	 9																17.792657																																																									-0.000017					-17.792627					-0.000013																																																																																																																																											0.000000	
 2 	 10																17.792657																																																									-0.000017					-17.792626					-0.000013																																																																																																																																											0.000000	
 2 	 11																17.787378																																																									-0.000013					-17.787355					-0.000010																																																																																																																																											0.000000	
 2 	 12																17.787825																																																									-0.000012					-17.787803					-0.000010																																																																																																																																											0.000000	
 2 	 13																13.245614																																																									-0.000012					-13.245593					-0.000010																																																																																																																																											0.000000	
 2 	 14																8.338235																																																									-0.000012					-8.338214					-0.000010																																																																																																																																											0.000000	
 2 	 15																10.805924																																																									-0.000012					-10.805902					-0.000010																																																																																																																																											0.000000	
 2 	 16																17.787635																																																									-0.000013					-17.787612					-0.000010																																																																																																																																											0.000000	
 2 	 17																17.787295																																																									-0.000013					-17.787273					-0.000010																																																																																																																																											0.000000	
 2 	 18																17.792651																																																									-0.000017					-17.792621					-0.000013																																																																																																																																											0.000000	
 2 	 19																17.792656																																																									-0.000017					-17.792625					-0.000013																																																																																																																																											0.000000	
 2 	 20																17.792655																																																									-0.000017					-17.792625					-0.000013																																																																																																																																											0.000000	
 2 	 21																17.792655																																																									-0.000017					-17.792625					-0.000013																																																																																																																																											0.000000	
 2 	 22																17.792657																																																									-0.000017					-17.792626					-0.000013																																																																																																																																											0.000000	
 2 	 23																17.792656																																																									-0.000017					-17.792625					-0.000013																																																																																																																																											0.000000	
 2 	 24																17.792654																																																									-0.000018					-17.792623					-0.000013																																																																																																																																											0.000000	
 3 	 1																5.749446																																																									-0.000011					-5.749429					-0.000007																																																																																																																																											0.000000	
 3 	 2																6.551702																																																									-0.000011					-6.551684					-0.000007																																																																																																																																											0.000000	
 3 	 3																10.985394																																																									-0.000011					-10.985377					-0.000007																																																																																																																																											0.000000	
 3 	 4																10.184588																																																									-0.000011					-10.184571					-0.000007																																																																																																																																											0.000000	
 3 	 5																12.152848																																																									-0.000011					-12.152831					-0.000007																																																																																																																																											0.000000	
 3 	 6																15.771050																																																									-0.000011					-15.771032					-0.000007																																																																																																																																											0.000000	
 3 	 7																16.590422																																																									-0.000011					-16.590404					-0.000007																																																																																																																																											0.000000	
 3 	 8																10.576254																																																									-0.000011					-10.576237					-0.000007																																																																																																																																											0.000000	
 3 	 9																7.400163																																																									-0.000011					-7.400146					-0.000007																																																																																																																																											0.000000	
 3 	 10																6.547825																																																									-0.000011					-6.547808					-0.000007																																																																																																																																											0.000000	
