Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1						0.000000																																																																						-0.000020												-0.000012						-0.000088					-0.000033																																															0.000058																																																																-40651.928437	40651.928533											0.000000	
 1 	 2						0.000000																																																																						-0.000020												-0.000013						-0.000091					-0.000037																																															0.000058																																																																-40565.687762	40565.687864											0.000000	
 1 	 3						0.000000																																																																						-0.000021												-0.000012						-0.000091					-0.000036																																															0.000059																																																																-40627.132248	40627.132349											0.000000	
 1 	 4						0.000000																																																																						-0.000021												-0.000013						-0.000088					-0.000036																																															0.000058																																																																-40649.124003	40649.124102											0.000000	
 1 	 5						0.000000																																																																						-0.000021												-0.000013						-0.000088					-0.000037																																															0.000058																																																																-40636.303627	40636.303727											0.000000	
 1 	 6						0.000000																																																																						-0.000021												-0.000013						-0.000088					-0.000038																																															0.000058																																																																-40639.906858	40639.906959											0.000000	
 1 	 7						0.000000																																																																						-0.000021												-0.000013						-0.000088					-0.000038																																															0.000058																																																																-40644.534048	40644.534150											0.000000	
 1 	 8						0.000000																																																																						-0.000021												-0.000013						-0.000089					-0.000038																																															0.000058																																																																-40652.547532	40652.547634											0.000000	
 1 	 9						0.000000																																																																						-0.000021												-0.000013						-0.000088					-0.000039																																															0.000058																																																																-40652.406855	40652.406958											0.000000	
 1 	 10						0.000000																																																																						-0.000021												-0.000013						-0.000089					-0.000039																																															0.000058																																																																-40654.819894	40654.819997											0.000000	
 1 	 11						0.000000																																																																						-0.000021												-0.000013						-0.000089					-0.000039																																															0.000058																																																																-40654.523147	40654.523250											0.000000	
 1 	 12						0.000000																																																																						-0.000018												-0.000013						-0.000018					-0.000040																																															0.000056																																																																-40654.369927	40654.369958											0.000000	
 1 	 13						0.000000																																																																						-0.000016												-0.000013						-0.000010					-0.000040																																															0.000055																																																																-40653.663323	40653.663346											0.000000	
 1 	 14						0.000000																																																																						-0.000017												-0.000013						-0.000010					-0.000040																																															0.000056																																																																-40640.862236	40640.862259											0.000000	
 1 	 15						0.000000																																																																						-0.000016												-0.000013						-0.000010					-0.000041																																															0.000055																																																																-40638.819412	40638.819436											0.000000	
 1 	 16						0.000000																																																																						-0.000018												-0.000013						-0.000017					-0.000042																																															0.000056																																																																-40636.117254	40636.117287											0.000000	
 1 	 17						0.000000																																																																						-0.000021												-0.000012						-0.000090					-0.000043																																															0.000058																																																																-40624.921144	40624.921252											0.000000	
 1 	 18						0.000000																																																																						-0.000021												-0.000012						-0.000089					-0.000045																																															0.000058																																																																-40620.358195	40620.358303											0.000000	
 1 	 19						0.000000																																																																						-0.000021												-0.000012						-0.000089					-0.000047																																															0.000058																																																																-40642.548936	40642.549046											0.000000	
 1 	 20						0.000000																																																																						-0.000022												-0.000013						-0.000089					-0.000057																																															0.000058																																																																-39965.881244	39965.881367											0.000000	
 1 	 21						0.000000																																																																						-0.000021												-0.000012						-0.000089					-0.000050																																															0.000058																																																																-40632.929322	40632.929436											0.000000	
 1 	 22						0.000000																																																																						-0.000021												-0.000012						-0.000089					-0.000051																																															0.000058																																																																-40629.000321	40629.000436											0.000000	
 1 	 23						0.000000																																																																						-0.000021												-0.000012						-0.000089					-0.000053																																															0.000058																																																																-40622.116329	40622.116445											0.000000	
 1 	 24						0.000000																																																																						-0.000021												-0.000012						-0.000089					-0.000054																																															0.000058																																																																-40585.105434	40585.105552											0.000000	
 2 	 1						0.000000																																																																						-0.000022												-0.000013						-0.000029					-0.000023																																															0.000054																																																																-40570.992271	40570.992303											0.000000	
 2 	 2						0.000000																																																																						-0.000021												-0.000013						-0.000029					-0.000026																																															0.000054																																																																-40439.018293	40439.018328											0.000000	
 2 	 3						0.000000																																																																						-0.000021												-0.000013						-0.000029					-0.000025																																															0.000055																																																																-40516.455581	40516.455613											0.000000	
 2 	 4						0.000000																																																																						-0.000022												-0.000013						-0.000029					-0.000023																																															0.000054																																																																-40565.588656	40565.588688											0.000000	
 2 	 5						0.000000																																																																						-0.000021												-0.000013						-0.000029					-0.000021																																															0.000054																																																																-40646.500197	40646.500227											0.000000	
 2 	 6						0.000000																																																																						-0.000021												-0.000013						-0.000029					-0.000021																																															0.000054																																																																-40647.570159	40647.570189											0.000000	
 2 	 7						0.000000																																																																						-0.000021												-0.000013						-0.000029					-0.000021																																															0.000054																																																																-40647.813636	40647.813666											0.000000	
 2 	 8						0.000000																																																																						-0.000021												-0.000013						-0.000028					-0.000021																																															0.000054																																																																-40652.106823	40652.106852											0.000000	
 2 	 9						0.000000																																																																						-0.000021												-0.000013						-0.000028					-0.000020																																															0.000054																																																																-40652.331879	40652.331907											0.000000	
 2 	 10						0.000000																																																																						-0.000021												-0.000013						-0.000028					-0.000020																																															0.000054																																																																-40651.264214	40651.264242											0.000000	
 2 	 11						0.000000																																																																						-0.000020												-0.000013						-0.000015					-0.000020																																															0.000053																																																																-40650.972398	40650.972412											0.000000	
 2 	 12						0.000000																																																																						-0.000019												-0.000013						-0.000014					-0.000020																																															0.000053																																																																-40650.495570	40650.495583											0.000000	
 2 	 13						0.000000																																																																						-0.000019												-0.000013						-0.000014					-0.000020																																															0.000053																																																																-40650.164344	40650.164357											0.000000	
 2 	 14						0.000000																																																																						-0.000019												-0.000013						-0.000014					-0.000020																																															0.000053																																																																-40650.237350	40650.237363											0.000000	
 2 	 15						0.000000																																																																						-0.000019												-0.000013						-0.000014					-0.000020																																															0.000053																																																																-40648.559970	40648.559982											0.000000	
