Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1	0.000000																						-0.000002																																						50.634355	22.318334	0.000053			0.000000	11.430250	4.623247	7.734751		0.000038	0.000023	0.000009						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528176		0.000046	0.000031	0.000027	0.000024					-0.000004	-0.020190					-0.051454						-0.000001	-0.744418						-0.480711				-0.000000		-0.000003	-0.000000			-0.041970	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.796365	-0.000022	0.000037	-6.552607	0.744442	-0.000025	0.000002																																															-36.117641	
 1 	 2	0.000000																						-0.000002																																						50.634355	22.318334	0.000047			0.000000	9.711065	4.501361	7.734751		0.000038	0.000023	0.000009						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528176		0.000046	0.000032	0.000028	0.000024					-0.000004	-0.008083					-0.020599						-0.000000	-0.298021						-0.480711				-0.000000		-0.000002	-0.000000			-0.041970	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.185746	-0.000023	0.000038	-5.437389	0.298043	-0.000025	0.000001																																															-34.824126	
 1 	 3	0.000000																						-0.000002																																						50.634355	22.318335	0.000044			0.000000	8.510734	4.533183	7.734129		0.000038	0.000023	0.000009						-0.000003	-0.000005	0.000087	0.000011	0.000006	0.000012	0.000007						-54.528176		0.000046	0.000032	0.000027	0.000024					-0.000004	-0.004024					-0.010256						-0.000000	-0.148376						-0.480711				-0.000000		-0.000002	-0.000000			-0.041970	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.107643	-0.000023	0.000038	-4.569066	0.148397	-0.000024	0.000001																																															-34.459615	
 1 	 4	0.000000																						-0.000002																																						50.634355	22.318335	0.000053			0.000000	8.301644	4.576114	7.734129		0.000037	0.000023	0.000008						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528175		0.000046	0.000031	0.000027	0.000024					-0.000004	-0.048498					-0.123595						-0.000003	-1.788126						-0.480711				-0.000000		-0.000003	-0.000000			-0.041971	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.096624	-0.000024	0.000034	-4.757830	1.788156	-0.000025	0.000003																																															-33.935868	
 1 	 5	0.000000																						-0.000002																																						50.634355	22.318334	0.000052			0.000000	8.549455	4.651166	7.734129		0.000037	0.000023	0.000008						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528175		0.000046	0.000031	0.000027	0.000024					-0.000004	-0.129328					-0.329585						-0.000007	-4.768335						-0.480711				-0.000000		-0.000003	-0.000000			-0.041971	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.087726	-0.000024	0.000032	-5.182555	4.768373	-0.000024	0.000007																																															-33.538292	
 1 	 6	0.000000																						-0.000002																																						50.634355	22.318334	0.000053			0.000000	8.913426	4.619644	7.734129		0.000037	0.000023	0.000008						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528175		0.000046	0.000031	0.000027	0.000024					-0.000004	-0.323321					-0.823964						-0.000017	-11.920837						-0.480711				-0.000000		-0.000003	-0.000000			-0.041971	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.087369	-0.000023	0.000033	-4.913857	11.920892	-0.000024	0.000018																																															-33.450730	
 1 	 7	0.000000																						-0.000002																																						50.634355	22.318334	0.000051			0.000000	8.712080	4.536786	7.733508		0.000037	0.000023	0.000008						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528175		0.000046	0.000031	0.000027	0.000024					-0.000004	-0.626349					-1.596210						-0.000034	-23.093452						-0.480711				-0.000000		-0.000003	-0.000000			-0.041971	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.091352	-0.000023	0.000023	-2.952017	23.093533	-0.000024	0.000034																																															-34.056468	
 1 	 8	0.000000																						-0.000002																																						50.634355	22.318334	0.000044			0.000000	8.642383	4.268097	7.733508		0.000037	0.000022	0.000008						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528175		0.000046	0.000031	0.000027	0.000023					-0.000004	-0.545529					-1.390246						-0.000029	-20.113623						-0.480711				-0.000000		-0.000003	-0.000000			-0.041971	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.109140	-0.000023	0.000038	-1.695807	20.113644	-0.000023	0.000029																																															-35.278814	
 1 	 9	0.000000																						-0.000002																																						50.634355	22.318334	0.000039			0.101587	8.580431	4.047742	7.733508		0.000037	0.000022	0.000008						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528175		0.000046	0.000031	0.000027	0.000023					-0.000004	-0.505121					-1.287268						-0.000027	-18.623772						-0.480711				-0.000000		-0.000003	-0.000000			-0.041971	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.180600	-0.000022	0.000046	-0.706558	18.623798	-0.000023	0.000027																																															-36.302195	
 1 	 10	0.000000																						-0.000002																																						50.634355	22.318334	0.000057			7.689638	8.835985	3.971188	7.733508		0.000037	0.000022	0.000008						-0.000003	-0.000005	0.000088	0.000012	0.000006	0.000012	0.000007						-54.528175		0.000046	0.000031	0.000027	0.000024					-0.000004	-0.565736					-1.441743						-0.000030	-20.858675						-0.480711				-0.000000		-0.000003	-0.000000			-0.041971	-0.000001	-0.000002					-0.000003	-0.000003		0.529093		-0.000001				0.000001	0.000000			-0.000000			-0.000000	-0.000002								-0.000002	-0.000001			-0.273996		-0.000008	0.343789	-0.000020	0.000058	-7.729892	20.858701	-0.000024	0.000031																																															-36.994042	
