Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000040			-0.000003					0.000004	7.176330	0.000005				-6.321872																	0.000001																																																																-37838.304930	37838.443199							-0.992694	
 1 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000038			-0.000003					0.000004	7.174559	0.000005				-6.321874																	0.000001																																																																-37861.172933	37861.312973							-0.992694	
 1 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000037			-0.000003					0.000003	7.188434	0.000005				-6.321874																	0.000001																																																																-37722.422249	37722.548413							-0.992694	
 1 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000043			-0.000003					0.000004	7.172682	0.000005				-6.321867																	0.000001																																																																-35866.194686	35866.336600							-0.992694	
 1 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000043			-0.000003					0.000004	7.172524	0.000005				-6.321867																	0.000001																																																																-35252.894919	35253.036994							-0.992694	
 1 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.172518	0.000005				-6.321867																	0.000001																																																																-35359.518985	35359.661066							-0.992694	
 1 	 7																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.171729	0.000005				-6.321867																	0.000001																																																																-35547.044849	35547.187719							-0.992694	
 1 	 8																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.173190	0.000005				-6.321868																	0.000001																																																																-35681.850744	35681.992154							-0.992694	
 1 	 9																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.172970	0.000005				-6.321868																	0.000001																																																																-35773.753550	35773.895180							-0.992694	
 1 	 10																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.173042	0.000005				-6.321868																	0.000001																																																																-35847.556768	35847.698326							-0.992694	
 1 	 11																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.172637	0.000005				-6.321867																	0.000001																																																																-35889.672546	35889.814508							-0.992694	
 1 	 12																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.173110	0.000005				-6.321592																	0.000001																																																																-35910.234074	35910.375288							-0.992694	
 1 	 13																				0.000000		0.000000																																																																																									-0.000000								-0.000039			-0.000003					0.000004	7.173311	0.000005				-6.281842																	0.000001																																																																-35923.895758	35923.997016							-0.992694	
 1 	 14																				0.000000		0.000000																																																																																									-0.000000								-0.000039			-0.000003					0.000004	7.173861	0.000005				-6.281849																	0.000001																																																																-35933.498552	35933.599266							-0.992694	
 1 	 15																				0.000000		0.000000																																																																																									-0.000000								-0.000039			-0.000003					0.000004	7.173388	0.000005				-6.281847																	0.000001																																																																-35929.767163	35929.868348							-0.992694	
 1 	 16																				0.000000		0.000000																																																																																									-0.000001								-0.000044			-0.000003					0.000004	7.173127	0.000005				-6.321595																	0.000001																																																																-35926.378106	35926.519306							-0.992694	
 1 	 17																				0.000000		0.000000																																																																																									-0.000001								-0.000044			-0.000003					0.000004	7.173066	0.000005				-6.321868																	0.000001																																																																-35898.970241	35899.111774							-0.992694	
 1 	 18																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.173722	0.000005				-6.321868																	0.000001																																																																-35870.797083	35870.937960							-0.992694	
 1 	 19																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.173912	0.000005				-6.321868																	0.000001																																																																-35810.199754	35810.340440							-0.992694	
 1 	 20																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000003					0.000004	7.173994	0.000005				-6.321869																	0.000001																																																																-35701.911217	35702.051823							-0.992694	
 1 	 21																				0.000000		0.000000																																																																																									-0.000000								-0.000043			-0.000003					0.000004	7.174406	0.000005				-6.321867																	0.000001																																																																-35595.017882	35595.158075							-0.992694	
 1 	 22																				0.000000		0.000000																																																																																									-0.000000								-0.000043			-0.000003					0.000004	7.174733	0.000005				-6.321867																	0.000001																																																																-35446.906812	35447.046676							-0.992694	
 1 	 23																				0.000000		0.000000																																																																																									-0.000000								-0.000043			-0.000003					0.000004	7.175348	0.000005				-6.321867																	0.000001																																																																-35374.375719	35374.514968							-0.992694	
 1 	 24																				0.000000		0.000000																																																																																									-0.000000								-0.000040			-0.000003					0.000004	7.176263	0.000005				-6.321867																	0.000001																																																																-35764.760620	35764.898952							-0.992694	
 2 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000041			-0.000003					0.000004	7.144041	0.000006				-6.321495																	0.000001																																																																-37849.689712	37849.859892							-0.992694	
 2 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000039			-0.000003					0.000004	7.141756	0.000006				-6.321546																	0.000001																																																																-37796.889580	37797.062095							-0.992694	
 2 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000039			-0.000003					0.000004	7.160134	0.000006				-6.321565																	0.000001																																																																-37672.757337	37672.911493							-0.992694	
 2 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000003					0.000004	7.140330	0.000006				-6.321536																	0.000001																																																																-35896.399025	35896.572963							-0.992694	
 2 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000048			-0.000003					0.000004	7.139122	0.000005				-6.321547																	0.000001																																																																-35386.527128	35386.702287							-0.992694	
 2 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000049			-0.000003					0.000004	7.138492	0.000005				-6.321547																	0.000001																																																																-35446.243475	35446.419265							-0.992694	
