Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																0.000019	0.000045	0.000024	0.000011	0.000011	0.000007	0.000009	0.000025	0.000007		0.000000																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501094		0.000000			0.000008									-0.000005																																	-0.000155	0.000327	-35.812875	65.352487																							-26.038849	
 1 	 2																																																																																0.000019	0.000045	0.000024	0.000011	0.000011	0.000007	0.000009	0.000024	0.000007		0.000000																																				0.000002	0.000001															0.000002	0.000001	-0.000009					-3.501094		0.000000			0.000008									-0.000005																																	-0.000180	0.000285	-35.541654	65.782614																							-26.740128	
 1 	 3																																																																																0.000019	0.000044	0.000023	0.000011	0.000011	0.000007	0.000010	0.000024	0.000007		0.000000																																				0.000002	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000007									-0.000005																																	-0.000199	0.000259	-35.554608	65.841639																							-26.786154	
 1 	 4																																																																																0.000019	0.000045	0.000024	0.000011	0.000011	0.000007	0.000009	0.000025	0.000007		0.000000																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501094		0.000000			0.000008									-0.000005																																	-0.000213	0.000243	-35.578246	65.907774																							-26.828623	
 1 	 5																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000224	0.000232	-35.518446	66.080303																							-27.060931	
 1 	 6																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501093		0.000000			0.000008									-0.000006																																	-0.000228	0.000227	-35.223846	66.577882																							-27.853100	
 1 	 7																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501093		0.000000			0.000008									-0.000006																																	-0.000232	0.000224	-34.973193	67.016391																							-28.542255	
 1 	 8																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501093		0.000000			0.000008									-0.000006																																	-0.000229	0.000226	-34.709613	67.319636																							-29.109086	
 1 	 9																																																																																0.000019	0.000045	0.000023	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000006																																	-0.000232	0.000223	-34.470219	67.744067																							-29.772905	
 1 	 10																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000003																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501093		0.000000			0.000008									-0.000006																																	-0.000231	0.000224	-34.222263	68.060906																							-30.337703	
 1 	 11																																																																																0.000019	0.000037	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000014																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501094		0.000000			0.000008									-0.000005																																	-0.000231	0.000224	-34.580027	67.425769																							-29.344806	
 1 	 12																																																																																17.599517	0.000039	0.000018	0.000009	0.000006	0.000007	0.000009	0.000025	0.000008		0.000028																																				0.000007	0.000001															0.000002	0.000001	-0.000009					-3.501100		0.000000			0.000009									-0.000006																																	-0.000229	0.000226	-42.640957	57.120400																							-28.578010	
 1 	 13																																																																																17.601146	0.000005	0.000011	0.000006	0.000003	0.000005	0.000009	0.000025	0.000008		0.000038																																				0.720100	0.000001															0.000002	0.000001	-0.000009					-3.501102		0.000000			0.000011									-0.000007																																	-0.000230	0.000224	-43.278736	55.322870																							-26.864382	
 1 	 14																																																																																17.601139	0.000004	0.000011	0.000006	0.000003	0.000005	0.000009	0.000025	0.000007		0.000043																																				0.720103	0.000001															0.000002	0.000001	-0.000009					-3.501102		0.000000			0.000011									-0.000007																																	-0.000228	0.000226	-43.732607	54.758358																							-25.846003	
 1 	 15																																																																																17.601143	0.000005	0.000011	0.000006	0.000003	0.000005	0.000009	0.000025	0.000007		0.000038																																				0.720100	0.000001															0.000002	0.000001	-0.000009					-3.501103		0.000000			0.000011									-0.000007																																	-0.000227	0.000226	-44.267723	54.127436																							-24.679963	
 1 	 16																																																																																17.601058	0.000042	0.000019	0.000009	0.000006	0.000007	0.000009	0.000025	0.000007		0.000026																																				0.000006	0.000001															0.000002	0.000001	-0.000009					-3.501101		0.000000			0.000010									-0.000006																																	-0.000228	0.000226	-44.196934	53.817865																							-23.721041	
 1 	 17																																																																																0.000019	0.000038	0.000024	0.000011	0.000011	0.000007	0.000009	0.000025	0.000007		0.000011																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000229	0.000225	-36.861484	63.778004																							-23.415588	
 1 	 18																																																																																0.000019	0.000044	0.000024	0.000011	0.000011	0.000007	0.000009	0.000025	0.000007		0.000002																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000232	0.000222	-36.471628	64.480368																							-24.507796	
 1 	 19																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000007		0.000000																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000237	0.000218	-35.779719	65.649544																							-26.368871	
 1 	 20																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000243	0.000213	-35.756518	65.782001																							-26.524518	
 1 	 21																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000007		0.000000																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000251	0.000206	-35.665073	65.938122																							-26.772070	
 1 	 22																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000007		0.000000																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000268	0.000193	-35.846913	65.714181																							-26.366258	
 1 	 23																																																																																0.000019	0.000045	0.000024	0.000010	0.000011	0.000007	0.000009	0.000025	0.000007		0.000000																																				0.000003	0.000001															0.000002	0.000002	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000296	0.000172	-35.725948	65.965174																							-26.738168	
 1 	 24																																																																																0.000019	0.000045	0.000024	0.000011	0.000011	0.000007	0.000009	0.000025	0.000007		0.000000																																				0.000003	0.000001															0.000002	0.000001	-0.000009					-3.501093		0.000000			0.000008									-0.000005																																	-0.000337	0.000149	-35.704693	65.947613																							-26.741798	
 2 	 1																																																																																17.599808	0.000029	0.000016	0.000008	0.000005	0.000006	0.000010	0.000020	0.000008		0.000000																																				0.000006	0.000001															0.000002	0.000002	-0.000009					-3.501102		0.000000			0.000010									-0.000007																																	-0.000209	0.000254	-47.561887	51.721216																							-18.258189	
 2 	 2																																																																																17.599424	0.000029	0.000016	0.000008	0.000005	0.000006	0.000009	0.000020	0.000008		0.000000																																				0.000006	0.000001															0.000002	0.000002	-0.000009					-3.501103		0.000000			0.000010									-0.000007																																	-0.000213	0.000246	-47.523978	52.245291																							-18.819773	
 2 	 3																																																																																17.600856	0.000029	0.000016	0.000008	0.000005	0.000006	0.000010	0.000019	0.000008		0.000000																																				0.000005	0.000001															0.000002	0.000001	-0.000009					-3.501102		0.000001			0.000010									-0.000007																																	-0.000214	0.000242	-46.518824	51.371995																							-18.953059	
