Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.989805	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.901512	Infinity
WASTE	85000.000867	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	4499.100211	Infinity
CO2_EMISSIONS	55748.145716	Infinity
RES_WIND	223218.188031	Infinity
RES_SOLAR	271566.971200	Infinity
RES_HYDRO	86258.819480	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	30288.757014	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	44.418028	44.416667
APPLES	54.987460	54.986111
CEREALSTRAW	36555.556910	36555.555556
CHERRIES	194.445760	194.444444
MAIZESTRAW	6388.890220	6388.888889
OLIVES	55.556860	55.555556
OSR	4222.223553	4222.222222
RICESTRAW	268.879118	268.877778
VINEYARDS	1500.001311	1500.000000
MISCANTHUS	30638.886403	30638.888889
SWITCHGRASS	32111.108203	32111.111111
WILLOW	8277.778705	8277.777778
POPLAR	888.889601	888.888889
CP_RES	34138.484719	34138.483333
FUELWOOD_RES	12555.556909	12555.555556
LANDSCAPECARE	14172.545810	14172.544444
MSW	31515.362364	31515.361111
FUELWOODRW	28361.112496	28361.111111
OTHERSECRESID	6055.556901	6055.555556
SAWDUST	1722.223568	1722.222222
CP_RW	77250.001333	77250.000000
GRASS_FOR_BIOGAS	781.939198	781.944444
MAIZE_SILAGE	2259.765991	2259.777778
SUGARBEETTOPS	583.326797	583.333333
MANURE_LIQ	6527.747837	6527.777778
MANURE_SOL	65138.889432	65138.888889
SLUDGE	3.052408	3.055556
