Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1			0.000000		0.000000																																																																																																		-0.148126	-0.000000					-0.000000								-2.151140				-0.273527																										0.000007								3.581820	0.000007	0.000014																																																	-46594.598064	46593.589010															0.000000	
 1 	 2			0.000000		0.000000																																																																																																		-0.059301	-0.000000					-0.000000								-2.165502				-0.273527																										0.000007								3.582899	0.000008	0.000013																																																	-46581.766728	46580.682132															0.000000	
 1 	 3			0.000000		0.000000																																																																																																		-0.029524	-0.000000					-0.000000								-2.173457				-0.273527																										0.000007								3.582909	0.000007	0.000012																																																	-46005.621844	46004.515418															0.000000	
 1 	 4			0.000000		0.000000																																																																																																		-0.355804	-0.000000					-0.000000								-2.138844				-0.273527																										0.000006								3.579880	0.000008	0.000014																																																	-46599.566419	46598.754686															0.000000	
 1 	 5			0.000000		0.000000																																																																																																		-0.948811	-0.000000					-0.000001								-2.138143				-0.273527																										0.000006								3.579845	0.000008	0.000014																																																	-46598.958209	46598.738817															0.000000	
 1 	 6			0.000000		0.000000																																																																																																		-2.372027	-0.000001					-0.000002								-2.139547				-0.273527																										0.000006								3.579767	0.000008	0.000014																																																	-46600.834848	46602.040157															0.000000	
 1 	 7			0.000000		0.000000																																																																																																		-4.595172	-0.000001					-0.000003								-2.140879				-0.273527																										0.000006								3.579362	0.000008	0.000014																																																	-46602.758421	46606.188613															0.000000	
 1 	 8			0.000000		0.000000																																																																																																		-4.002241	-0.000001					-0.000003								-2.140168				-0.273527																										0.000006								3.579847	0.000008	0.000014																																																	-46605.459768	46608.295831															0.000000	
 1 	 9			0.000000		0.000000																																																																																																		-3.705788	-0.000001					-0.000002								-2.139944				-0.273527																										0.000006								3.579707	0.000008	0.000014																																																	-46607.993222	46610.532748															0.000000	
 1 	 10			0.000000		0.000000																																																																																																		-4.150492	-0.000001					-0.000003								-2.139713				-0.273527																										0.000006								3.579907	0.000008	0.000014																																																	-46608.909039	46611.892841															0.000000	
 1 	 11			0.000000		0.000000																																																																																																		-4.743398	-0.000001					-0.000003								-2.139706				-0.273527																										0.000006								3.579839	0.000008	0.000014																																																	-46608.793705	46612.370472															0.000000	
 1 	 12			0.000000		0.000000																																																																																																		-5.217753	-0.000001					-0.000003								-2.139042				-0.273527																										0.000006								3.579636	0.000008	0.000014																																																	-46608.517152	46612.567814															0.000000	
 1 	 13			0.000000		0.000000																																																																																																		-4.743398	-0.000001					-0.000003								-0.000323				-0.273527																										0.000006								3.579745	0.000008	0.000014																																																	-46610.049654	46611.487133															0.000000	
 1 	 14			0.000000		0.000000																																																																																																		-4.802699	-0.000001					-0.000003								-0.000323				-0.273527																										0.000006								3.580218	0.000008	0.000014																																																	-46610.202503	46611.698811															0.000000	
 1 	 15			0.000000		0.000000																																																																																																		-5.395630	-0.000001					-0.000004								-0.000326				-0.273527																										0.000006								3.580137	0.000008	0.000014																																																	-46609.387460	46611.476782															0.000000	
 1 	 16			0.000000		0.000000																																																																																																		-5.632807	-0.000001					-0.000004								-2.138992				-0.273527																										0.000006								3.579798	0.000009	0.000014																																																	-46608.602556	46613.068060															0.000000	
 1 	 17			0.000000		0.000000																																																																																																		-5.632807	-0.000001					-0.000004								-2.139667				-0.273527																										0.000006								3.580730	0.000008	0.000014																																																	-46607.730815	46612.196062															0.000000	
 1 	 18			0.000000		0.000000																																																																																																		-4.150492	-0.000001					-0.000003								-2.138921				-0.273527																										0.000006								3.580473	0.000008	0.000014																																																	-46608.878001	46611.860442															0.000000	
 1 	 19			0.000000		0.000000																																																																																																		-2.964630	-0.000001					-0.000002								-2.138746				-0.273527																										0.000006								3.580378	0.000008	0.000014																																																	-46609.042771	46610.839270															0.000000	
 1 	 20			0.000000		0.000000																																																																																																		-2.223145	-0.000001					-0.000001								-2.137747				-0.273527																										0.000006								3.580284	0.000008	0.000014																																																	-46608.034841	46609.088949															0.000000	
 1 	 21			0.000000		0.000000																																																																																																		-1.481255	-0.000000					-0.000001								-2.137321				-0.273527																										0.000006								3.580431	0.000008	0.000014																																																	-46609.137328	46609.448973															0.000000	
 1 	 22			0.000000		0.000000																																																																																																		-0.948811	-0.000000					-0.000001								-2.137366				-0.273527																										0.000007								3.580478	0.000008	0.000014																																																	-46608.810218	46608.589416															0.000000	
 1 	 23			0.000000		0.000000																																																																																																		-0.593007	-0.000000					-0.000000								-2.140122				-0.273527																										0.000006								3.580298	0.000008	0.000014																																																	-46604.210321	46603.636652															0.000000	
 1 	 24			0.000000		0.000000																																																																																																		-0.237203	-0.000000					-0.000000								-2.146785				-0.273527																										0.000006								3.581265	0.000008	0.000014																																																	-46588.819315	46587.895537															0.000000	
 2 	 1			0.000000		0.000000																																																																																																		-0.148126	-0.000000					-0.000000								-0.000318				-0.273527																										0.000006								3.570895	0.000009	0.000017																																																	-46570.825473	46567.676518															0.000000	
 2 	 2			0.000000		0.000000																																																																																																		-0.059301	-0.000000					-0.000000								-0.000285				-0.273527																										0.000006								3.571780	0.000009	0.000016																																																	-46580.258422	46577.019725															0.000000	
 2 	 3			0.000000		0.000000																																																																																																		-0.029524	-0.000000					-0.000000								-0.000729				-0.273527																										0.000006								3.572189	0.000008	0.000014																																																	-46068.386842	46065.118405															0.000000	
 2 	 4			0.000000		0.000000																																																																																																		-0.355804	-0.000000					-0.000000								-2.093854				-0.273527																										0.000006								3.569290	0.000009	0.000017																																																	-46603.518034	46602.671898															0.000000	
