;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;0;0.412971429;0.07;0;
Non-renewable;Fossil fuel;GASOLINE;0.00E+00;0.3448;0.1;0.25;
Non-renewable;Fossil fuel;DIESEL;0.00E+00;0.3148;0.1;0.27;
Renewable;Biofuel;BIOETHANOL;0.00E+00;0;0.1;0.25;
Renewable;Biofuel;BIODIESEL;0.00E+00;0;0.1;0.27;
Non-renewable;Fossil fuel;LFO;0.00E+00;0.3115;0.1;0.26;
Non-renewable;Fossil fuel;GAS;0.00E+00;0.2666;0.1;0.2;
Renewable;Biofuel;JETFUEL_RE;0.00E+00;0;1;0;
Non-renewable;Fossil fuel;JETFUEL;2.73E+04;0.727;0.1;0.26;
Non-renewable;Fossil fuel;FT_FUEL;0;0.727;0.1;0.26;
Renewable;Biofuel;GAS_RE;0.00E+00;0;0.132345636;0.2;
Renewable;Biomass;WOOD;0;0.0118;0.003012369;0.38;
Renewable;Biomass;WET_BIOMASS;0;0.0118;0.005285223;0.38;
Non-renewable;Fossil fuel;COAL;0;0.4014;0.015545445;0.36;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.0039;0;
Non-renewable;Other non-renewable;WASTE;85000;0.1501;0.021187834;0.26;
Non-renewable;Other non-renewable;H2;0.00E+00;0.414044616;0.1;0;
Renewable;Biofuel;H2_RE;0.00E+00;0;0.137854413;0;
Non-renewable;Other non-renewable;AMMONIA;0.00E+00;0.285;0.1;0;
Non-renewable;Other non-renewable;METHANOL;0.00E+00;0.35;0.1;0.25;
Renewable;Biofuel;AMMONIA_RE;0.00E+00;0;0.092751343;0;
Renewable;Biofuel;METHANOL_RE;0.00E+00;0;1.5;0.24570329;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATMOSPHERE;1.00E+15;0;0;0;
Others;Others;CO2_CENTRALISED;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;CO2_DECENTRALISED;0;0;0;0;
Others;Others;OTHER_GHG;0;0;0;0;
Renewable;Biofuel;OLIVE_PITS;44.4166666666667;0;0.0105431309904153;0;
Renewable;Biofuel;APPLES;54.9861111111111;0;0.0155226444051528;0;
Renewable;Biofuel;CEREALSTRAW;36555.5555555555;0;0.00808935045592705;0;
Renewable;Biofuel;CHERRIES;194.444444444444;0;0.0206686285714286;0;
Renewable;Biofuel;MAIZESTRAW;6388.88888888889;0;0.00816223304347826;0;
Renewable;Biofuel;OLIVES;55.5555555555556;0;0.0294984;0;
Renewable;Biofuel;OSR;4222.22222222222;0;0.00546181578947368;0;
Renewable;Biofuel;RICESTRAW;268.877777777778;0;0.00755058464399356;0;
Renewable;Biofuel;VINEYARDS;1500;0;0.0147316;0;
Renewable;Biofuel;MISCANTHUS;30638.8888888889;0;0.0175761987307344;0;
Renewable;Biofuel;SWITCHGRASS;32111.1111111111;0;0.0166632446366782;0;
Renewable;Biofuel;WILLOW;8277.77777777778;0;0.0317963355704698;0;
Renewable;Biofuel;POPLAR;888.888888888889;0;0.039798225;0;
Renewable;Biofuel;CP_RES;34138.4833333333;0;0.0148760707264382;0;
Renewable;Biofuel;FUELWOOD_RES;12555.5555555556;0;0.0119127345132743;0;
Renewable;Biofuel;LANDSCAPECARE;14172.5444444444;0;0.00909659234835116;0;
Renewable;Biofuel;MSW;31515.3611111111;0;0.000199561159538642;0;
Renewable;Biofuel;FUELWOODRW;28361.1111111111;0;0.0119120121449559;0;
Renewable;Biofuel;OTHERSECRESID;6055.55555555556;0;0.00626540366972477;0;
Renewable;Biofuel;SAWDUST;1722.22222222222;0;0.000383225806451613;0;
Renewable;Biofuel;CP_RW;77250;0;0.0245129889967638;0;
Renewable;Biofuel;GRASS_FOR_BIOGAS;781.944444444444;0;0.0025925826028321;0;
Renewable;Biofuel;MAIZE_SILAGE;2259.77777777778;0;0.00355981198589894;0;
Renewable;Biofuel;SUGARBEETTOPS;583.333333333333;0;0.00728434285714286;0;
Renewable;Biofuel;MANURE_LIQ;6527.77777777778;0;0.0200402195744681;0;
Renewable;Biofuel;MANURE_SOL;65138.8888888889;0;0.0229030004264392;0;
Renewable;Biofuel;SLUDGE;3.05555555555556;0;0.0196928415;0;
